target_model,display_model,profession_embedding,human_perception,world_knowledge
gpt2,GPT2,0.6594354825386308,0.457915875628925,0.457915875628925
Qwen_Qwen3-4B-Base,Qwen3 4B,0.7400373333202098,0.5502570029860697,0.5502570029860697
Qwen_Qwen3-8B-Base,Qwen3 8B,0.7209009345413744,0.518563555892574,0.518563555892574
google_gemma-3-4b-pt,Gemma3 4B,0.6651692059648875,0.585315741110976,0.585315741110976
google_gemma-3-12b-pt,Gemma3 12b,0.7267339077808845,0.5474187073813848,0.5474187073813848
mistralai_Mistral-7B-v0.3,Mistral 7B,0.7489626135446203,0.5393187923225136,0.5393187923225136
allenai_Olmo-3-1025-7B,OLMo3 7B,0.7212552188652459,0.5406777070045079,0.5406777070045079
allenai_Olmo-3-1125-32B,OLMo3 32B,0.7331294279934256,0.5715881845295907,0.5715881845295907
tiiuae_Falcon3-3B-Base,Falcon3 3B,0.7161962905939714,0.5810663036620771,0.5810663036620771
tiiuae_Falcon3-7B-Base,Falcon3 7B,0.6674532554273039,0.5407112086801806,0.5407112086801806
tiiuae_Falcon3-10B-Base,Falcon3 10B,0.6834667082258092,0.5008501592400393,0.5008501592400393
EleutherAI_pythia-2.8b-deduped,Pythia 2.8b,0.7318711529095794,0.5639158429999576,0.5639158429999576
EleutherAI_pythia-6.9b-deduped,Pythia 6.9b,0.7089527806348931,0.5306999678826446,0.5306999678826446
EleutherAI_pythia-12b-deduped,Pythia 12b,0.7496714511197746,0.4970518463130111,0.4970518463130111
meta-llama_Llama-3.1-8B,Llama3.1 8B,0.7581675099131066,0.5643722431140248,0.5643722431140248
meta-llama_Llama-3.1-70B,Llama3.1 70B,0.7146481600269938,0.5642049586713377,0.5642049586713377
