,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
Group,2.157611159563277,0.08838305215996511,-0.27226310582112956,-0.2327292533086022,-0.380512708696611,-0.05893470797085291,0.1422152104217234,0.04091772445683639,-0.17271567575757352,-0.024033236704964985
C(tense)[T.past perfect],0.08838305215996511,0.015462148500369295,-0.017558576653774968,-0.009814579804877875,-0.013157590993375582,0.0006317770681129435,0.004462807029832672,-0.002443273829621731,-0.011685258321367973,0.004521239193297885
C(tense)[T.present continuous],-0.27226310582112956,-0.017558576653774968,0.047664773426782,0.03791652504033993,0.05412491870210772,0.005370613813894991,-0.01836587512298477,0.0012098852552286793,0.026241657678508088,-3.9419599089255374e-05
C(tense)[T.present perfect],-0.2327292533086022,-0.009814579804877875,0.03791652504033993,0.03242237833393758,0.04813508010065216,0.006163467227505959,-0.016161410780828642,-0.0006464240097792585,0.02052502551137443,0.00274526626183395
C(tense)[T.simple future],-0.380512708696611,-0.013157590993375582,0.05412491870210772,0.04813508010065216,0.09975344437245799,0.013643523578528003,-0.028441992817436756,-0.0016781929252676956,0.0259043180554633,0.012836069554754767
C(tense)[T.simple past],-0.05893470797085291,0.0006317770681129435,0.005370613813894991,0.006163467227505959,0.013643523578528003,0.004404675226974098,-0.00467983422403083,-0.002014774622376479,0.0032299799413686584,0.0018955238845388951
C(semantic_role)[T.patient],0.1422152104217234,0.004462807029832672,-0.01836587512298477,-0.016161410780828642,-0.028441992817436756,-0.00467983422403083,0.013372264461810342,0.005282636163468575,-0.011373333402143247,-0.0013517148225462277
C(syntactic_role)[T.subject],0.04091772445683639,-0.002443273829621731,0.0012098852552286793,-0.0006464240097792585,-0.0016781929252676956,-0.002014774622376479,0.005282636163468575,0.04020461121191658,-0.0043498635972651165,-0.006461343671508796
"C(valence, Treatment(reference='-val'))[T.+val]",-0.17271567575757352,-0.011685258321367973,0.026241657678508088,0.02052502551137443,0.0259043180554633,0.0032299799413686584,-0.011373333402143247,-0.0043498635972651165,0.01822797853598503,-0.0010354585837811531
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.024033236704964985,0.004521239193297885,-3.9419599089255374e-05,0.00274526626183395,0.012836069554754767,0.0018955238845388951,-0.0013517148225462277,-0.006461343671508796,-0.0010354585837811531,0.009635938874301649
