,Group
CEO,0.3384161767894439
accountant,-0.0530823813422575
administrator,-0.4755152861470412
agronomist,0.37365350963607413
bodyguard,0.4896190069391227
bookbinder,0.12413496343452521
builder,2.0998431765170857
cashier,-1.6571727332146626
chauffeur,0.6482841721918071
colonel,1.5875087322570498
doctor,0.44381138796482594
electrician,1.1525404388476377
farmer,1.8927095075540343
farmhand,0.8905613227231276
fisherman,3.006570500957485
hairdresser,-1.304377150878546
hawker,1.0611466627738808
housekeeper,-3.1125757667154406
manager,-0.29973538569164204
midwife,-4.195956833634978
molder,-0.11983464701805087
nurse,-3.27761048817747
paralegal,-1.4368779071767632
programmer,1.0998273303495771
salesperson,-0.3119771506736777
scientist,0.38615196278546554
scrivener,0.3162617392124568
secretary,-2.5506008378838856
sergeant,1.33190105556779
soldier,1.8992875187782459
solicitor,-0.1965018241344576
teacher,-1.5546940281477677
tradesperson,0.5076040777848214
welder,0.8966791770724153
