,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
CEO,0.5233669288697985,-0.026855691233579948,-0.021721257824158166,-0.04767268638484905,-0.11091290373871646,-0.0261116728992888,-0.05043353577471792,0.08464441698715672,-0.0457090508519921,-0.014753564521566453
accountant,0.39175300976159866,0.07053447504516716,-0.023387007036327206,-0.018896761485574412,-0.009013020597097576,0.035037633226357015,-0.06290961587858959,-0.09745222513195378,-0.021344733484852954,0.01807298798352401
administrator,0.3373516260138665,0.08829970444483673,0.2803738716377767,0.2152497530988925,0.48209522325062637,0.0686933803412254,-0.14295706276619952,-0.3417583188658726,-0.07469280642142062,0.009500552771900372
agronomist,0.7727382311087976,0.006304255492141919,-0.11496180320712468,-0.10074400466718456,-0.03826223124843274,-0.008771003770140923,-0.02835734433977466,-0.08852202794919188,-0.03860242917235421,-0.003779071259056077
bodyguard,0.7372820942418286,-0.043025641501117484,-0.10060016980529451,-0.1163007074952147,-0.19590244096755277,-0.06828498740883973,0.03781099632714678,0.24028588180432425,-0.0786719180213559,0.039928880017479795
bookbinder,0.5288049318375858,0.1335089390677578,-0.19420614882465354,-0.11910012568635656,-0.2633826067948417,0.01999518433601396,-0.010358864610584224,-0.12542437736522444,-0.18216790110747633,0.032577695082297964
builder,1.6080250430474,-0.023027786507698062,-0.1774053239126455,-0.1807417128692098,-0.4344404560575619,-0.05200945909218998,0.038846589959114594,0.16659565582773264,-0.12281056107255425,-0.03509243624436366
cashier,-1.7644493739235345,0.0792401291112586,0.25678344353490845,0.2589989507292954,0.48269977655409774,0.11802048987335315,-0.06776616043846224,-0.12291086089969011,0.17240187915849012,0.03200851116420472
chauffeur,1.2529054579030607,-0.0781834073568124,-0.12356504962781613,-0.15060632138464705,-0.3563626407075706,-0.06583574452904138,0.04171003798042488,0.15216110300207147,-0.0416249662153175,-0.051380544948263954
colonel,1.4395673360623804,0.06655696285260623,-0.26854737772241927,-0.22826523246320632,-0.6433494241811779,-0.017119454482028305,0.1537937510723785,0.05798950122313208,-0.0489570259534023,0.0032662937746901974
doctor,0.08515056205372029,-0.01956928478133023,-0.015581789402039414,-0.026650361546219886,0.05580931299166719,-0.015228124453628429,-0.021310898128525047,-0.14035990146471167,0.046122282514923896,-0.0038170619978165135
electrician,1.3389131505147878,-0.1258068810762496,-0.14041310156092832,-0.16158278492368267,-0.2185883675537307,-0.10239333592471254,0.064461320904738,0.10705698996969493,-0.08007520993335183,-0.054328296429459355
farmer,1.76492076162279,-0.03726469489265191,-0.2530062757762212,-0.25571924277762215,-0.4151058141622752,-0.1067401900955208,0.18804266376035528,-0.0985760573457929,-0.05227069242485409,0.022161007796627774
farmhand,0.6478142661586037,-0.08472094418962987,-0.108905691575369,-0.1258731103292527,-0.23669207995156757,-0.07665033041364337,0.08272919868043131,-0.024880146721541048,0.01897358331060354,-0.03569939590506514
fisherman,2.0328003081092207,-0.26567878347452384,-0.14641788563177488,-0.2600793448011783,-0.5854466225596928,-0.20888709409180553,0.21424155256857574,0.5019058316298183,0.06557719227747863,-0.03944601393118192
hairdresser,-2.000617490540073,-0.02750997506909378,0.2164162220434302,0.23569233952071347,0.5657428611462871,0.06875992008024451,-0.010888329930864653,0.21002210273091798,0.11810858342132968,0.03943207700814008
hawker,0.0302389361836346,0.038355840747642284,0.14077835710620035,0.09842170377791568,0.3578274002387685,0.0566220884612988,-0.08996347241529516,-0.08762671965149663,0.08950052500797503,0.04943764056163025
housekeeper,-3.482607400713877,-0.16771620128300002,0.3777078404715302,0.32958350949112775,0.35414501731135206,-0.008162835083627223,0.0009956238548450924,0.23645654428483004,0.2699594988646281,-0.06399169154460205
manager,-0.28020514651497397,-0.010431061844519942,0.18363406567020046,0.14675255963428896,0.3166430251298592,0.022067274077364467,-0.044604474473247384,0.012082977973904174,-0.006272534312304748,0.004292241588626143
midwife,-4.519652742180319,-0.04223251148967915,0.36500331979426637,0.41101630114092436,0.2923053788552019,0.08591796469693462,-0.12285317550396328,0.21641995402000463,0.11047375859386109,-0.11586966424132676
molder,0.4230410700282797,0.015651877238213888,-0.1453759399867552,-0.107311303452607,-0.16232058659956394,-0.0007334161584557387,-0.015683350259004674,0.19042922774963703,-0.07818158590781626,0.01707294523996705
nurse,-2.871774374411293,-0.09409422371872941,0.2663243122503769,0.2693499472920722,0.15641748081595397,0.024846877290191992,-0.06654211201328726,-0.00929048937350168,0.1285009355133639,-0.1471029103158079
paralegal,-1.6110666874899235,-0.09661698483295106,0.3822224012122595,0.2818507292103863,0.5055482419174826,-0.014514720239705903,-0.0869346525016673,-0.05705454177721834,0.15273272246019834,-0.0160299027299535
programmer,0.9450727034330444,-0.07882093730153725,-0.09845475621380975,-0.10845275023784774,-0.24735737462703417,-0.057532572267695335,0.02651114737995673,0.19078331964380793,-0.08928166553180042,-0.05410478669710183
salesperson,-0.4989513548690558,-0.0642273476564329,0.23018070859656628,0.17917551985846367,0.3619770674659375,0.001077318049586204,-0.05892446951931357,-0.06532093944132152,0.005788664915921449,-0.049724200722327236
scientist,0.5245551133374946,3.535768952267482e-05,-0.19833854742575585,-0.15955601056594793,-0.1991297766006019,-0.031676310810445536,-0.02734194133571087,-0.26259037535447366,-0.040086497611884195,-0.043570216647713676
scrivener,1.6678190235053951,0.6780877196275231,-0.2704360155556823,-0.06686661378199948,0.05649139136299235,0.35790270149013426,-0.09065481469162845,-0.8221170140654124,-0.20389733131031476,0.23335685927123825
secretary,-2.7179273536045065,0.23657285724059435,0.05679372125066326,0.19305867942045168,0.12984491965817774,0.17110909664191234,-0.02028286346350521,0.2809539777126814,-0.010088774739222497,0.1320489058728105
sergeant,1.2741375584311956,0.08880953717686427,-0.18413328219013442,-0.15129848174111507,-0.17152161540380578,0.014679710539523827,0.09857368224735502,0.04230168595768215,-0.04034720180449745,0.091304976386053
soldier,1.4308761026197905,-0.02694074228206115,-0.23416945064845976,-0.22813398126053328,-0.15804002321741262,-0.06500832620163678,0.1515367473217467,0.2542507679301929,0.0024252674409551804,0.12117584701860172
solicitor,-0.05842550641467348,-0.03652655095621435,0.04045368413781615,0.015225276174899313,0.0822437867126991,-0.006166950895001536,-0.08054711090529937,-0.08088648096886941,0.03403147279488361,-0.03401660778556154
teacher,-1.3070936689006014,-0.005246520158971245,0.16317501413640148,0.165043080068328,0.5553854272162125,0.03454147231312576,-0.07606752397413484,-0.26740761973423305,0.07804838558999821,0.016287009810538745
tradesperson,0.20906105463754576,-0.09295606850008267,0.0685338599745417,0.022324066302574164,0.07339869105669233,-0.06921586928232666,0.06163210683965137,-0.0883021949436953,-0.0016524142463928415,-0.030593167946586265
welder,1.1465758302094473,-0.05450541562615813,-0.20875394790446,-0.2078908778810086,-0.382747016740894,-0.07822871332069001,0.01449635403232626,-0.16385964739363018,-0.035909451746684945,-0.068624897479411
