term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,1.4403509862663313,0.01849310474323111,77.88583941231026,0.0,1.4041024768447228,1.4765994956879398
C(syntactic_role)[T.subject],-0.1658317567945279,0.024213157805886575,-6.848828150544319,7.711610810214638e-12,-0.21329219629562512,-0.1183713172934307
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.10033785216760122,0.02421315780588662,4.143939133094297,3.4311292466932756e-05,0.05287741266650391,0.1477982916686985
"C(syntactic_role)[non-subject]:C(valence, Treatment(reference='-val'))[T.+val]",0.006836807845171251,0.024213157805886613,0.28235919907601276,0.7776716800858122,-0.040623631655926036,0.05429724734626854
"C(syntactic_role)[subject]:C(valence, Treatment(reference='-val'))[T.+val]",-0.09154271435022845,0.024213157805886617,-3.7807011825600423,0.00015694476321039913,-0.13900315385132575,-0.04408227484913116
"C(syntactic_role)[T.subject]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.04758065973178911,0.02795894635431898,-1.7018044646177826,0.08881108861738951,-0.1023832547754219,0.007221935311843682
"C(valence, Treatment(reference='-val'))[T.+val]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.018623105379650277,0.027958946354319,-0.6660875250319812,0.5053645789787261,-0.07342570042328311,0.03617948966398256
male_perc,1.0559716812597815,0.013979473177159545,75.53730157622019,0.0,1.028570383737965,1.083372978781598
male_perc:C(syntactic_role)[T.subject],0.017223718705722924,0.013979473177159555,1.23207208794277,0.21793991951713965,-0.010177578816093606,0.04462501622753945
"male_perc:C(valence, Treatment(reference='-val'))[T.+val]",-0.05223454878365434,0.013979473177159552,-3.73651768716135,0.00018722265716194855,-0.07963584630547087,-0.02483325126183782
"male_perc:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.03423891129285625,0.013979473177159533,-2.4492275823954333,0.01432674200160489,-0.061640208814672734,-0.006837613771039766
