Input,Model,Semantic role,Valence,Dominance,Semantic role):C(valence,Semantic role):C(dominance,Valence:dominance,Male perc,Male perc:semantic role,Male perc:valence,Male perc:dominance,Syntactic role,Tense,Semantic role:tense,Valence:syntactic role,Dominance:syntactic role,Dominance:tense,Male perc:tense,Valence:tense,Syntactic role:tense,Male perc:syntactic role,Semantic role:syntactic role
Pythia 12b,Human-Perception Model,,,0.0004785623357924106,,,,1.7312815054131154,0.04963066720786764,,,0.00012542842645078635,0.020650906549561216,-0.0009064873756255539,0.00017116557981123863,0.0021519709475579176,0.0018520366805848826,-0.17208843084729053,,,,
Pythia 12b,World-Knowledge Model,0.0004051961986896775,-0.0002427110680089034,0.0004857702569888882,0.00040350850665517757,-0.00010074863187352733,0.0003218842935597513,1.5702310937735426,0.049630667207867546,0.0035262761685465136,-0.023444813047711503,,,,,,,,,,,
Pythia 2.8b,Human-Perception Model,0.000871802976920748,,,,-5.4367695656727965e-05,0.009505247767803749,1.3336109654228399,0.033568646329304105,,,,0.010406904865891816,-0.0006781895490044106,,,0.0014214572844055968,-0.03139726842459808,0.0009100642051430538,0.0035294145668226333,-0.09924977295746519,
Pythia 2.8b,World-Knowledge Model,0.0010714329314618052,,,,0.0002379124492368743,0.010692934597293157,1.2200850022115497,0.03356864632930384,-0.008648294719198903,-0.019264160238741144,,,,,,,,,,,
Pythia 6.9b,Human-Perception Model,,-0.0014398953598618205,0.0006141940195781715,,,0.0013569987773086331,1.7279370230995288,,,,,0.01581237990308351,0.0002963974027984365,0.0015012142086042615,0.0023944497656276337,0.001663332031672472,-0.10409346696043212,0.0015840694541631125,0.011354105338202683,-0.07697618770378253,-0.0051872668893727086
Pythia 6.9b,World-Knowledge Model,0.00024639114318238207,0.001463012406154512,0.0004616427656646941,,,0.0013569987773084846,1.5762263479845406,-0.009998711323982784,-0.014441979127576351,-0.017711859157311136,,,,,,,,,,,
Qwen3 4B,Human-Perception Model,0.002117469752628009,,,,0.004314133559750482,0.003727146697703745,1.3803165752815947,0.03996964260382819,,,0.024346613252426947,0.005999372282768732,0.001805936811479673,0.0003081276739620855,,,-0.10957210944185718,0.0038960859091237677,0.009326618611380667,,
Qwen3 4B,World-Knowledge Model,0.003513049789538601,-7.989922554882726e-05,0.0004595905396163212,4.8178337809426975e-05,0.003854543020134019,0.005224026867113658,1.3067138771745093,0.039969642603828584,-0.021027840125159424,-0.01773867938175152,,,,,,,,,,,
Qwen3 8B,Human-Perception Model,0.0018640186932975425,0.0073071351162784645,0.00133557251356188,,-0.000206302614135546,,1.3127611812935114,0.05381950554719648,-0.04756986802910757,,0.02538483752861124,0.022120635130026645,0.002125307697315423,,,0.001747202620303956,-0.07189830668972898,-0.0011868170312953879,0.002348160050715452,0.056149100427374456,
Qwen3 8B,World-Knowledge Model,0.002676495383734458,0.006660575804821622,0.0011184034593571689,0.0018602594627098671,,-0.00019521150093280932,1.3027167088086522,0.053819505547195966,-0.04756986802910765,-0.013938647426809848,,,,,,,,,,,
OLMo3 7B,Human-Perception Model,0.002330915989106484,0.006637095011421753,-0.00027135508526903536,,,,1.611507133793483,0.023479533362248922,-0.046955315473564296,-0.031440674307511525,0.011701378026484547,0.010249985070499677,0.0031638617910940297,-0.004443807635935695,-0.0008875055812986757,0.003266368905238497,-0.11502789844278229,0.0006021951729838694,-0.0017690793897666918,,0.006503400036829063
OLMo3 7B,World-Knowledge Model,0.0006836333236006853,0.0063266392038894255,0.00046964038699479993,,,,1.4869483170868392,0.023479533362248266,-0.04695531547356442,-0.03144067430751214,,,,,,,,,,,
OLMo3 32B,Human-Perception Model,,0.0032561476212044716,0.00035276969993293324,,0.00019545375872232035,,1.5886300506556121,0.04016282219615598,,0.014053793191114935,0.0776255470481282,0.028555748345645213,-0.0016591040808241005,,,0.015289728414501874,-0.04390333305010867,,-0.0074700581888733145,,0.01766213226054373
OLMo3 32B,World-Knowledge Model,,0.0032561476212044273,0.00326086757404744,,,,1.5859383565818692,0.040162822196156744,-0.04164884357534087,0.014053793191115467,,,,,,,,,,,
Gemma3 12b,Human-Perception Model,,0.0010018098620521918,,,,,1.3274829123056373,,,,0.0017736013132304501,0.009973967085287722,,-0.00040881696501411343,0.002039139772723599,0.0008126935735073071,-0.04413697275637026,,0.00013925585317393682,,0.0035650936623074724
