term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,3.6017457390492975,3.9190358901424127,0.9190387227911849,0.3580753184767659,-4.079423459749703,11.282914937848298
C(tense)[T.past perfect],-0.0073809094799970245,0.07715014474349591,-0.09566941843773102,0.9237831300124212,-0.15859241457930118,0.1438305956193071
C(tense)[T.present continuous],-0.1814955390316444,0.07715014474349575,-2.3524977125457127,0.018647804464368443,-0.3327070441309482,-0.030284033932340554
C(tense)[T.present perfect],-0.3606600086957901,0.0771501447434963,-4.674780713566886,2.942678771244922e-06,-0.511871513795095,-0.20944850359648523
C(tense)[T.simple future],-0.3435550051040636,0.0771501447434959,-4.453070130280304,8.465109027436704e-06,-0.4947665102033677,-0.1923435000047595
C(tense)[T.simple past],-0.1390405978617545,0.07715014474349645,-1.8022078678403937,0.0715127073026749,-0.2902521029610597,0.01217090723755071
C(semantic_role)[T.patient],0.21591380599491053,0.11779092325754864,1.8330258395446755,0.06679872849533161,-0.014952161295606226,0.4467797732854273
C(syntactic_role)[T.subject],-0.4871519630258847,0.2522408040816199,-1.9312972173536695,0.05344630731672312,-0.9815348544572836,0.007230928405514203
C(valence)[T.-val],0.2292436699685815,0.0880849551208675,2.6025292248150698,0.009253892774136227,0.05660033035185419,0.4018870095853088
C(dominance)[T.-dom],0.22467816246941127,0.051487879108106725,4.363709796584646,1.278751890365828e-05,0.12376377377716981,0.32559255116165275
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.020617294311517518,0.023397343638042835,-0.881180984921506,0.3782198695010973,-0.06647524517598884,0.025240656552953798
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.014547348022455503,0.02339734363804283,-0.6217521205613398,0.534104873882365,-0.06040529888692681,0.031310602842015804
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.02406921386718199,0.023397343638042845,-1.028715662749284,0.30361330762765737,-0.06992716473165332,0.021788736997289348
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.03142509460449758,0.02339734363804284,1.343105229834811,0.17923790237687198,-0.014432856259973745,0.0772830454689689
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.08502120971680244,0.023397343638042852,3.6337975383907435,0.0002792800430221513,0.03916325885233109,0.1308791605812738
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.21612129211425687,0.023397343638042776,-9.237001236450437,2.535021393134405e-20,-0.2619792429787281,-0.17026334124978568
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243652226,0.023397343638042772,-2.619576110207072,0.008803912448699287,-0.10714907330099346,-0.015433171572051062
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03758163452148266,0.02339734363804277,-1.6062350967217076,0.1082222646726766,-0.08343958538595385,0.008276316342988532
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1931583404541001,0.023397343638042765,-8.255567103781623,1.511826548774259e-16,-0.23901629131857127,-0.14730038958962893
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.014430236816404925,0.02339734363804277,-0.6167467999633159,0.5374017471445824,-0.06028818768087611,0.03142771404806627
C(tense)[T.past perfect]:C(valence)[T.-val],0.11186408996582681,0.023397343638042814,4.781059409835818,1.7437381667578549e-06,0.06600613910135553,0.1577220408302981
C(tense)[T.present continuous]:C(valence)[T.-val],0.02438087463379481,0.02339734363804281,1.04203601105182,0.2973949835383579,-0.021477076230676465,0.07023882549826609
C(tense)[T.present perfect]:C(valence)[T.-val],0.13337707519531794,0.02339734363804283,5.700522130147029,1.1944102516375455e-08,0.08751912433084663,0.17923502605978925
C(tense)[T.simple future]:C(valence)[T.-val],0.01645317077637231,0.023397343638042824,0.7032067841077625,0.48192689202613914,-0.029404780088098992,0.06231112164084361
C(tense)[T.simple past]:C(valence)[T.-val],0.12168960571289651,0.023397343638042842,5.2010009168321,1.982181244277805e-07,0.07583165484842519,0.16754755657736783
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.0220607757568334,0.02339734363804265,-0.9428752296890629,0.34574472617085006,-0.06791872662130435,0.023797175107637562
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.039969253540037025,0.023397343638042644,-1.7082816818166262,0.08758408859310479,-0.08582720440450797,0.0058886973244339225
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.05866928100585765,0.023397343638042658,-2.507518883915735,0.012158208482831487,-0.10452723187032861,-0.012811330141386683
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.04917716979980335,0.023397343638042658,-2.1018270518472133,0.035568428527426504,-0.09503512066427432,-0.0033192189353323798
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.018276214599607207,0.023397343638042658,-0.781123484885318,0.43472987047279965,-0.06413416546407817,0.027581736264863762
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.02947146097819089,0.013508462647746137,-2.1817035547792814,0.02913141840841702,-0.0559475612542779,-0.0029953607021038844
C(semantic_role)[T.patient]:C(valence)[T.-val],0.049478785196941884,0.013508462647746139,3.6627991272713274,0.0002494741675353773,0.023002684920854874,0.0759548854730289
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.14312807718912596,0.01350846264774612,-10.595437905956443,3.1287321697598656e-26,-0.16960417746521292,-0.11665197691303898
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.0032782236735026415,0.013508462647746133,-0.2426792566250763,0.808253877970556,-0.029754323949589642,0.023197876602584357
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.05857454935709538,0.01350846264774614,4.3361373447531735,1.4500835737465945e-05,0.03209844908100837,0.08505064963318239
C(valence)[T.-val]:C(dominance)[T.-dom],-0.19455121358235625,0.013508462647746144,-14.402172819778029,5.01419887035787e-47,-0.22102731385844326,-0.16807511330626923
log_frequency,-0.19000496964581884,0.5428976758469108,-0.3499830227665175,0.7263514387725786,-1.2540648615962648,0.8740549223046272
C(tense)[T.past perfect]:log_frequency,0.025512998149806145,0.007387509333273813,3.4535317654211246,0.000553297136345191,0.011033745921135965,0.03999225037847633
C(tense)[T.present continuous]:log_frequency,0.021786189568512533,0.007387509333273779,2.9490574679054884,0.00318744699125819,0.007306937339842419,0.03626544179718265
C(tense)[T.present perfect]:log_frequency,0.02647848492062823,0.007387509333273782,3.5842235489798377,0.00033808243585375345,0.01199923269195811,0.04095773714929835
C(tense)[T.simple future]:log_frequency,0.036158937258523094,0.007387509333273757,4.894604612634628,9.850356784587835e-07,0.021679685029853023,0.05063818948719316
C(tense)[T.simple past]:log_frequency,0.018351130623373808,0.007387509333273795,2.484075457031125,0.012988828189631183,0.0038718783947036626,0.032830382852043954
C(semantic_role)[T.patient]:log_frequency,0.015781934079729002,0.01159525308111554,1.3610685311760937,0.17349203328699203,-0.006944344350884549,0.03850821251034255
C(syntactic_role)[T.subject]:log_frequency,0.00025449755134200586,0.02502789899993469,0.010168554353790143,0.9918868072923421,-0.048799283097236024,0.049308278199920036
C(valence)[T.-val]:log_frequency,-0.006811994690483416,0.008559874630021272,-0.7958054276393635,0.4261451365156662,-0.02358904067750323,0.009965051296536399
C(dominance)[T.-dom]:log_frequency,-0.009254806725778914,0.006407677795226039,-1.4443308514473203,0.14864593145781477,-0.02181362442895897,0.0033040109774011422
lex_emb_norm,-1.267842165798214,4.620109896073392,-0.2744181836184777,0.7837632706709254,-10.323091166719154,7.7874068351227255
C(tense)[T.past perfect]:lex_emb_norm,-0.28963996134341424,0.1063229424758229,-2.724152987106018,0.00644666365994388,-0.4980290993263511,-0.08125082336047743
C(tense)[T.present continuous]:lex_emb_norm,-0.15670178001930643,0.10632294247582251,-1.4738284736141487,0.14052777981958237,-0.36509091800224247,0.05168735796362961
C(tense)[T.present perfect]:lex_emb_norm,-0.11170208643318841,0.10632294247582275,-1.050592504610083,0.29344578503185015,-0.3200912244161249,0.0966870515497481
C(tense)[T.simple future]:lex_emb_norm,0.17798714094771506,0.10632294247582222,1.6740238447425329,0.09412591318803842,-0.030401997035220424,0.3863762789306505
