term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,2.563646826287477,3.9308252299970383,0.6521904883289377,0.5142782951994038,-5.140629054028093,10.267922706603047
C(tense)[T.past perfect],-0.007380909479863302,0.07719777248204535,-0.09561039447841521,0.92383000942444,-0.15868576323138944,0.14392394427166283
C(tense)[T.present continuous],-0.1814955390315177,0.07719777248204511,-2.3510463216245063,0.018720703168763023,-0.33280039278304335,-0.030190685279992024
C(tense)[T.present perfect],-0.3606600086956652,0.07719777248204485,-4.671896572916658,2.9843123231570965e-06,-0.5119648624471904,-0.20935515494414006
C(tense)[T.simple future],-0.3435550051039414,0.07719777248204512,-4.450322775619547,8.574132475177405e-06,-0.49485985885546707,-0.1922501513524157
C(tense)[T.simple past],-0.13904059786162468,0.07719777248204417,-1.8010959823220918,0.07168775289224366,-0.2903454516131485,0.012264255889899156
C(semantic_role)[T.patient],0.18462277402179175,0.11485044968373691,1.6075058872663237,0.10794343898069447,-0.04047997096656222,0.40972551901014576
C(syntactic_role)[T.subject],-0.41992388822877674,0.2437926213174337,-1.7224634853981442,0.08498559190686589,-0.8977486457075586,0.05790086925000515
C(valence)[T.-val],0.21424817897105583,0.08539855978483739,2.5088031872066283,0.012114095912426076,0.046870077461183934,0.3816262804809277
C(dominance)[T.-dom],0.11859708383482634,0.08785468358526982,1.3499232937276318,0.17704058896316166,-0.053594931865464795,0.29078909953511745
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.02061729431152605,0.02341178771419194,-0.8806373337747333,0.37851414486412205,-0.06650355504503958,0.02526896642198747
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.014547348022463552,0.02341178771419194,-0.6213685259774129,0.5343571757478932,-0.06043360875597707,0.031338912711049965
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.02406921386719018,0.023411787714191935,-1.0280809889882832,0.30391173249327186,-0.06995547460070368,0.021817046866323325
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.031425094604489834,0.023411787714191935,1.3422765910969,0.17950633058834664,-0.014461166129023671,0.07731135533800335
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.08502120971679449,0.023411787714191924,3.631555640035798,0.00028171790122094164,0.039134948983280994,0.13090747045030798
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.21612129211425904,0.023411787714192046,-9.231302399997757,2.673609553448046e-20,-0.2620075528477728,-0.1702350313807453
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243652408,0.02341178771419204,-2.6179599432883074,0.008845718822910553,-0.10717738317003779,-0.015404861703010364
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03758163452148495,0.023411787714192035,-1.6052441180603763,0.10844009182525316,-0.08346789525499865,0.008304626212028758
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1931583404541019,0.023411787714192042,-8.250473770399466,1.5776780360818896e-16,-0.2390446011876156,-0.1472720797205882
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.01443023681640675,0.023411787714192035,-0.6163662934488022,0.5376527943407654,-0.06031649754992045,0.03145602391710696
C(tense)[T.past perfect]:C(valence)[T.-val],0.11186408996581924,0.02341178771419203,4.778109699756426,1.769508391707493e-06,0.06597782923230555,0.15775035069933294
