,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,0.052821220482278365,0.07220450118049011,0.12668499350969945,-0.06264662637866701,0.028599524968179083
accountant,-0.6161211504001911,-0.06375060479347919,-0.07709538988190623,-0.023801542973284674,-0.03726298211090517
administrator,-0.27540851237552894,-0.07149182125791008,0.2684659800328644,0.04736553833103764,-0.006898370605799016
agronomist,-0.008482053177196113,-0.05269075548469375,-0.06542599972403132,0.0033027749324819784,-0.007969250983016025
binman,1.5811091815548368,0.009685147219827432,-0.21918614201562978,0.04416753235158333,0.11563536104126274
bodyguard,0.5943206141117037,-0.0843583175047694,-0.06279620275931369,-0.020437392304194817,0.048815000318928506
bookbinder,0.18846213807912449,0.08742888887006259,0.0011964578019608727,-0.015148638025920506,-0.035959862525960284
builder,0.996420841451377,-0.03764842790488119,-0.19811135857654433,0.056903085337160514,0.03762443687251543
cashier,-1.6033863159356045,-0.05341741900516526,0.030178632067719625,-0.0708746298074173,-0.06318335274677835
chauffeur,0.9372283144017468,0.06758642490260336,-0.4147433957929722,0.030409021163373667,-0.02485411154305328
colonel,1.4289450001993154,0.15837202177090148,-0.05019052223880008,-0.022202310607026994,0.06253233858775689
doctor,0.08495479622414173,-0.005518356078554649,-0.12018634063748408,-0.003944815235353677,0.00637555606071622
electrician,1.077012138526111,0.060376172065998455,-0.09582661872510297,0.03183906387952172,0.04892326461948652
farmer,1.3011301295015514,0.0021690814944525755,-0.22100488628883522,0.04094661284335128,0.04219643343433612
farmhand,0.009347949071157212,0.03530013422525345,0.0806505323481912,-0.06811054551195918,0.05602923370943188
fisherman,2.3630131640138217,0.19042684149756517,0.22134317226684547,0.06662061116623273,0.15067385834685007
hawker,0.14602854199320608,-0.09859873785408979,-0.14850302908535998,0.06601986335222737,0.03476026116290789
housekeeper,-3.8253155534250234,-0.21080601779772373,0.5958721592715331,-0.1218170163144585,0.004183126259482741
manager,-0.07789869234117915,0.020403483285710348,-0.03880481364670795,0.0036190625385041125,0.00036693209673934027
midwife,-4.381171989069803,-0.10362760603361765,0.20560692786361487,-0.13532402337458888,-0.10003242319313489
molder,-0.10752282344992631,0.09469466183698022,0.2420495497541062,0.00592224460675358,-0.042588378557400136
paralegal,-1.8100515540199624,-0.07766703124829985,0.11479098880491717,-0.09647688447082868,-0.07759710947111458
programmer,0.11682892856748689,0.03792307782141059,0.0953714946922802,0.009936022964973496,0.07902970357538025
salesperson,0.1992627578407514,-0.016115990937944736,-0.35834387417339925,0.014198179298454782,-0.05432709868752725
scientist,-0.05072810483950479,0.022061884022156038,-0.28732650309385654,-0.011443925793139142,-0.03524439011681603
scrivener,0.466553932810662,-0.043910316789491595,-0.05398640223068819,0.09146943424597714,-0.0686987228725033
sergeant,0.46820397303811156,-0.012650450413384825,-0.10582321601640887,-0.004888186149523179,-0.04060979218591292
soldier,1.185882616229278,0.1897435847797544,0.3321326544037615,0.11943970430676815,-0.03719436808154806
solicitor,-0.12136210783603536,-0.10600641066451573,-0.03175965018560997,-0.01904087111793503,0.027398126249793296
teacher,-1.2581997549124073,-0.08834780437124906,0.20773756376316807,-0.038101840630075934,-0.062142428801306604
tradesperson,0.10708958530581816,0.06527461669339922,0.19623072892172885,0.06498184150446072,-0.10159088300011578
welder,0.8310327886548758,0.012955546485653115,-0.16919749044904417,0.01711865588061882,0.053010368186082304
