term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,2.3427420983004046,3.725201686241112,0.6288900026415298,0.5294210715489921,-4.958519041880054,9.644003238480863
C(tense)[T.past perfect],0.01314490227140585,0.07621926194958158,0.1724616840307519,0.8630745816970435,-0.13624210607799817,0.16253191062080988
C(tense)[T.present continuous],-0.15283938840787703,0.07621926194958052,-2.0052593596219963,0.044935327103800694,-0.302226396757279,-0.003452380058475063
C(tense)[T.present perfect],-0.3228954821934685,0.07621926194958029,-4.23640263542655,2.2712934156745046e-05,-0.47228249054286997,-0.17350847384406698
C(tense)[T.simple future],-0.31445822577499094,0.07621926194957976,-4.125705467772832,3.696000350529755e-05,-0.4638452341243914,-0.16507121742559047
C(tense)[T.simple past],-0.1063106980657315,0.07621926194957962,-1.3948009380628468,0.1630758759606814,-0.2556977064151317,0.04307631028366869
C(semantic_role)[T.patient],0.20352119650512504,0.12397656560764314,1.6416102148628804,0.10067080936316897,-0.03946840701282264,0.44651080002307275
C(syntactic_role)[T.subject],-0.4029505446824773,0.13283023468208238,-3.0335754931616616,0.0024167423534171787,-0.663293020717362,-0.14260806864759268
C(valence)[T.-val],0.22622775934626468,0.08884894410820841,2.5462065038245556,0.010890074466198121,0.05208702882976396,0.4003684898627654
C(dominance)[T.-dom],0.04913660418949231,0.0768320876873939,0.639532331718149,0.522476687501404,-0.10145152053482306,0.1997247289138077
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.019131851196290073,0.023115034580962694,-0.827679972931854,0.4078517639260495,-0.06443648647637484,0.026172784083794705
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.00655441284179778,0.023115034580962694,-0.28355626373130877,0.7767504583091142,-0.05185904812188256,0.038750222438287
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.016834259033204,0.023115034580962694,-0.7282818017961575,0.466441099954529,-0.06213889431328878,0.02847037624688078
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.021606826782226033,0.023115034580962694,0.9347520855547927,0.3499160776007135,-0.023697808497858745,0.06691146206231081
