,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.08799504047610801,0.06688780524446529,0.13473946393171096,-0.07318810746037097,0.02706781955716967
accountant,-0.4325836757213615,-0.056821644692705585,-0.08756072886769685,-0.01140738203626384,-0.03527550783711997
administrator,-0.277806485505149,-0.07158442460484554,0.2685971104262429,0.047776602966034185,-0.006915771559116626
agronomist,0.014744017351057046,-0.05180139087318629,-0.06675044499553791,0.004917404680397922,-0.007712401038644244
binman,1.978257935186951,0.024648590313426474,-0.24185018776571143,0.07189706870091264,0.11997425394044933
bodyguard,0.5288243434075182,-0.08679799309587145,-0.0590438546831565,-0.02539135949973125,0.04812897340140036
bookbinder,0.2466386263459328,0.08961497675394085,-0.0021166454352837495,-0.011437323804888721,-0.03535727807001155
builder,1.0054760824490012,-0.037291643077857525,-0.19864213985525644,0.05813247591692355,0.037740671015241395
cashier,-1.375239900870807,-0.0448200070769596,0.017177008279875335,-0.05583712612823322,-0.06072055278190096
chauffeur,0.9909468820364333,0.0696229206072932,-0.4178244421363482,0.03441215540991636,-0.024289434258985516
colonel,1.2473397984276817,0.15151791624533067,-0.039819650372773456,-0.03522331285417043,0.06055439203883
doctor,-0.14310099849733743,-0.014104125336388629,-0.10717996223396824,-0.019640951270380506,0.003908530434575079
electrician,0.9634758359712781,0.056094490609299504,-0.08935795068896261,0.0243124588344187,0.047698453358540054
farmer,1.2862106980582801,0.0016229115299910247,-0.2201617056940442,0.040243242535226195,0.04204591476512477
farmhand,0.19964480291910686,0.04245952850067725,0.06981828133264137,-0.055907780770960855,0.05810099252678548
fisherman,2.3380488924650584,0.18944489134153486,0.22276203867696606,0.0654009585599232,0.1504169837497552
hawker,0.08162961403799184,-0.10101594704488762,-0.14485374943557022,0.06255582602361182,0.03409472970977332
housekeeper,-3.8401241192635833,-0.21138982017571514,0.596743219169014,-0.12368422910404886,0.004065691779468713
manager,-0.27183825256436567,0.013091398994104024,-0.027747833981065066,-0.009592714753353958,-0.0017353455637066952
midwife,-4.389106539955434,-0.10395688720810702,0.20606707092691615,-0.13664996600517526,-0.10011882993629834
molder,0.0615563209719788,0.10104281792476213,0.2324075186072037,0.017544087161008942,-0.04078718456983663
paralegal,-1.8569527107208517,-0.07942282178655935,0.11749098678614246,-0.10073545608700575,-0.07811832753093624
programmer,0.16172142014876542,0.039586555271788094,0.09280427078843766,0.013281236455589877,0.07953936855680747
salesperson,0.12978907057250572,-0.01870853163147269,-0.3543926702771387,0.009599905283174122,-0.05509328572076386
scientist,-0.1341123257207413,0.01893008241916427,-0.28257706624359086,-0.017238547967461174,-0.036160001187042545
scrivener,0.35031173223715256,-0.048269560798215046,-0.04737733671482197,0.08447462256418703,-0.06997446184805177
sergeant,0.5717378941357022,-0.008724905197105623,-0.11172032160747869,0.0019402460077407792,-0.03950448297332354
soldier,1.1002417191789946,0.18647898082275277,0.33699324102817385,0.11478243036746952,-0.03816701627464883
solicitor,-0.1567601358929665,-0.1073195602968346,-0.029731109084366044,-0.02172682949655658,0.02703873633380525
teacher,-1.4428614485246394,-0.0952943866036133,0.21828523606594624,-0.051205471127522,-0.06415067696474525
tradesperson,0.3406323993146801,0.07406537487966997,0.18289716289643046,0.08168151322267334,-0.0991061935127011
welder,0.8112535486309257,0.012214408047987946,-0.16807480885361553,0.015914323681391312,0.05281124046337636
