term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.3399486920134993,0.802642284056702,1.6694220060786626,0.09503377545015232,-0.23320127720660433,2.9130986612336027
C(tense)[T.past perfect],-0.17814655303954977,0.011807394899326753,-15.087710249252995,1.9509606567580305e-51,-0.20128862179347212,-0.1550044842856274
C(tense)[T.present continuous],-0.20313682556152246,0.01180739489932675,-17.20420357695542,2.469486406670516e-66,-0.22627889431544482,-0.1799947568076001
C(tense)[T.present perfect],-0.2671688079833974,0.01180739489932675,-22.62724421952138,2.3376246001436726e-113,-0.2903108767373198,-0.24402673922947507
C(tense)[T.simple future],-0.016876792907713815,0.01180739489932675,-1.4293409385906215,0.1529062648465147,-0.04001886166163618,0.006265275846208552
C(tense)[T.simple past],-0.04237403869628807,0.01180739489932675,-3.5887711944574843,0.0003322402672061803,-0.06551610745021044,-0.019231969942365704
C(semantic_role)[T.patient],0.1701332092279877,0.019934544398996196,8.534592304831143,1.406505073249094e-17,0.1310622201577405,0.2092041982982349
C(syntactic_role)[T.subject],-0.41597328185958143,0.039802713953943455,-10.450877353260703,1.4517594404176245e-25,-0.49398516769626044,-0.3379613960229024
C(valence)[T.-val],0.1444096883133634,0.014908150876703479,9.686626430580878,3.436938999084875e-22,0.11519024951893535,0.17362912710779144
C(dominance)[T.-dom],-0.021890004476141537,0.012716850185929319,-1.7213385512995933,0.085189407764251,-0.04681457283735449,0.0030345638850714195
lex_emb_norm,0.829579672971277,0.8150977077319973,1.0177671524553487,0.3087886256656204,-0.767982478064593,2.4271418240071467
