,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,0.06040396670970385,0.0728457394050178,0.11451083759667144,-0.061082541963700096,0.019506574959085272
accountant,-0.5939491152292615,-0.06832616835023339,-0.06582147349765817,-0.0342782674547377,-0.02324543375766492
administrator,-0.23939284152658105,-0.0796119668136883,0.2819304091357511,0.04606105989513549,0.0016434026613601305
agronomist,-0.01592250572801952,-0.057701714193879636,-0.04243343438859872,0.004415348457178403,-0.009056046926863801
binman,1.67104831591522,0.018370247061935022,-0.24317453569334516,0.04923069254924483,0.11367192327847205
bodyguard,0.5655425643379904,-0.0981552108407667,-0.08794444360508301,-0.02232473834767817,0.041788383453947295
bookbinder,0.2441915224075243,0.09389226112367663,-0.001202536839622616,-0.00804271064891681,-0.043145540850753374
builder,1.0455444275239878,-0.02826646191158936,-0.20476739102186195,0.07480919769409586,0.023605106185943053
cashier,-1.585068568008818,-0.07085587047580175,0.048241091521066766,-0.07988475510058198,-0.05030654620187809
chauffeur,0.9170544882391536,0.0805584089845599,-0.4305172725526954,0.0166581386233968,-0.008743244655228069
colonel,1.342924985209136,0.1576286037644217,-0.05220545332270569,0.000989456904725582,0.029662061758582773
doctor,0.10132086374343106,-0.007791191448613797,-0.11543459004127431,-0.007360156705805666,0.010158868373968085
electrician,0.9990716445075856,0.07942119876329241,-0.11728318002811565,0.05896070492409786,0.014108744045599914
farmer,1.3261974737201887,0.0012077862088198349,-0.2259349719719519,0.035339375299255696,0.05069368219944519
farmhand,0.01588284945816549,0.03793464237068377,0.06446741808264768,-0.055557854023783694,0.03481961929656438
fisherman,2.3014585757089687,0.21335441217827222,0.2071701251275438,0.10348277694524019,0.10766586751086102
hawker,0.15274527219376322,-0.1101674941219132,-0.1524154210023421,0.05623558263375573,0.049951953225289794
housekeeper,-3.8724444215043294,-0.24828256864207382,0.6312496068552299,-0.11016324538023452,-0.012721222467673548
manager,-0.04196419315715311,0.0285347019135075,-0.034982145461047706,-0.0015761800432771648,0.0075967220501643095
midwife,-4.3992403602423,-0.13346599872590675,0.215992348284984,-0.1559055401483864,-0.07761211952689732
molder,-0.08488988565707556,0.0971938149078542,0.24874161936096664,0.003545592708822099,-0.03636040254026239
paralegal,-1.8225131056314055,-0.09038600712794778,0.13754663607761836,-0.11713930005974019,-0.06221259960703244
programmer,0.1479999106194748,0.0511786448096364,0.08449229141999405,0.04764453707314792,0.04130615913249978
salesperson,0.1407603124979878,-0.01374703616968548,-0.3248383319242399,-0.0008299820181697232,-0.03752350749354824
scientist,-0.03162815500466902,0.024856345738404496,-0.27654142408869004,-0.005750082745519038,-0.03810376447824842
scrivener,0.43055911247079254,-0.04901257899588363,-0.05820937672472612,0.07274556471185258,-0.04395689438268256
sergeant,0.5086602699602051,-0.012984888943907653,-0.12456299465703732,-0.010641091167747781,-0.03430806809611578
soldier,1.1863144116652025,0.19804372183211305,0.33145472828131944,0.12466596902792008,-0.030611266006401915
solicitor,-0.14550682767002376,-0.10951313276430573,-0.023740329362286008,-0.04472030034536591,0.04884692972894379
teacher,-1.2157257930167487,-0.08881825369462062,0.19980557720941736,-0.06946911251950437,-0.0321898616591443
tradesperson,0.10112792667218304,0.08203635834928018,0.20680493483681747,0.0649751423513358,-0.09406815334299248
welder,0.7894368790390534,0.030029655821054716,-0.1903983176243663,0.024966718882571,0.03913867413709781
