,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,0.03923197979397533,0.07230674781066583,0.11999974433135022,-0.06182573940924166,0.019030164305389237
accountant,-0.5504452835517308,-0.06777036158599008,-0.07272975787588076,-0.03365050355976039,-0.02255988285106178
administrator,-0.2615753489790197,-0.07988070483013059,0.2821858013531394,0.04544837201474687,0.0014839166020973126
agronomist,-0.03366627010069468,-0.057857467142196514,-0.043337414056654554,0.004116505293056034,-0.009243374225802297
binman,1.6712410089634666,0.018289893206627553,-0.2580272174991331,0.049058917621762815,0.11374885071181806
bodyguard,0.593137362974183,-0.09756229149481115,-0.0856928678349972,-0.022011644153971326,0.04231329406621065
bookbinder,0.16989187638363681,0.0926685022036414,-0.0031025370110976665,-0.00953782993030756,-0.04427476854675772
builder,1.0046174585048644,-0.02891350248064405,-0.20482777029330937,0.07394697566802096,0.023147587529412896
cashier,-1.52426734882691,-0.07013247523886212,0.03963076109956063,-0.07892358005649325,-0.0494689681016523
chauffeur,0.9598489661629508,0.08122767937345388,-0.4327433012510145,0.017746491678051365,-0.008122486966987886
colonel,1.3691160487545324,0.15811463504432718,-0.04559219673466025,0.0015184899418841321,0.030000786824670344
doctor,0.04406301995534749,-0.008802306036102747,-0.10658191505587737,-0.008486396761561462,0.00920603548131498
electrician,1.0230449445066072,0.0800104491435532,-0.11329161313417167,0.059790890860821996,0.014510642238850747
farmer,1.3194490322224552,0.0010929540604772993,-0.2252830271374039,0.0350430852737917,0.050683287759627285
farmhand,0.0494985199281174,0.038320154925539265,0.05724779062902513,-0.05517559087530412,0.035233635893276584
fisherman,2.333169068831235,0.2140237776686029,0.20788855701593348,0.10414927726223557,0.1082109600209019
hawker,0.11994562671522854,-0.11048545709746943,-0.15007216899207682,0.056015959106661815,0.04949182062567695
housekeeper,-3.842741029366395,-0.24788122128372753,0.631653974084789,-0.10950252492154715,-0.01251170333173037
manager,-0.11025807908559242,0.027280736765399494,-0.02731826514656659,-0.0029081823724907267,0.006438676477536208
midwife,-4.367642711525548,-0.1333091292255898,0.2161816659325016,-0.1548033500652406,-0.07766045654115915
molder,-0.08331313157312532,0.09723275054204447,0.2423836954154928,0.0035000221954858807,-0.0362948736137171
paralegal,-1.8333443108394594,-0.09062769028784576,0.13930448041364712,-0.11746795030027164,-0.06251376510855138
programmer,0.12508812333114008,0.05064955764689323,0.08305966920744827,0.04724235944082825,0.04089182681333278
salesperson,0.15740153042247837,-0.013359241497091744,-0.3224458800133899,-0.00018708587098359205,-0.037263902968508435
scientist,-0.06893129318956515,0.024104492247584663,-0.2731517958960744,-0.006382283196739124,-0.03874593791912674
scrivener,0.4306732590580133,-0.04859087173959328,-0.054111980282998545,0.07310495991869122,-0.0437076888309427
sergeant,0.5227719298600743,-0.01280049117628509,-0.12836447804152065,-0.01075629438931609,-0.033930908219913576
soldier,1.169854062865439,0.1979880919531491,0.3347153950022671,0.1244866761854156,-0.030664844347302333
solicitor,-0.11430869713147891,-0.10899470862875058,-0.022576852905482257,-0.04429436833707227,0.04930276882865497
teacher,-1.2643415234539017,-0.08971073530837745,0.20703498765122016,-0.07071845100305041,-0.03299092371112169
tradesperson,0.13517281262233077,0.08281263484087739,0.19783287528591892,0.06574460031501546,-0.09328933552860849
welder,0.8176183951024276,0.030555597584587372,-0.18986835821318948,0.02571819240087422,0.03954956662074156
