term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,2.0122085196566357,1.0648236882711928,1.8897105143515176,0.058796687115709005,-0.07480755924000748,4.099224598553279
C(tense)[T.past perfect],0.013144902271401615,0.07621934207142898,0.17246150273880434,0.8630747242118427,-0.13624226311393772,0.16253206765674094
C(tense)[T.present continuous],-0.15283938840787614,0.07621934207142904,-2.0052572516913427,0.04493555233788214,-0.3022265537932156,-0.003452223022536699
C(tense)[T.present perfect],-0.3228954821934578,0.07621934207142779,-4.236398182115784,2.27133844156697e-05,-0.4722826475787948,-0.17350831680812082
C(tense)[T.simple future],-0.31445822577497834,0.07621934207142941,-4.125701130826896,3.6960700080491766e-05,-0.46384539116031853,-0.16507106038963817
C(tense)[T.simple past],-0.10631069806572954,0.07621934207142803,-1.3947994718466838,0.16307631822829693,-0.255697863451067,0.0430764673196079
C(semantic_role)[T.patient],0.22594197591157136,0.0274584742821226,8.228497096747851,1.8957689736810956e-16,0.17212435524819175,0.279759596574951
C(syntactic_role)[T.subject],-0.503873233843834,0.2392258935804613,-2.1062654477006317,0.035181300892162905,-0.9727473694309499,-0.0349990982567181
C(valence)[T.-val],0.2598587627780507,0.04696862591865142,5.532603045022439,3.1551297020987334e-08,0.1678019475741594,0.351915577981942
C(dominance)[T.-dom],0.05822098560928003,0.076477176471108,0.7612857625735582,0.4464864025668268,-0.09167152591340567,0.20811349713196575
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.019131851196287544,0.023115058879540493,-0.8276791028735578,0.4078522567944267,-0.06443653410070968,0.026172831708134597
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.006554412841795472,0.023115058879540497,-0.28355596565652214,0.7767506867668043,-0.051859095746217616,0.03875027006262668
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.016834259033201866,0.023115058879540483,-0.7282810362253562,0.4664415685001323,-0.06213894193762398,0.028470423871220254
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.021606826782228087,0.023115058879540483,0.9347511029423612,0.34991658411024773,-0.023697856122194032,0.0669115096866502
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.09185791015625112,0.023115058879540483,3.97394229601362,7.069269675754751e-05,0.046553227251829005,0.13716259306067324
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.2226886749267616,0.023115058879540483,-9.633922028373762,5.7492241490081985e-22,-0.2679933578311837,-0.17738399202233945
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06188430786133174,0.023115058879540483,-2.67722908186518,0.007423386007400615,-0.10718899076575386,-0.016579624956909622
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.04474411010742584,0.02311505887954047,-1.9357125733748233,0.05290291365631897,-0.09004879301184793,0.000560572796996249
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.19076805114746484,0.023115058879540466,-8.252977080509057,1.5449669087796908e-16,-0.23607273405188692,-0.14546336824304276
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.02150650024414436,0.02311505887954047,-0.9304107922121768,0.35215843289448423,-0.06681118314856645,0.023798182660277733
C(tense)[T.past perfect]:C(valence)[T.-val],0.12623710632323826,0.02311505887954046,5.461249611393935,4.7279472904119726e-08,0.08093242341881618,0.17154178922766034
C(tense)[T.present continuous]:C(valence)[T.-val],-0.00766448974609783,0.02311505887954046,-0.3315799360944654,0.7402064719219057,-0.05296917265051991,0.037640193158324245
C(tense)[T.present perfect]:C(valence)[T.-val],0.12673187255858945,0.023115058879540448,5.482654109558081,4.1899172859744555e-08,0.0814271896541674,0.1720365554630115
C(tense)[T.simple future]:C(valence)[T.-val],0.01705741882323815,0.023115058879540445,0.7379353395606523,0.4605537426679701,-0.0282472640811839,0.0623621017276602
C(tense)[T.simple past]:C(valence)[T.-val],0.14929885864257408,0.02311505887954043,6.458943471466616,1.054364849360657e-10,0.10399417573815206,0.1946035415469961
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.03643379211425979,0.023115058879540507,-1.5761929183969285,0.11498135005854317,-0.08173847501868195,0.00887089079016238
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.007923889160158171,0.023115058879540514,-0.34280203227912714,0.7317473969595827,-0.05322857206458036,0.03738079374426401
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.05202407836914289,0.023115058879540507,-2.2506574021833967,0.024407244728673137,-0.09732876127356506,-0.006719395464720723
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.049781417846681476,0.02311505887954051,-2.153635779433111,0.03126874607000368,-0.09508610075110366,-0.004476734942259301
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.04588546752929904,0.023115058879540514,-1.9850897965876677,0.047134481803918715,-0.09119015043372122,-0.0005807846248768594
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.041616312662761945,0.01334548546643678,-3.1183813258367303,0.0018184735874377546,-0.06777298353318076,-0.015459641792343132
C(semantic_role)[T.patient]:C(valence)[T.-val],0.008148447672524107,0.013345485466436775,0.6105770893847994,0.5414795939134087,-0.018008223197894697,0.03430511854294291
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.10179773966471536,0.013345485466436791,-7.627878350377844,2.3864859267710627e-14,-0.1279544105351342,-0.07564106879429652
C(syntactic_role)[T.subject]:C(valence)[T.-val],0.018627421061195915,0.01334548546643678,1.3957844477102714,0.1627794150769094,-0.007529249809222899,0.04478409193161473
