,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,0.05741815822115709,0.07515480497480591,0.12021915381891686,-0.060901655469767384,0.019153489153584505
accountant,-0.6787817378545413,-0.08488295978433247,-0.07160475435978174,-0.03567948771054122,-0.023158315293390918
administrator,-0.2856382565490345,-0.08666246584798609,0.2827477030491971,0.04512137896960826,0.0015477053440905103
agronomist,0.029265876204099265,-0.05104253520821059,-0.044221349283296234,0.005358743828703373,-0.008695244336330989
binman,1.6431772165325318,0.0065440653462666325,-0.25862385838212554,0.04890816549276069,0.11371984864140791
bodyguard,0.5941806606638576,-0.09218461637058162,-0.08587567042286873,-0.021333292990225437,0.04183419660002842
bookbinder,0.30182855053412727,0.10180095301676724,-0.00460937239880043,-0.006902614319200832,-0.04254944465700123
builder,0.9879846551736821,-0.03741337245023621,-0.20403550623390265,0.07359041041960962,0.023390850350939647
cashier,-1.6801686338517476,-0.08988067897609804,0.04085885859531923,-0.08147086700166209,-0.05018331698299473
chauffeur,0.9065085571406563,0.07775993962485019,-0.4323232389154018,0.016354627612506355,-0.008682359267765135
colonel,1.3895960077876803,0.16835076211574496,-0.04574542447761927,0.0019368839421629732,0.029473707013418164
doctor,0.1071349688764187,-0.0026466204694067076,-0.10630909002765598,-0.0073309738735087135,0.009720743799963648
electrician,1.044847124004906,0.08853844878085763,-0.11352923180105905,0.05955311834150254,0.014043762253222828
farmer,1.2914347169608673,-0.0038479994326141445,-0.22466084924161986,0.034796125294856636,0.050426486224269235
farmhand,0.006969690491237416,0.033082371263726845,0.05695930739964865,-0.05537363304055068,0.03490779464407708
fisherman,2.3162030063284416,0.2160421502805166,0.2077864432108675,0.10354425349815598,0.10720359138382794
hawker,0.22553507730070124,-0.09783478111881205,-0.1511542591711754,0.05734333855433538,0.0498394974708384
housekeeper,-3.852410284658556,-0.24495538477324286,0.6313412579427408,-0.10980889686365193,-0.012978675176468963
manager,-0.04872637770665227,0.031010455929201146,-0.027006961079459605,-0.001895480736412506,0.0071014004992887595
midwife,-4.382902631191513,-0.13120151491425958,0.2161252740919488,-0.15593355974728743,-0.07787388132447141
molder,-0.0762010202348165,0.09541498209671961,0.2416919175976482,0.0037243437341023546,-0.03584657513958183
paralegal,-1.7644430121860595,-0.08030720550602514,0.13834738000460695,-0.11570342546497162,-0.061788254031192265
programmer,0.08571120690391734,0.040414013541183465,0.083845152555032,0.046110905320235374,0.04073690275755916
salesperson,0.18573781989107838,-0.0055152084946692255,-0.32276149299429285,-4.588354106310662e-05,-0.037251482048373384
scientist,-0.058354749070307306,0.022138203857357826,-0.2725527827176033,-0.006422196343806015,-0.03823962870546203
scrivener,0.49968495431783894,-0.03605479011273678,-0.05485275395823966,0.07385531593325496,-0.04345719158066022
sergeant,0.44090410557914284,-0.025199673092718908,-0.12746855812595606,-0.011570778494075165,-0.03399268949645505
soldier,1.1697401565493568,0.19698552863396868,0.335073372127353,0.123830864853271,-0.030587569101435456
solicitor,-0.1355986214716318,-0.10714160536965509,-0.022523191423242484,-0.044178800014555264,0.04865979895166126
teacher,-1.2183915079813445,-0.08558118549416964,0.20723165872758378,-0.06930813983684729,-0.03232529310374308
tradesperson,0.08580616939002908,0.07531151797453223,0.19759384122263593,0.06451555926725003,-0.09313668199814754
welder,0.8119481536355709,0.03380439996475057,-0.18996297531034853,0.025315650375297132,0.038986827149911286
