term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,0.4615399320957304,1.0761668362826349,0.42887395944109513,0.6680149518875493,-1.6477083083746464,2.5707881725661075
C(tense)[T.past perfect],0.013144902271256009,0.07621904919284161,0.17246216543581022,0.8630742032613643,-0.13624168908260023,0.16253149362511224
C(tense)[T.present continuous],-0.1528393884080226,0.07621904919284105,-2.0052649570755627,0.04493472901601705,-0.3022259797618777,-0.0034527970541674835
C(tense)[T.present perfect],-0.32289548219360636,0.07621904919284199,-4.236414460860667,2.2711738569027226e-05,-0.4722820735474633,-0.17350889083974938
C(tense)[T.simple future],-0.3144582257751244,0.0762190491928418,-4.125716984208419,3.6958153862454205e-05,-0.46384481712898096,-0.1650716344212678
C(tense)[T.simple past],-0.10631069806587541,0.07621904919284221,-1.3948048314916415,0.16307470155606307,-0.2556972894197328,0.04307589328798199
C(semantic_role)[T.patient],0.10861360373754485,0.06606957604791493,1.6439276628440325,0.10019114530247143,-0.020880385790198616,0.2381075932652883
C(syntactic_role)[T.subject],-0.41863136160286585,0.24387270540851466,-1.71659784928211,0.08605267573171758,-0.896613081015901,0.05935035781016934
C(valence)[T.-val],0.14988072713243508,0.02405701340057576,6.230230022187541,4.657508149659295e-10,0.10272984729170914,0.19703160697316102
C(dominance)[T.-dom],0.03806541648686896,0.07728552774353352,0.49252968308874484,0.6223449433771046,-0.1134114344166279,0.1895422673903658
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.019131851196287734,0.023114970058172212,-0.8276822833055645,0.4078504551532378,-0.06443636001402699,0.026172657621451517
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.006554412841795232,0.023114970058172205,-0.28355705524601993,0.7767498516573519,-0.05185892165953447,0.038750095975944004
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.01683425903320133,0.023114970058172202,-0.728283834711248,0.4664398557685502,-0.062138767850940566,0.0284702497845379
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.021606826782228597,0.023114970058172212,0.9347546948082498,0.3499147326049735,-0.023697682035510655,0.06691133559996784
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.09185791015625143,0.023114970058172212,3.973957566247221,7.068816218729778e-05,0.04655340133851218,0.13716241897399067
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.22268867492674954,0.023114970058172247,-9.633959047592123,5.7471524739897265e-22,-0.2679931837444889,-0.17738416610901023
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06188430786131926,0.023114970058172243,-2.677239369360126,0.007423158063066226,-0.10718881667905858,-0.016579799043579944
