,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,0.06258476785575641,0.07295774932932605,0.11426676474064595,-0.06104017193114106,0.019413542757635124
accountant,-0.6126897700833398,-0.07029358619207794,-0.06371760695743733,-0.036895027691982656,-0.023536747767079175
administrator,-0.27791167882150297,-0.08076755307480186,0.2829249106185431,0.0443216386597286,0.0012356039289313833
agronomist,-0.02129946972315027,-0.05711958990039616,-0.04319075817798534,0.0051030405409976595,-0.009071333633841352
binman,1.5924839790257417,0.015790802550837445,-0.2412590919825604,0.045901534193917674,0.11251783188869369
bodyguard,0.6149750697905814,-0.09670935034861491,-0.08889530399915292,-0.020902527876456675,0.0426496133631329
bookbinder,0.18075616957280977,0.09349230663254611,-0.0017559317666668314,-0.008458792313874853,-0.044140124929720595
builder,0.982192345884341,-0.030066072852688808,-0.2034164398363765,0.07245024128989301,0.022811483686215224
cashier,-1.5978990757039915,-0.07306358357217557,0.0506400623984592,-0.0826919234945648,-0.05062581536976855
chauffeur,0.9467252385251079,0.08077328441216006,-0.4303510490215805,0.017137318419038292,-0.008331161434766046
colonel,1.4173979460900943,0.1599142189184685,-0.05386681031085805,0.003784818771552208,0.030763258616878782
doctor,0.08552353957133128,-0.007564823108705823,-0.11602096782589574,-0.006941342815835439,0.009878909033899133
electrician,1.059089276612586,0.08144503561914652,-0.1187415456389828,0.06162570703004119,0.015077121534612116
farmer,1.3094675821418589,0.0004972070879240364,-0.22526721526364302,0.03425343501741822,0.050542863381257894
farmhand,0.013523382701686728,0.03721951124287196,0.06517519404648381,-0.0565753256848034,0.034665706038443954
fisherman,2.342601488030738,0.21443152406400862,0.20662752416725852,0.10465710607601324,0.10838499732523071
hawker,0.1571462854004097,-0.10880098871053025,-0.15397442446955734,0.05823049361717456,0.05008112182111981
housekeeper,-3.8329967666981073,-0.2474400501880176,0.6306744228615976,-0.10887358971689241,-0.012343390467477514
manager,-0.07929485284676444,0.02811488812327682,-0.03513298960799836,-0.0018843239757231167,0.00695158995818198
midwife,-4.36051044026903,-0.1329413502159125,0.21554612272563872,-0.1543163818924355,-0.07753223193494481
molder,-0.10934259153449884,0.09657370316037946,0.2491484458960312,0.0026814201275003587,-0.03673134946674145
paralegal,-1.8040438618074486,-0.08928552130899602,0.13632003013116792,-0.1157198012123767,-0.06208267590252805
programmer,0.09462010243400173,0.049244700615941536,0.08601892097937125,0.0454150733077643,0.04045154696594452
salesperson,0.18567449888078097,-0.01215753092409651,-0.3260884773028025,0.0013573492333024927,-0.036838811778666936
scientist,-0.06418913205591477,0.024017458793308216,-0.2760933376427383,-0.006539429583856869,-0.03866346995869082
scrivener,0.47569313700380017,-0.046716120318803574,-0.060077412202578076,0.0755498830653881,-0.043033761186730995
sergeant,0.4806399067240788,-0.014603390511526768,-0.12293484542294236,-0.01309040525502415,-0.03460828898301426
soldier,1.1784732829966182,0.19810115954723126,0.3315368330838803,0.12460518988704096,-0.030530754243983358
solicitor,-0.10453428461239639,-0.10864392313390601,-0.024209247694520267,-0.04383396141035198,0.04946505956057118
teacher,-1.233281188797722,-0.08885338766486667,0.19950805543028496,-0.06963933620020045,-0.03249900782437959
tradesperson,0.0893326493102712,0.0813712430417918,0.20767726703006908,0.06393607328349464,-0.094058807162492
welder,0.8290924652512851,0.031082028932792494,-0.1910710990462191,0.02639201856835825,0.039737482201213946
