,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.15072484772045414,-0.017110580779678627,-0.05603262575859492,-0.08166953457659494,0.06610443915498229
accountant,-0.7301184661944498,-0.0474729536327346,0.3375570453692297,-0.030736250768628792,-0.0022778915705444734
administrator,-0.782034255377683,-0.009536459721745081,0.3009962307108944,0.01965495780888878,-0.022380931281757378
agronomist,0.7413404026035659,-0.031470769994277725,-0.2573195201889149,0.03879726788567341,-0.08799919336784989
binman,1.0888101331564675,0.1578893883169965,0.09947732746160505,0.057573261254849975,0.09185770305321152
bodyguard,0.39153275435965595,-0.0075346488389891626,0.018890521569075266,0.05284677257641224,-0.08932941515971114
bookbinder,0.4494559833388952,0.14980506150114642,-0.04760603741714948,0.15265002484732357,-0.09575816653010301
builder,0.8662209795906509,0.07079735866799579,0.0653872268381758,0.12720008741159192,-0.03534141722569184
cashier,-1.750551860261156,-0.1334243293704044,-0.10153182890642433,-0.20266064416186708,0.006865531626330885
chauffeur,0.8272698129745535,0.13466221948485943,-0.002124057278823775,0.014992787306172976,0.03297890709467306
colonel,1.273642511830879,0.15569046016287041,-0.10810779973121094,0.15158184937110666,-0.016724715137887834
doctor,0.3743932596020743,-0.030432545731398013,-0.012232466831330568,0.018926329522401614,0.01321897347424368
electrician,0.6192202716993523,0.13738002794881607,0.0635451062852447,0.042564890628080505,0.07687730903473357
farmer,1.0565595741909373,0.0024759702095422495,-0.1630579499373495,0.08950374842642535,-0.03514442497485319
farmhand,0.3305163948169028,-0.033695663454964615,-0.2256708449515941,0.0558926978124868,-0.06469986586236276
fisherman,2.338011103596273,0.3043083638222719,0.40073178101931467,0.18880918905771601,0.19337546550707582
hawker,0.688128823564783,-0.006874178828791285,-0.3523345987874661,0.04447947994334945,-0.014134492555414518
housekeeper,-3.139889469475213,-0.31470344107254344,-0.1077692925553649,-0.33918317986180263,-0.018840223058146116
manager,0.20561526039285596,-0.012099082741626145,-0.1107155627403315,0.047836051205507005,-0.09019028759656073
midwife,-4.181594439200907,-0.33629909351109305,0.06323610803098266,-0.35143204118423865,0.07975462283462045
molder,-0.5705095595174072,-0.07889045471566423,0.23848981985858372,-0.01327365753238115,-0.013687699997187218
paralegal,-1.6001955754870834,-0.08675097441613412,0.2471033156054851,-0.1338733581937514,0.020110918136685335
programmer,0.05152735510284497,0.12495849019816449,0.01887967064397473,0.031831540285758096,0.09932603614544218
salesperson,-0.4027069701076856,-0.10227249773681765,-0.042304698804595316,-0.15936740205772423,0.06299836352817158
scientist,0.19213738747753809,0.0009691024491213835,-0.3545961709508548,0.022131438041351623,-0.08001456693320515
scrivener,0.933620855427152,0.0774810534730353,-0.30407346054272694,0.176891135293143,-0.12001226434633201
sergeant,0.7684400237305866,0.07099303976499485,0.20258635917871523,0.10513970356294422,-0.021302203738125042
soldier,0.7903145018889076,0.10331880916255963,0.15894578853182165,0.13528940881959423,-0.00666126944300052
solicitor,-0.4462587217527817,-0.05345410257362456,0.12456686902627948,-0.11831953182584541,0.08087638470136488
teacher,-0.8388112471677794,-0.1209466680754294,-0.2665112485650858,-0.1652716460032439,-0.019673400865545206
tradesperson,0.16467689282182152,-0.11113516244523525,-0.30824168471483054,-0.008604536091338537,-0.0726243499979916
welder,0.4419611296133087,0.04337426243327665,0.47983667852670686,0.029799161149667467,0.08245212534997595
