term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,-2.163044926027716,3.6540849024477002,-0.5919525637126805,0.5538823538110702,-9.324919731276765,4.998829879221333
C(tense)[T.past perfect],0.10466629318961551,0.07986407776497417,1.310555334998419,0.19000803768645957,-0.05186442288824,0.261197009267471
C(tense)[T.present continuous],-0.4109121435131836,0.07986407776497413,-5.145143536527467,2.673163397213716e-07,-0.567442859591039,-0.2543814274353282
C(tense)[T.present perfect],-0.18628387963584586,0.0798640777649754,-2.3325114976478343,0.01967379877205566,-0.34281459571370376,-0.02975316355798796
C(tense)[T.simple future],-0.23581152614429543,0.07986407776497552,-2.9526607298746126,0.0031504800910627877,-0.3923422422221536,-0.07928081006643728
C(tense)[T.simple past],0.0502295861175639,0.0798640777649765,0.6289384103999699,0.5293893783470871,-0.1063011299602962,0.206760302195424
C(semantic_role)[T.patient],0.13672304066857846,0.13264143396128664,1.0307717323719758,0.30264787713732544,-0.12324939275329136,0.39669547409044825
C(syntactic_role)[T.subject],-0.4640151682910285,0.22727470795142396,-2.041648947537989,0.04118636626475783,-0.9094654104726785,-0.018564926109378488
C(valence)[T.-val],0.21177568941451833,0.13352517027711794,1.5860357187712202,0.11273120717210347,-0.04992883535821094,0.4734802141872476
C(dominance)[T.-dom],-0.1212027747425048,0.10073593711794905,-1.20317314962377,0.2289093229987299,-0.31864158344257654,0.07623603395756694
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.007498931884766417,0.026728632676926805,0.28055800591849156,0.779049429190336,-0.04488822551801054,0.05988608928754337
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.05230445861816356,0.0267286326769268,-1.9568699697577425,0.050362758041246174,-0.10469161602094051,8.269878461338726e-05
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.08350105285644477,0.026728632676926812,-3.1240300940843153,0.0017839221028321758,-0.13588821025922174,-0.0311138954536678
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.0404167175292976,0.026728632676926812,1.5121131715872196,0.13050507461015545,-0.011970439873479372,0.09280387493207456
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.001755523681639475,0.026728632676926805,-0.06567951690079947,0.9476329803400411,-0.05414268108441643,0.05063163372113748
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.17466278076171712,0.026728632676926777,-6.53466950116356,6.37501590695332e-11,-0.22704993816449404,-0.12227562335894022
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.017604446411134563,0.02672863267692677,0.6586362506426088,0.5101293786544749,-0.03478271099164232,0.06999160381391145
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.07490043640136529,0.026728632676926777,-2.8022546946826177,0.005074679271276118,-0.12728759380414217,-0.02251327899858839
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.07149581909179492,0.026728632676926777,-2.6748775351128593,0.007475655244389229,-0.12388297649457182,-0.019108661689018022
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.08289566040039209,0.02672863267692678,3.1013805083995534,0.0019262059598322068,0.030508502997615185,0.135282817803169
C(tense)[T.past perfect]:C(valence)[T.-val],0.14342498779297144,0.026728632676926888,5.365968006166699,8.051621420069902e-08,0.09103783039019434,0.19581214519574855
C(tense)[T.present continuous]:C(valence)[T.-val],-0.09293251037597416,0.026728632676926885,-3.4768898020061028,0.0005072662615087019,-0.14531966777875127,-0.04054535297319706
C(tense)[T.present perfect]:C(valence)[T.-val],0.05541725158691657,0.026728632676926885,2.073329087078769,0.038141663483135864,0.0030300941841394646,0.10780440898969368
C(tense)[T.simple future]:C(valence)[T.-val],0.00932693481445563,0.026728632676926885,0.34894919344329106,0.7271274525735402,-0.04306022258832148,0.06171409221723274
C(tense)[T.simple past]:C(valence)[T.-val],0.03029403686523693,0.0267286326769269,1.1333926890838608,0.257049382893362,-0.022093120537540204,0.08268119426801407
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.05894622802734522,0.026728632676926784,2.2053589025610703,0.02742891953376497,0.006559070624568307,0.11133338543012214
C(tense)[T.present continuous]:C(dominance)[T.-dom],0.046629714965822355,0.02672863267692678,1.744560431857593,0.0810614134744049,-0.0057574424369545504,0.09901687236859927
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.002298355102541155,0.026728632676926788,0.08598850267882151,0.9314755569057616,-0.05008880230023576,0.05468551250531808
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.10118713378906061,0.026728632676926784,-3.7857205421663545,0.00015326383754697627,-0.15357429119183752,-0.048799976386283694
C(tense)[T.simple past]:C(dominance)[T.-dom],0.0010482788085955125,0.02672863267692678,0.0392193203919641,0.9687155300407178,-0.051338878594181396,0.053435436211372415
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.09668935139973964,0.015431783271094299,-6.26559806479729,3.7139718210566283e-10,-0.12693509082831217,-0.0664436119711671
C(semantic_role)[T.patient]:C(valence)[T.-val],0.11107762654622393,0.015431783271094289,7.197977355882556,6.111229009621559e-13,0.08083188711765141,0.14132336597479644
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.009677632649739906,0.015431783271094278,0.6271234166350276,0.5305783385932712,-0.020568106778832584,0.0399233720783124
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.14017333984374977,0.015431783271094299,-9.083418123575669,1.0521750206970256e-19,-0.1704190792723223,-0.10992760041517724
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.085064951578776,0.01543178327109429,5.5123215563889865,3.54131161713607e-08,0.05481921215020348,0.11531069100734852
C(valence)[T.-val]:C(dominance)[T.-dom],0.04928944905598974,0.015431783271094276,3.1940215975113677,0.0014030562017083635,0.019043709627417253,0.07953518848456223
log_frequency,0.47270380769736065,0.47387191794079225,0.9975349663079686,0.31850491014703175,-0.45606808475151206,1.4014757001462335
C(tense)[T.past perfect]:log_frequency,0.032405428298276286,0.009225952701822703,3.512420813936558,0.00044404430486683186,0.014322893279633785,0.05048796331691879
C(tense)[T.present continuous]:log_frequency,-0.011722460395873156,0.009225952701822703,-1.2705961947493223,0.20387234139403576,-0.02980499541451566,0.006360074622769345
C(tense)[T.present perfect]:log_frequency,-0.007882235540416038,0.009225952701822757,-0.8543546444649296,0.39290851835753493,-0.025964770559058645,0.01020029947822657
C(tense)[T.simple future]:log_frequency,0.025987632668666237,0.009225952701822766,2.8167966505542434,0.004850522564434399,0.007905097650023611,0.04407016768730886
