term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,-2.2389605951401856,3.51195880842849,-0.6375247311462808,0.5237831060604368,-9.122273374848229,4.6443521845678575
C(tense)[T.past perfect],0.010549672928505524,0.07818842082127936,0.13492628214885724,0.8926701594090768,-0.1426968158892637,0.16379616174627476
C(tense)[T.present continuous],-0.38403938971756735,0.0781884208212795,-4.911716922834288,9.02823318325048e-07,-0.5372858785353368,-0.23079290089979787
C(tense)[T.present perfect],-0.19144000921369345,0.07818842082127918,-2.448444503710869,0.014347453052108206,-0.34468649803146234,-0.03819352039592458
C(tense)[T.simple future],-0.24828991163117015,0.07818842082127928,-3.175533014008605,0.0014956150213046879,-0.40153640044893923,-0.09504342281340109
C(tense)[T.simple past],0.09278986581436492,0.07818842082127858,1.1867468972990516,0.23532747057088332,-0.06045662300340278,0.24603635463213264
C(semantic_role)[T.patient],0.17364284244015885,0.14173880353284793,1.2250903641917448,0.2205411753116655,-0.10416010769602166,0.4514457925763393
C(syntactic_role)[T.subject],-0.4486179712717875,0.22581131096725343,-1.9866939762678446,0.04695631976397968,-0.8912000080693787,-0.006035934474196258
C(valence)[T.-val],0.2709698492699636,0.14395925930882122,1.8822675982840353,0.05979969152557545,-0.011185114216388514,0.5531248127563158
C(dominance)[T.-dom],-0.16967601451038752,0.09195968756071343,-1.8451129947387477,0.06502110328393942,-0.34991369015894186,0.010561661138166811
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.023246002197267177,0.02654208521003622,0.8758167270323315,0.3811296751620127,-0.02877552888899705,0.0752675332835314
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.06673469543456857,0.02654208521003622,-2.5142973849445154,0.011926981406381576,-0.1187562265208328,-0.014713164348304344
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.08305854797363098,0.02654208521003622,-3.129315097753679,0.0017521430711093964,-0.13508007905989522,-0.03103701688736675
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.02359390258789235,0.026542085210036228,0.8889242273614171,0.37404380386474223,-0.028427628498371892,0.07561543367415659
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.008618927001954511,0.026542085210036218,0.32472682284568516,0.7453878321747365,-0.04340260408430971,0.06064045808821873
C(tense)[T.past perfect]:C(valence)[T.-val],0.1114486694335965,0.02654208521003634,4.198941739191407,2.6816529944136512e-05,0.05942713834733204,0.16347020051986097
C(tense)[T.present continuous]:C(valence)[T.-val],-0.10558967590331772,0.02654208521003634,-3.9781982111711094,6.943947506577391e-05,-0.1576112069895822,-0.053568144817053256
C(tense)[T.present perfect]:C(valence)[T.-val],0.03233680725097938,0.026542085210036342,1.2183220344252335,0.22310161990916577,-0.019684723835285092,0.08435833833724385
C(tense)[T.simple future]:C(valence)[T.-val],-0.01834793090820027,0.026542085210036336,-0.6912769197674937,0.48939153322104534,-0.07036946199446473,0.033673600178064186
C(tense)[T.simple past]:C(valence)[T.-val],0.030512237548830454,0.02654208521003634,1.1495795189932132,0.25031709772713095,-0.02150929353743401,0.08253376863509491
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.09092254638672233,0.026542085210036228,3.4255992197757785,0.000613444831003961,0.038901015300458086,0.14294407747298657
C(tense)[T.present continuous]:C(dominance)[T.-dom],0.05928688049316709,0.026542085210036228,2.233693397636642,0.025503253722593697,0.007265349406902849,0.11130841157943133
