,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.15069555380051908,-0.017106821459994658,-0.05605591710181309,-0.08174515817365997,0.06617819395092941
accountant,-0.7302148630348793,-0.047488836515717704,0.33762450435560154,-0.030734809068256506,-0.002366519042310793
administrator,-0.782123901402797,-0.009493674380444002,0.30105418999773154,0.01976178041718395,-0.02244698256302797
agronomist,0.7415973310117009,-0.03155533902792521,-0.25734114128912483,0.03872762941841155,-0.08808201683634123
binman,1.0887290096622113,0.15797676869498264,0.09947445319687093,0.057478942884068206,0.09190376687783817
bodyguard,0.3915907397005592,-0.007560569713912956,0.01892240397589722,0.05277613803526876,-0.08949743510110758
bookbinder,0.44953112988720906,0.15003371529344056,-0.04759853677223772,0.15271452801367008,-0.09589515913792009
builder,0.8662162987150607,0.07076190736405444,0.06540388269170462,0.12726427678020008,-0.035372915760513476
cashier,-1.750654109293072,-0.13333018511750475,-0.10154493161979823,-0.20275578802236188,0.006839592192164377
chauffeur,0.8273364231248093,0.13483806798433437,-0.0021229724562392967,0.014766552799824027,0.03288302369102412
colonel,1.2735108820835335,0.15576731158765741,-0.10813063298235201,0.15162034725944784,-0.016715237943491702
doctor,0.37451750394154826,-0.030571570648880872,-0.01224031005998304,0.018978782855833494,0.013291889354453796
electrician,0.6190805502159715,0.13750066194640378,0.06353600327042727,0.04252692962045359,0.07693366424713664
farmer,1.0565658647333935,0.0023168697624147603,-0.16308302313930315,0.08955618601630964,-0.035099334366125584
farmhand,0.3305226425595386,-0.033793065206585,-0.22570298394574753,0.055996202410124006,-0.06466660627687572
fisherman,2.337849473758906,0.3043393070026558,0.40075252079364937,0.18880106328977805,0.19354409359266336
hawker,0.6881754647838756,-0.006977967323891395,-0.3524045868722092,0.04457098571902939,-0.013998294063789602
housekeeper,-3.139882070345294,-0.31470210681708344,-0.10777375081791317,-0.3392564837798157,-0.018874697940579454
manager,0.20580800163249635,-0.012100409432427928,-0.11071316658875095,0.04783605517433859,-0.09029443588309041
midwife,-4.181840483816935,-0.336339915540658,0.06321910259790696,-0.35117274650765845,0.07999582555290284
molder,-0.5704881759839122,-0.07899514884679064,0.23853741773914028,-0.013197586700766449,-0.013714288576265892
paralegal,-1.6001706389642645,-0.08666825994927614,0.24714979234944512,-0.13390704629455732,0.02004442663229562
programmer,0.051290630353243785,0.12509817182868818,0.018846654704260477,0.03194680684150656,0.09950145894226467
salesperson,-0.4026236530037547,-0.1023483223717078,-0.04231551846961045,-0.15955122554181264,0.06302361291090668
scientist,0.19217675693662148,0.00102529063949903,-0.354643881877215,0.02212188052819198,-0.08005347496876974
scrivener,0.9335879568472008,0.0775009289621853,-0.30411277973308737,0.1770503756265852,-0.12003270021020017
sergeant,0.7684008445796413,0.0709710586338295,0.20263028479415193,0.1051348366328302,-0.021386213652064223
soldier,0.7902252805210405,0.10332148819047803,0.15897063073299053,0.13537955206754404,-0.006668661732624098
solicitor,-0.446256343650905,-0.05348681630642354,0.12457849811929746,-0.11843747442950198,0.08090948877140476
teacher,-0.838576337158051,-0.12091639788731104,-0.26654498553161365,-0.16544137996559638,-0.01972247531602507
tradesperson,0.16484625853786783,-0.11130580644920533,-0.3082815582258568,-0.0085695668482006,-0.07260278496105789
welder,0.4419670872153408,0.04328966513807539,0.47991033816994305,0.02975941297543155,0.08244119761701144
