,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.34419661303668697,-0.04261519937411238,-0.30941432205414676,-0.12268277117819727,0.04613244582737997
accountant,-0.4182260570704367,-0.04410755813318467,0.009884787535788989,-0.030485722074361545,-0.049173382346927925
administrator,-0.8079898600153085,-0.018262723515493042,0.026755072636501235,0.022134095835565346,-0.07011583405763226
agronomist,0.5220189876301323,-0.023167666939517724,-0.6566282724172438,0.041104393768620816,-0.12698947823558895
binman,1.8178934199000956,0.2982504718206758,-0.48872258876364844,0.12467859180789725,0.11258159910666388
bodyguard,0.4686676720180251,-0.01415997361712923,-0.2962166509318018,0.03141339224759752,-0.15880841030436366
bookbinder,0.252706234268163,0.2462208326530737,-0.5023973266516212,0.19140433319802191,-0.14297269317866784
builder,0.7634517272824877,0.045931595568923574,-0.19963871450034887,0.12535411102967184,-0.0722851225069431
cashier,-1.408544868346581,-0.0921624132013176,-0.4564852337797529,-0.22276678486029844,-0.027627176752431565
chauffeur,0.7466715519960786,0.17148616987152315,-0.3312857176253662,-0.041372626490161914,-0.024749085725172197
colonel,1.189862005837714,0.1439475952892694,-0.3771352819619481,0.14186269751993197,-0.049834445433372954
doctor,-0.14131580538112026,-0.11332641752702298,-0.21334994695313964,-0.007412525045650894,-0.008938066292351752
electrician,0.6981562077489164,0.16118607673188587,-0.2643211376057996,0.03363340079802495,0.06072765232774068
farmer,1.0871952969996812,-0.036301457999666366,-0.4525706819301999,0.09851501827028761,-0.04840479617531111
farmhand,0.5178325440528778,-0.0008334400606923155,-0.679341761435866,0.11921809606964495,-0.06357205737592227
fisherman,2.361481446435602,0.3010118112483856,0.0728564208044787,0.19805074949722737,0.20853538800442578
hawker,0.5228025663814141,-0.00932858133382808,-0.7506719395745591,0.08654060038957875,0.0014856508071476005
housekeeper,-3.053632206300058,-0.3123430575503487,-0.4529163411805193,-0.36580758821937276,-0.061557298917576476
manager,-0.31573289190851395,-0.05245517339898728,-0.32012244928477124,0.004957903482984816,-0.15543757208389736
midwife,-4.282941276964121,-0.3684569543925703,-0.27823667009987546,-0.307168563457802,0.10336584902946895
molder,-0.3438139441708943,-0.051500482163894065,-0.21810947362266447,0.04234361458883214,-0.028471785400685127
paralegal,-1.6803439714253903,-0.06368458005487346,-0.123741942979228,-0.1421735692541278,-0.025568352087745834
programmer,0.011010081053331216,0.14141049338692557,-0.276128329860207,0.04613984670899437,0.11072344811367224
salesperson,-0.3078491402182566,-0.11064974546059086,-0.39064096048794367,-0.1943014025109734,0.04032752761712906
scientist,0.000157191909128647,-0.0031324418129454763,-0.6135417251399959,-0.005677598383417596,-0.12430826307772659
scrivener,0.7322514240194649,0.08044968038580606,-0.6488089270547951,0.21236081963417483,-0.14934909934031393
sergeant,0.7155752120955599,0.03430424181010931,-0.06154419261601976,0.0846291941142305,-0.07733117170912311
soldier,0.6755236541163776,0.07260047964141358,-0.09185027526178849,0.1333000995526543,-0.042066151952362595
solicitor,-0.4603032625396172,-0.07828338048921048,-0.17945435219204559,-0.15423505393307171,0.053326240620621086
teacher,-1.250853407370436,-0.14082636237341994,-0.5003742402837787,-0.24117853977288037,-0.07382869883568477
tradesperson,0.20391053599306222,-0.08981510181759986,-0.7756938620898745,0.042277634125853676,-0.07372800443581083
welder,0.44879262673801956,0.014009815263646641,0.15371413135015355,0.023186546565562127,0.05180807889781376
