term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,-1.8340078835167153,6.860626917262209,-0.2673236579738972,0.7892199729377668,-15.280589552716703,11.612573785683272
C(tense)[T.past perfect],0.10466629318959585,0.0836423302871163,1.2513555376842236,0.21080479132995256,-0.059269661756155875,0.26860224813534755
C(tense)[T.present continuous],-0.41091214351319105,0.08364233028711632,-4.912729500752385,8.981715323551627e-07,-0.5748480984589428,-0.2469761885674393
C(tense)[T.present perfect],-0.18628387963585968,0.08364233028711582,-2.2271483708836204,0.025937359333363837,-0.35021983458161043,-0.022347924690108933
C(tense)[T.simple future],-0.23581152614430864,0.08364233028711589,-2.8192845098271087,0.0048130836007600165,-0.39974748109005953,-0.07187557119855775
C(tense)[T.simple past],0.05022958611755753,0.08364233028711843,0.6005282964395515,0.5481542085692858,-0.11370636882819835,0.21416554106331342
C(semantic_role)[T.patient],0.15200202323627093,0.050923650270302066,2.9849003837990047,0.002836706880499613,0.0521935027451655,0.2518105437273764
C(syntactic_role)[T.subject],-0.3760693926854387,0.05092365027030191,-7.3849653488952285,1.524930974696635e-13,-0.4758779131765438,-0.2762608721943336
C(valence)[T.-val],0.21520940295722762,0.05092365027030157,4.226118941099098,2.377563543894366e-05,0.11540088246612316,0.31501792344833207
C(dominance)[T.-dom],-0.10398870865759634,0.05092365027030182,-2.042051347568883,0.041146438204083265,-0.2037972291487013,-0.004180188166491378
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.007498931884766267,0.027993125132750932,0.26788476989276166,0.7887880172484267,-0.04736658519014858,0.062364448959681115
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.05230445861816427,0.02799312513275094,-1.8684751477415413,0.06169587104902082,-0.10716997569307912,0.0025610584567505937
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.08350105285644512,0.027993125132750915,-2.9829128566553647,0.0028551927585647153,-0.13836656993135993,-0.028635535781530302
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.040416717529297166,0.027993125132750915,1.4438086972294175,0.14879279485500893,-0.014448799545617647,0.09528223460421198
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0017555236816406766,0.027993125132750873,-0.06271267224775778,0.9499953062635689,-0.056621040756555406,0.05310999339327405
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.17466278076172165,0.027993125132750832,-6.239488443445466,4.3900418545044835e-10,-0.2295282978366363,-0.119797263686807
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.01760444641112892,0.02799312513275083,0.6288846396264783,0.5294245828454922,-0.03726107066378572,0.07246996348604356
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.07490043640137065,0.02799312513275081,-2.675672546247443,0.007457947241851463,-0.12976595347628525,-0.020034919326456034
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.0714958190918003,0.02799312513275081,-2.5540492086091926,0.010647820708744727,-0.1263613361667149,-0.016630302016885694
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.08289566040038705,0.027993125132750787,2.96128638754244,0.0030635692454537024,0.02803014332547249,0.13776117747530162
C(tense)[T.past perfect]:C(valence)[T.-val],0.14342498779297008,0.02799312513275099,5.123578989941634,2.997899696352634e-07,0.08855947071805512,0.19829050486788505
C(tense)[T.present continuous]:C(valence)[T.-val],-0.09293251037597622,0.027993125132750988,-3.3198333496265624,0.0009007119864838397,-0.14779802745089118,-0.03806699330106126
C(tense)[T.present perfect]:C(valence)[T.-val],0.05541725158691503,0.02799312513275097,1.9796736278679652,0.047740213757960656,0.0005517345120001071,0.11028276866182996
C(tense)[T.simple future]:C(valence)[T.-val],0.00932693481445384,0.027993125132750967,0.3331866224375804,0.7389934155335378,-0.04553858226046108,0.06419245188936876
C(tense)[T.simple past]:C(valence)[T.-val],0.030294036865234967,0.027993125132750915,1.08219560058309,0.27916562294682046,-0.024571480209679846,0.08515955394014978
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.058946228027344075,0.027993125132750988,2.105739453805357,0.03522699069463728,0.004080710952429116,0.11381174510225903
C(tense)[T.present continuous]:C(dominance)[T.-dom],0.04662971496581983,0.027993125132750984,1.6657559577463783,0.09576203153450956,-0.008235802109095122,0.10149523204073478
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.0022983551025389216,0.027993125132750967,0.0821042699462636,0.9345637976647336,-0.05256716197237599,0.05716387217745384
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.10118713378906281,0.027993125132750964,-3.614713730932366,0.00030067967682190466,-0.15605265086397774,-0.046321616714147903
C(tense)[T.simple past]:C(dominance)[T.-dom],0.0010482788085933825,0.02799312513275091,0.037447723454318266,0.9701280215202167,-0.05381723826632143,0.055913795883508186
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.09668935139974158,0.01616183833085275,-5.9825713771163525,2.1964220802192644e-09,-0.1283659724521719,-0.06501273034731125
C(semantic_role)[T.patient]:C(valence)[T.-val],0.11107762654622413,0.01616183833085276,6.872833663617229,6.293894087493078e-12,0.07940100549379378,0.1427542475986545
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.009677632649738874,0.016161838330852756,0.5987952887305146,0.5493094044156756,-0.021998988402691474,0.04135425370216922
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.1401733398437521,0.016161838330852746,-8.673106176056901,4.204895370525616e-18,-0.17184996089618243,-0.10849671879132178
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08506495157877404,0.016161838330852746,5.263321525521396,1.414758421069569e-07,0.053388330526343716,0.11674157263120437
C(valence)[T.-val]:C(dominance)[T.-dom],0.04928944905598861,0.016161838330852756,3.049742736375208,0.0022903746576887155,0.017612828003558262,0.08096607010841896
log_frequency,0.4400046367581585,0.8650044706424332,0.5086732516322949,0.6109812744180841,-1.2553729721671452,2.135382245683462
C(tense)[T.past perfect]:log_frequency,0.032405428298281934,0.009662419008582605,3.3537593711779565,0.0007972165830010099,0.013467435037924812,0.05134342155863905
C(tense)[T.present continuous]:log_frequency,-0.011722460395866835,0.009662419008582643,-1.213201413171418,0.22505282398239346,-0.03066045365622403,0.007215532864490363
C(tense)[T.present perfect]:log_frequency,-0.007882235540409593,0.009662419008582753,-0.8157621330029373,0.41463619481570124,-0.026820228800767003,0.011055757719947816
C(tense)[T.simple future]:log_frequency,0.025987632668672128,0.009662419008582753,2.6895576196383453,0.007154679434802075,0.007049639408314719,0.04492562592902954
C(tense)[T.simple past]:log_frequency,0.019119003301760376,0.009662419008582947,1.9786973929382818,0.04785008667354027,0.00018101004140258503,0.03805699656211817
C(semantic_role)[T.patient]:log_frequency,-0.018756952063636707,0.005578600215627888,-3.3623044022927093,0.0007729486445821083,-0.02969080757041475,-0.007823096556858667
C(syntactic_role)[T.subject]:log_frequency,0.04225223442901657,0.005578600215627884,7.5739850134181,3.6194618819709093e-14,0.03131837892223854,0.0531860899357946
C(valence)[T.-val]:log_frequency,-0.011046189370367575,0.005578600215627916,-1.9801005527197897,0.04769223107226928,-0.02198004487714567,-0.00011233386358948036
C(dominance)[T.-dom]:log_frequency,-0.010929759042412727,0.0055786002156279334,-1.95922966693222,0.050085896277664306,-0.021863614549190856,4.096464365402341e-06
lex_emb_norm,3.816810620385569,5.520024368072241,0.6914481469433285,0.4892839560178661,-7.002238334819495,14.635859575590633
C(tense)[T.past perfect]:lex_emb_norm,-0.1571671426054939,0.08639994307182601,-1.8190653490921596,0.06890146075978978,-0.3265079192925838,0.012173634081596052
C(tense)[T.present continuous]:lex_emb_norm,0.16639704174864445,0.08639994307182629,1.925892955858949,0.05411774119317106,-0.0029437349384460465,0.3357378184357349
C(tense)[T.present perfect]:lex_emb_norm,0.16783493091835203,0.08639994307182686,1.9425352025848655,0.05207234261524165,-0.0015058457687395777,0.33717570760544363
C(tense)[T.simple future]:lex_emb_norm,0.14361315253608764,0.08639994307182694,1.6621903606660666,0.09647461214968268,-0.02572762415100413,0.31295392922317944
