term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,2.6046094227891534,2.799895926191417,0.9302522277433705,0.3522405060952949,-2.883085753006442,8.092304598584748
C(tense)[T.past perfect],-0.09359895483719248,0.04772814944513317,-1.9610849346839017,0.049869115838946654,-0.18714440879839886,-5.350087598610109e-05
C(tense)[T.present continuous],-0.17625579688214807,0.04772814944513317,-3.6929107650562982,0.00022170183363055552,-0.26980125084335443,-0.08271034292094169
C(tense)[T.present perfect],-0.22063677684565178,0.04772814944513319,-4.622780883203716,3.7862960943561567e-06,-0.3141822308068582,-0.12709132288444536
C(tense)[T.simple future],-0.06576491587769268,0.04772814944513324,-1.377906259560596,0.16823223208427296,-0.15931036983889918,0.027780538083513842
C(tense)[T.simple past],-0.13150451751983455,0.047728149445133344,-2.7552821353572,0.005864154417274166,-0.22504997148104128,-0.037959063558627826
C(semantic_role)[T.patient],0.12139735229637388,0.048805552395401394,2.487367652615941,0.012869232699333162,0.025740227355804585,0.21705447723694318
C(syntactic_role)[T.subject],0.1335160636823553,0.12606847554019054,1.0590757372947726,0.28956528870856957,-0.11357360796228691,0.3806057353269975
C(valence)[T.-val],0.19393099732796304,0.07389092305222915,2.624557784870066,0.008676156911124382,0.04910744936117348,0.3387545452947526
C(dominance)[T.-dom],0.03067399333365024,0.0614930846590228,0.498820208869608,0.617906049428145,-0.08985023789630694,0.15119822456360743
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.09987392425537422,0.022261452994075486,-4.48640635819926,7.243453099266491e-06,-0.14350557036729353,-0.05624227814345492
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.0444635391235383,0.022261452994075486,-1.997333199022163,0.045788999194255796,-0.0880951852354576,-0.0008318930116189976
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.062094306945804284,0.02226145299407549,-2.789319590339842,0.005281891485089639,-0.10572595305772359,-0.018462660833884974
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.10435581207275059,0.02226145299407549,4.6877358859066,2.7624420799022373e-06,0.06072416596083128,0.1479874581846699
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.09307270050049125,0.022261452994075503,-4.180890642010696,2.9036949811554776e-05,-0.1367043466124106,-0.049441054388571916
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.04886493682860975,0.022261452994075615,2.1950470547279215,0.028160222537184747,0.005233290716690188,0.09249658294052931
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.06934299468993786,0.022261452994075618,3.114935701114924,0.001839850111673849,0.025711348578018295,0.11297464080185743
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03621540069580444,0.022261452994075625,-1.6268210662368865,0.10377510612278384,-0.07984704680772402,0.007416245416115144
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.12747859954834362,0.022261452994075625,-5.726427631757421,1.0256748539845133e-08,-0.1711102456602632,-0.08384695343642404
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11689586639403945,0.02226145299407562,5.2510438750403505,1.5123964642640693e-07,0.07326422028211987,0.16052751250595904
C(tense)[T.past perfect]:C(valence)[T.-val],0.005529975891112869,0.022261452994075528,0.2484103752160548,0.8038169068604831,-0.038101670220806516,0.04916162200303226
C(tense)[T.present continuous]:C(valence)[T.-val],0.03340740203857364,0.022261452994075528,1.5006838074524784,0.13343736316838167,-0.010224244073345747,0.07703904815049303
C(tense)[T.present perfect]:C(valence)[T.-val],0.04993419647216723,0.02226145299407552,2.243078943924114,0.02489172422145456,0.006302550360247856,0.0935658425840866
C(tense)[T.simple future]:C(valence)[T.-val],0.12520351409912006,0.022261452994075524,5.62422920608285,1.863381039193754e-08,0.08157186798720067,0.16883516021103945
C(tense)[T.simple past]:C(valence)[T.-val],0.044692420959472366,0.02226145299407552,2.007614730779992,0.044684247976694375,0.0010607748475529935,0.08832406707139173
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.00229091644286955,0.02226145299407557,0.10290956495423864,0.918034746273384,-0.04134072966904992,0.04592256255478902
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.0530611038208021,0.022261452994075562,-2.383541803624554,0.017146936853712765,-0.09669274993272156,-0.009429457708882642
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.0014101028442365473,0.02226145299407557,0.06334280357224739,0.949493531855567,-0.042221543267682925,0.045041748956156015
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.14638080596924039,0.022261452994075566,-6.575527931990632,4.8480840935372784e-11,-0.19001245208115985,-0.10274915985732092
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.021348381042481608,0.022261452994075566,-0.9589841708967984,0.33756671950446604,-0.06498002715440107,0.022283265069437855
C(semantic_role)[T.patient]:C(valence)[T.-val],0.012425804138183508,0.012852655878681759,0.9667888299097579,0.3336496095677137,-0.01276493848971974,0.03761654676608676
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.0016604741414383477,0.01285265587868174,0.1291930755099823,0.8972048752356294,-0.02353026848646486,0.02685121676934156
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.12288773854573613,0.012852655878681748,-9.561271981891753,1.1631818776053446e-21,-0.14807848117363936,-0.0976969959178329
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],-0.05387833913167399,0.012852655878681752,-4.192000442573126,2.7650545694117265e-05,-0.07906908175957722,-0.028687596503770754
C(valence)[T.-val]:C(dominance)[T.-dom],-0.021518898010254153,0.012852655878681752,-1.6742763685089237,0.094076296623969,-0.046709640638157385,0.0036718446176490817
log_frequency,-0.08887185163166568,0.40836738086330293,-0.21762720480707218,0.8277195861158754,-0.8892572105846906,0.7115135073213593
C(tense)[T.past perfect]:log_frequency,0.01835824616947088,0.00560905994407464,3.2729630905200726,0.0010642637415891156,0.007364690691958336,0.029351801646983422
C(tense)[T.present continuous]:log_frequency,0.0023343861750714703,0.005609059944074639,0.4161813562961642,0.6772773011505879,-0.008659169302441072,0.013327941652584012
C(tense)[T.present perfect]:log_frequency,0.022113537708472592,0.005609059944074632,3.9424677091984304,8.064751102252185e-05,0.011119982230960062,0.03310709318598512
C(tense)[T.simple future]:log_frequency,0.02747765267518562,0.0056090599440746375,4.898798185284644,9.642462049221594e-07,0.016484097197673082,0.03847120815269816
C(tense)[T.simple past]:log_frequency,0.014698755543637216,0.0056090599440746436,2.6205381454631875,0.008779110795909028,0.0037052000661246653,0.025692311021149765
C(semantic_role)[T.patient]:log_frequency,-0.012493070613195881,0.006078005027229759,-2.0554557880795286,0.03983500180116743,-0.0244057415644196,-0.0005803996619721634
C(syntactic_role)[T.subject]:log_frequency,-0.02781403735253869,0.016596153452908945,-1.675932765472441,0.09375136290590125,-0.06034190040214028,0.004713825697062902
C(valence)[T.-val]:log_frequency,0.004991849814498528,0.009515332707765922,0.524611168921549,0.5998535208727327,-0.01365785959363867,0.023641559222635725
C(dominance)[T.-dom]:log_frequency,0.003651207307235852,0.0078047791832150685,0.4678168621462252,0.639915561065727,-0.011645878799153624,0.018948293413625326
lex_emb_norm,-0.14338222855460914,0.6756380971814941,-0.21221750098572803,0.8319373538716348,-1.4676085656135107,1.1808441085042924
C(tense)[T.past perfect]:lex_emb_norm,0.002150724884616322,0.008072821069048393,0.26641552763535303,0.789919207908618,-0.013671713664354665,0.01797316343358731
C(tense)[T.present continuous]:lex_emb_norm,0.010669804819369237,0.008072821069048405,1.3216946997968029,0.18626983431087962,-0.005152633729601775,0.02649224336834025
C(tense)[T.present perfect]:lex_emb_norm,0.006768825381065669,0.008072821069048391,0.8384708794076573,0.40176629603269054,-0.009053613167905317,0.022591263930036652
C(tense)[T.simple future]:lex_emb_norm,0.01598411298460229,0.008072821069048391,1.9799909904960233,0.047704541056527563,0.00016167443563130587,0.03180655153357327
C(tense)[T.simple past]:lex_emb_norm,0.0013109040371437697,0.008072821069048377,0.16238487462206305,0.8710027810602178,-0.014511534511827188,0.017133342586114726
C(semantic_role)[T.patient]:lex_emb_norm,0.011533061455551984,0.008747748736998026,1.3184033746618329,0.18736865171292827,-0.005612211014769894,0.028678333925873864
C(syntactic_role)[T.subject]:lex_emb_norm,-0.019474929908971858,0.023885959250856098,-0.8153296128676036,0.41488366249636044,-0.06629054977684114,0.02734068995889742
C(valence)[T.-val]:lex_emb_norm,-0.006559116373706054,0.013694911291365075,-0.4789455173646662,0.6319773884383837,-0.033400649276252525,0.020282416528840413
C(dominance)[T.-dom]:lex_emb_norm,-0.0017189378805405832,0.011233002759411278,-0.15302567954062116,0.8783780244403041,-0.02373521872722573,0.020297342966144567
log_frequency:lex_emb_norm,0.018254693330728836,0.09087973893515498,0.2008664807427982,0.8408029779934058,-0.1598663219065774,0.1963757085680351
