term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,2.976660660433848,2.6206925068762295,1.1358298055279745,0.25602780035570627,-2.1598022675975495,8.113123588465246
C(tense)[T.past perfect],-0.08433592044791903,0.046486079749516046,-1.8142188135104473,0.06964404482872137,-0.1754469625394272,0.006775121643589163
C(tense)[T.present continuous],-0.2006848488049102,0.046486079749516095,-4.317095566807809,1.5809572069560133e-05,-0.29179589089641844,-0.10957380671340192
C(tense)[T.present perfect],-0.20559616548750648,0.04648607974951586,-4.422746908221439,9.745387809373482e-06,-0.2967072075790143,-0.11448512339599866
C(tense)[T.simple future],-0.1343391644849916,0.046486079749515886,-2.889879404950052,0.0038538963845797837,-0.2254502065764995,-0.04322812239348374
C(tense)[T.simple past],-0.1048918850600359,0.04648607974951577,-2.2564149445432324,0.024044656575022878,-0.19600292715154355,-0.013780842968528259
C(semantic_role)[T.patient],0.2461542655116189,0.05176436448825063,4.755284218112839,1.9816742384365785e-06,0.14469797543204352,0.34761055559119425
C(syntactic_role)[T.subject],0.22762741589130697,0.12712387298685993,1.790595350370072,0.07335825372690932,-0.021530796738182756,0.4767856285207967
C(valence)[T.-val],0.20782255998534724,0.0808133843212126,2.5716354008799525,0.010121942626877921,0.04943123724697665,0.3662138827237178
C(dominance)[T.-dom],0.026002172494803362,0.04631551908086207,0.5614138200503869,0.5745154649290156,-0.06477457682896398,0.11677892181857069
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.10608558654785158,0.0222969364244416,-4.7578548249149595,1.956611296614744e-06,-0.1497867789053364,-0.06238439419036675
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.054184150695800716,0.022296936424441603,-2.4301163919723416,0.015093974762078527,-0.09788534305328556,-0.010482958338315883
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.06913642883300782,0.022296936424441593,-3.1007142648180768,0.0019305448417892867,-0.11283762119049262,-0.025435236475523003
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.10298652648925721,0.022296936424441596,4.618864427328447,3.858458436878162e-06,0.059285334131772394,0.14668771884674203
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.099384880065918,0.0222969364244416,-4.457333427966976,8.2985474627103e-06,-0.14308607242340282,-0.055683687708433176
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.05443153381347656,0.022296936424441673,2.4412113295443256,0.014638085956054363,0.010730341455991596,0.09813272617096153
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.07502346038818349,0.02229693642444167,3.364742983522326,0.0007661499061363523,0.03132226803069853,0.11872465274566844
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.026042556762695433,0.022296936424441673,-1.1679881158089436,0.2428115586380395,-0.0697437491201804,0.017658635594789533
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1301517486572266,0.022296936424441673,-5.837203200461009,5.3084340342043126e-09,-0.17385294101471155,-0.08645055629974163
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.13522319793701154,0.02229693642444167,6.064653697840806,1.3223826772918842e-09,0.09152200557952658,0.1789243902944965
C(tense)[T.past perfect]:C(valence)[T.-val],0.0036434173583967115,0.02229693642444161,0.1634043928296286,0.87020004439335,-0.040057774999088136,0.04734460971588156
