,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.12451006620762331,0.0013827421255384839,0.16201814456281396,0.0029681738912546475,0.0127447352425902
accountant,-0.2566929558758268,-0.04785841486927565,-0.03329041593464976,-0.001172254432143903,0.013305239718425255
administrator,-0.6903653653228908,-0.0525804860853395,-0.0640691765267348,-0.007049720930448194,-0.03225316965801259
agronomist,0.011222902189298806,-0.07637428186043779,0.12698331431087412,-0.010359808243206889,0.00466640014305863
binman,1.9120700160842532,0.0509642236049851,-0.05010936889607856,-0.0027665221022732498,0.04806830034465568
bodyguard,0.013758010958144315,0.007810060447639038,0.3660779891331815,0.02396153804457302,0.015014098097323665
bookbinder,-0.45099522805362363,-0.004863212270920201,0.05822096906561813,0.039486614271477184,0.047243834828657176
builder,1.719000406471344,0.09728254521941078,0.02924552765239057,0.09902565397292132,-0.056902772332396816
cashier,-1.715240774741507,-0.012671271128186043,0.04350912060135506,-0.1739584010404523,-0.05782670630166106
chauffeur,0.3099749689775422,-0.008920352205344009,0.29117747750759226,-0.016961167774259774,0.07454443271805808
colonel,1.169965301552029,0.035814559351055486,0.2167347722819971,0.11264089061024889,0.0045603516262531524
doctor,0.1760134507655526,-0.04959364822868757,0.04993798407686172,-0.058745849542879446,0.03466775174396365
electrician,0.7347993138481909,0.09779373169262079,0.04930923221755422,0.06617792279191495,0.042714289361426565
farmer,1.562572847536134,0.10017233674318643,-0.22752574860930463,0.13125869922415934,0.020094983653749142
farmhand,0.45373445113755473,0.08012629181470292,-0.007887927409435223,0.12823916199875493,0.016244696558948942
fisherman,2.6362265942303424,0.06965988654488849,0.014344287033667226,0.12787712064350992,-0.044588121020772656
hawker,0.8767784946829159,0.009403013439624505,-0.5037654064589543,0.05414441700772709,0.02584622016362119
housekeeper,-3.231086422965112,-0.0954553159596394,0.1371191289724196,-0.22935827595406655,-0.08671761964703947
manager,-0.38713523259760957,-0.011509461327417063,-0.12861756608232464,-0.05870065725911774,-0.02582227435963111
midwife,-4.344495215489122,-0.0925427925723276,0.1223317220622404,-0.26403089419801007,0.041708025992375324
molder,-0.4342615375330932,0.026186967573465898,-0.12236200731157817,-0.010096689218326167,-0.0625768173495809
paralegal,-1.734550856522253,-0.04863310846647918,0.1667618405610882,-0.14477492199435485,-0.0684568105742418
programmer,0.6263986756181918,0.0592206575441509,-0.03133224371677095,0.10434279127339993,0.09957459400640528
salesperson,-0.4738559750599279,-0.04681383621244107,-0.14175460655799324,-0.053310059530809355,0.014145678527272935
scientist,0.17626852933890605,-0.0080399213733463,-0.22124692429767123,-0.03252551806554873,0.05244589077776297
scrivener,0.2191834063289779,-0.02726313493848854,-0.37193398248181836,0.06111940506730335,-0.009785556056160027
sergeant,1.1069222462891102,0.010306108728377042,-0.26794539859971284,0.1384610531706697,-0.00026716517979510874
soldier,1.4521020366801443,0.07985844125670323,0.0510934276142591,0.17099806532344258,-0.017108541506594143
solicitor,-0.31332006462461587,-0.06603193779179362,-0.027687778122733524,-0.10427912461363137,-0.01731505340009615
teacher,-1.7026711463116198,-0.05719161439621791,0.08902143933658269,-0.1622397814582771,-0.06651335755615807
tradesperson,0.1689615532417542,-0.015012545540014204,0.1211173704217436,0.030581138124106667,-0.08386697137473827
welder,0.5332276371104238,-0.004626230806198829,0.10452480355179444,0.039047001061591126,0.06241141282800067
