term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,2.294028382224547,3.3749085837264783,0.679730524638847,0.49667510451553043,-4.320670892994432,8.908727657443526
C(tense)[T.past perfect],-0.03649324218015351,0.06485361058350539,-0.5627017810082429,0.5736379712881077,-0.16360398319120975,0.09061749883090273
C(tense)[T.present continuous],0.05932221544727992,0.06485361058350521,0.9147095267872081,0.36034414168582807,-0.06778852556377596,0.1864329564583358
C(tense)[T.present perfect],-0.10078081271404961,0.0648536105835055,-1.5539738159109007,0.12019066251426432,-0.22789155372510606,0.026329928297006852
C(tense)[T.simple future],0.2717644617410348,0.0648536105835055,4.190429172653555,2.7842731815771043e-05,0.14465372072997834,0.39887520275209126
C(tense)[T.simple past],-0.06201908839935836,0.06485361058350544,-0.9562935331025656,0.33892395621277216,-0.1891298294104147,0.065091652611698
C(semantic_role)[T.patient],0.10518601851195525,0.07571460667529582,1.389243411948878,0.16475874492198883,-0.04321188367524054,0.25358392069915103
C(syntactic_role)[T.subject],-0.6955330025243482,0.19245874434794136,-3.613932974990793,0.000301587055790288,-1.072745209956115,-0.3183207950925815
C(valence)[T.-val],0.06659769494399946,0.09413674091595273,0.7074569854023233,0.47928253464276627,-0.11790692687324598,0.2511023167612449
C(dominance)[T.-dom],-0.07173989978371541,0.0731107299906712,-0.9812499450199621,0.32646949996820696,-0.21503429744886338,0.07155449788143255
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.09292736053466817,0.028900933704058898,3.215375720598857,0.001302738904047104,0.03628257135513295,0.1495721497142034
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.06172599792480457,0.028900933704058895,2.1357786761102346,0.032697458017401405,0.005081208745269357,0.11837078710433979
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.0962818145751957,0.028900933704058898,3.331443044750963,0.0008639697758270112,0.03963702539566048,0.15292660375473094
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.1847280502319326,0.02890093370405889,6.391767550609934,1.6397904965248681e-10,0.12808326105239737,0.2413728394114678
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.07780704498291065,0.028900933704058888,2.692198313716879,0.007098272313486815,0.021162255803375447,0.13445183416244585
C(tense)[T.past perfect]:C(valence)[T.-val],0.1297796249389655,0.02890093370405881,4.49049938205766,7.1056381258897695e-06,0.07313483575943044,0.18642441411850055
C(tense)[T.present continuous]:C(valence)[T.-val],0.009906005859375348,0.02890093370405881,0.3427572949999245,0.7317810555004634,-0.04673878332015971,0.0665507950389104
C(tense)[T.present perfect]:C(valence)[T.-val],0.19398345947265708,0.028900933704058815,6.712013579181155,1.9195682587178372e-11,0.13733867029312202,0.25062824865219213
C(tense)[T.simple future]:C(valence)[T.-val],0.17652873992919935,0.02890093370405882,6.108063557282505,1.0084719636896248e-09,0.11988395074966428,0.2331735291087344
C(tense)[T.simple past]:C(valence)[T.-val],0.041617012023926536,0.028900933704058808,1.43998849483821,0.14987065413519138,-0.015027777155608511,0.09826180120346159
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.0111211776733362,0.02890093370405879,-0.3848034041811723,0.7003830768104914,-0.06776596685287122,0.04552361150619881
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.1452114105224575,0.02890093370405878,-5.024453950498643,5.048669172016302e-07,-0.2018561997019925,-0.08856662134292251
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.03941764831542595,0.028900933704058794,-1.3638884030203566,0.172602691288253,-0.09606243749496096,0.01722714086410907
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.3000482559204073,0.02890093370405879,-10.381957171102368,2.995698502260923e-25,-0.3566930450999423,-0.24340346674087227
C(tense)[T.simple past]:C(dominance)[T.-dom],0.0015050888061560038,0.028900933704058794,0.05207751491934089,0.9584669291445441,-0.055139700373379015,0.058149877985691024
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.18241443634033133,0.016685961853869835,-10.932209838297425,8.085503312233231e-28,-0.2151183206213254,-0.14971055205933725
C(semantic_role)[T.patient]:C(valence)[T.-val],-0.05758482615153044,0.01668596185386987,-3.451094198574783,0.0005583186655724646,-0.09028871043252458,-0.0248809418705363
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.027199490865071195,0.016685961853869866,-1.6300822873308316,0.10308410674695283,-0.05990337514606533,0.005504393415922938
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.10535742441813155,0.016685961853869863,-6.314135519475415,2.716757957590293e-10,-0.13806130869912567,-0.07265354013713743
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.11285521189371797,0.016685961853869852,6.763482553901698,1.3471360246040592e-11,0.08015132761272387,0.14555909617471208
C(valence)[T.-val]:C(dominance)[T.-dom],0.03598066965738973,0.016685961853869866,2.1563437560565304,0.031056832964107568,0.0032767853763955995,0.06868455393838387
log_frequency,-0.04952738190155984,0.4820266985666137,-0.10274821301151518,0.918162807657828,-0.9942823506788675,0.8952275868757479
C(tense)[T.past perfect]:log_frequency,-0.005792517022307772,0.007732719429058257,-0.7490918396108449,0.45380185316947963,-0.020948368605815084,0.009363334561199543
C(tense)[T.present continuous]:log_frequency,-0.008425283863208857,0.007732719429058253,-1.0895628556686103,0.2759057526903568,-0.023581135446716164,0.006730567720298449
C(tense)[T.present perfect]:log_frequency,0.000676088425746574,0.00773271942905825,0.08743216819763927,0.9303280007508432,-0.014479763157760726,0.015831940009253875
C(tense)[T.simple future]:log_frequency,0.024354021318338796,0.00773271942905824,3.1494769132345004,0.001635630314417026,0.009198169734831516,0.03950987290184608
C(tense)[T.simple past]:log_frequency,0.005278473455331557,0.007732719429058246,0.6826154115324488,0.494849893054356,-0.009877378128175737,0.02043432503883885
C(semantic_role)[T.patient]:log_frequency,-0.008182037060781865,0.009605960839817762,-0.8517666475243604,0.3943436212274193,-0.02700937434372681,0.01064530022216308
C(syntactic_role)[T.subject]:log_frequency,0.020183891024901826,0.024686917817273446,0.8175946132400194,0.4135887044364974,-0.02820157878625429,0.06856936083605794
C(valence)[T.-val]:log_frequency,0.0018098506595281409,0.011778371260078515,0.15365882256254132,0.8778787539329919,-0.0212753328067674,0.024895034125823685
C(dominance)[T.-dom]:log_frequency,0.0007841425362345855,0.008943567491222937,0.08767670585637437,0.9301336343434397,-0.016744927639865615,0.018313212712334787
lex_emb_norm,0.0596065400747557,0.4973962223266453,0.1198371386817881,0.9046121615097577,-0.9152721417317466,1.0344852218812581
C(tense)[T.past perfect]:lex_emb_norm,-0.0019416362179440207,0.008518336319891887,-0.22793608341219657,0.8196959304794613,-0.018637268613131582,0.014753996177243541
