,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.27873279174869636,-0.022143889472540177,0.12629224588438562,-0.02310943480724041,0.013137197794410714
accountant,-0.5660639732268054,-0.08460185790484864,0.30270499595632794,-0.032651594389284486,0.033604836929296195
administrator,-0.6523785642087674,-0.0880497890552649,-0.15296338718188462,-0.13708969410656915,0.022921746854348026
agronomist,0.30734919681454537,-0.03548466239537235,0.09026573877436339,-0.01563467757973877,0.009903823722206022
binman,2.04423273834817,0.14519448566860058,-0.514648289228371,-0.02624816796994217,0.0032766043848698224
bodyguard,0.4134826506564345,0.05704560973717025,0.21725384858459634,0.026597728330929514,-0.052039948508714344
bookbinder,-0.29728220362876545,0.033421011117011,0.021734070388986962,0.14946553476617178,-0.08228854585666757
builder,1.6011376653848646,0.13390491278116748,-0.3911412002812665,0.12192678168253637,-0.06141570679390389
cashier,-2.121179717495775,-0.08527739231012911,0.3789921630641181,-0.1458503289659035,0.08104609820013929
chauffeur,0.7810869477649535,0.039175865388649915,-0.23179078026369257,0.034553697372259586,0.01623440824582891
colonel,0.9135435390602941,0.018783145824008977,0.168140188445306,0.102224112548604,-0.09417245308229845
doctor,0.06707009782228848,0.018657411016705903,0.08834498935914599,-0.06645867183923525,0.03283169184922736
electrician,1.0703673143536838,0.05827461087530622,-0.0005292294480606533,0.002486182082729335,0.008327583599205733
farmer,1.3404024602026634,0.019978306677642832,-0.3654759595437043,0.08975174080260775,-0.02191003881747947
farmhand,0.6599000776051449,0.029303093454631675,0.047387811452533686,0.033856035660976315,-0.044471401045959126
fisherman,2.7789759464132535,0.14391832476468322,-0.3290279656707469,0.05062127974060468,0.07430557832725602
hawker,0.004052335869567637,-0.0894956956014792,0.018694718684521414,-0.10441392578885192,0.039848109096680705
housekeeper,-3.0866369916078886,-0.12047555159859095,-0.5114577747488394,-0.10899964537513691,0.006386001944152057
manager,-0.1995850731348283,-0.01019254806136708,-0.09723966892934446,-0.09382965037167958,0.04040556093488267
midwife,-5.1843706737680995,-0.1836735960651046,0.5863702451324972,-0.23885729700124017,0.2135125279212767
molder,-0.14576554217589774,-0.004861040883954216,0.2343504789059873,0.010964892173685221,-0.01214525297245317
paralegal,-1.951892200314918,-0.15600678091252712,0.3942302057379397,-0.11161632551587455,0.046850915469179716
programmer,1.4906392016290213,0.12053583966874473,-0.20784876116661952,0.13887552984171134,-0.028818217578264572
salesperson,-0.6088341244557368,-0.038561397878935796,-0.07366227892652963,-0.0984388956904924,0.020619666784308006
scientist,-0.10667770215377657,-0.027895937180691496,0.048187405644491504,0.007316466865720538,0.10709432794872133
scrivener,0.2173117207247137,0.0019270879389312507,0.19222947894602108,0.2589335480017965,-0.10725167774990971
sergeant,0.8095391009703033,0.020062687587130312,-0.04881299191605144,0.1135380155384282,-0.14444779992164042
soldier,1.6156361213814368,0.13417461450954415,0.016698352230195005,0.20641732120441167,-0.1762738973425125
solicitor,-0.534851536290644,-0.06280184970648912,0.05200021253544347,-0.0593776864917197,0.03946204814895346
teacher,-1.4019850057788574,-0.04172673375729314,0.08702909448333258,-0.07607841365876732,-0.002086400558192621
tradesperson,-0.09079837943146495,0.00621367342718182,0.019765921733101308,0.04028356891605728,-0.013451984579305179
welder,1.1123073639818328,0.07067804232632238,-0.1660738786047843,-0.049158025999305306,0.03100459666371484
