,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.26468491374168224,-0.02133792834580884,0.12547786306238623,-0.02147341230174869,0.012319188839539173
accountant,-0.5922342495159202,-0.0860451003333834,0.3042205283153419,-0.03577649976016624,0.03518117990181382
administrator,-0.6437000399649756,-0.0875876831369535,-0.15347652615731153,-0.1360428765206769,0.022430260195347513
agronomist,0.29045272722544396,-0.03643381343867235,0.0912515367499723,-0.017653294375886634,0.010920413069714025
binman,1.9864956987740732,0.14183020978843483,-0.5111560139380436,-0.03321427150962812,0.006761492178037272
bodyguard,0.42099132565024255,0.057532078116927926,0.2168039388384291,0.027514397950259152,-0.052489216239798575
bookbinder,-0.31617965978388735,0.032313139656740306,0.022882359053263336,0.14713001928225158,-0.0811136532496358
builder,1.6148293592297618,0.1346147204755363,-0.391907387586474,0.12353957889720268,-0.062251711871885905
cashier,-2.1613953464550004,-0.08748639809912186,0.38134758523431694,-0.15065087946243,0.0834818927550383
chauffeur,0.763761760010532,0.038159829016050764,-0.23077049227921057,0.03250813443525608,0.017236987564545427
colonel,0.9442238818316239,0.020566947907005136,0.16629094327283075,0.10594278469821879,-0.09603198315890701
doctor,0.11290695463152843,0.021296569473751466,0.08564160031993362,-0.0609707516448218,0.030071734952358414
electrician,1.0881803368834533,0.059310123239955444,-0.001584659755666917,0.004641694588268848,0.007227592183363216
farmer,1.3467535980563206,0.020258522724653553,-0.36584401501051333,0.09050798805184387,-0.022315150006137246
farmhand,0.6286149071888728,0.027539260157585725,0.04923256672288206,0.030123350453155458,-0.04258741292781168
fisherman,2.7821988775031468,0.14407010360096467,-0.32919596915424404,0.05101579008043583,0.07402922451505789
hawker,0.004344811866150799,-0.08948461369188702,0.018667701909298565,-0.10437981299155492,0.039847114218135395
housekeeper,-3.084467102802025,-0.12045239701341641,-0.511594735053952,-0.10869383157296594,0.006280420824465811
manager,-0.15345996514026855,-0.007571601588858788,-0.09996388531053231,-0.08829084989273465,0.037625926340044975
midwife,-5.186452821397813,-0.1836912310095017,0.5864653354824845,-0.23911848851080636,0.21365296271672235
molder,-0.1735227076804444,-0.006406273979619886,0.23599524060758317,0.007613941141157138,-0.010453377249720622
paralegal,-1.9534656365671248,-0.15604251219662446,0.39428839828889833,-0.11180396017110521,0.04697842873395958
programmer,1.5004506639042476,0.12105534910273039,-0.208399099099379,0.1400224165565798,-0.029437014875021473
salesperson,-0.6072437105596078,-0.03847074740637555,-0.07376575590006114,-0.09821606690932327,0.02052924893312983
scientist,-0.08226115080846276,-0.026514578210485078,0.046743540403757805,0.010209180399365608,0.10558994353216275
scrivener,0.22174571513583197,0.002179346202571178,0.19193711272499298,0.25945677045480414,-0.10753282952517994
sergeant,0.7932980839310664,0.01911772906345933,-0.04785478619964277,0.11159578363213732,-0.1434386116635488
soldier,1.6306899305875149,0.13503124758926027,0.015829611628042452,0.2081978347468589,-0.17715969412291133
solicitor,-0.535640655759374,-0.06283484115082458,0.05202321774490866,-0.059444981447332575,0.03950063944046911
teacher,-1.3605652040233722,-0.03934866252659786,0.08457379427012605,-0.07110588594726476,-0.004555330410330848
tradesperson,-0.12750802267807101,0.004124837064813823,0.021933785222875823,0.03588713929757176,-0.011244504468845071
welder,1.1128425538790887,0.07070836891914642,-0.1660933343588373,-0.04907094167585818,0.030945838891007424
