,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.4125461085262764,-0.04813905396780246,0.10102046254492844,-0.0006570437241647357,0.03723478145153425
accountant,0.16239960552095722,0.03392190450957965,0.09471582927117818,0.04563568616573799,0.020465861883891046
administrator,-0.660959414480618,0.00533603271936886,-0.10629135235316373,-0.12054135846383467,-0.06716336911181725
agronomist,0.10578001356852193,0.055984559975077924,0.24478268614824852,-0.05368478897650071,-0.08401184193698417
binman,0.5113581332527005,0.020223662300056712,-0.12115161553878474,-0.011429301096782711,0.1964658163015199
bodyguard,0.6804268698754518,-0.09648456035607204,0.20988998203039302,0.021916602262106545,0.03803543017330298
bookbinder,0.19914767429540656,0.022132113604158003,-0.2817043693558302,0.22630733278818568,-0.11818841459490097
builder,1.3936317862800576,-0.05704603167451392,-0.14438586490480923,0.17599654800601705,-0.024870125165731897
cashier,-1.5081478673560869,0.04586335936396621,-0.08019952060103253,-0.20668636580470431,0.028521982427047378
chauffeur,1.2959523225829594,-0.021655076747669106,-0.055616674408201235,-0.04468318018309179,-0.049706058813234665
colonel,1.4037732092158133,0.0410919398901959,-0.08107222331466056,0.010213362234871686,0.0007456685884589008
doctor,-0.20437840091797368,0.03663166849318824,-0.016053641334984672,-0.03664154838133027,-0.0538879412260652
electrician,1.3133227168993375,0.025597097567167226,-0.08219816458212435,0.14444992174219554,0.15035880086648354
farmer,1.2960244182554215,0.030347624580740445,-0.19883070264507188,0.14170367110101567,-0.006315802377871185
farmhand,0.4009297662236824,0.010838651736448919,0.07819361842096938,0.020127874379131713,-0.019601555039632894
fisherman,2.4783716313202286,0.04375789580828086,-0.02175483972508995,0.036969327565119496,0.07280043586581493
hawker,0.3118278146029065,-0.19087817004803942,-0.051758889005546926,-0.1101053494686601,0.0260618235220108
housekeeper,-2.916651072648012,-0.015684928564798042,0.2881139065934761,-0.16512867420448069,-0.08590140144284764
manager,-0.8468274311912182,0.06645756019916275,0.13333351019201922,-0.17675489629340235,0.08445967534664106
midwife,-4.019846544845962,0.06606213559294075,0.2366866480967446,-0.15672155087909506,0.10703013104795854
molder,-0.39864512195869445,0.060918115686238505,0.055581515219584786,-0.06431289050346466,-0.1646947334533339
paralegal,-1.9504651001524675,0.0566049076998432,0.2528529631712516,-0.18407441508857517,-0.03424711685879051
programmer,0.2985500037908566,-0.0015888053751699478,0.01897591522461312,0.11542791736692849,0.07459484176954075
salesperson,-0.3885517825871851,-0.046747963899846555,-0.06358676448500612,-0.01614254230441532,0.08576127760561209
scientist,-0.06836338837910717,-0.022091742890794158,-0.1868309906098577,0.031163720014371794,-0.01820882846798674
scrivener,1.2604988197545306,-0.07648695317880579,-0.30564894924559777,0.22988402294057717,-0.17188920207015218
sergeant,0.6035046310086901,-0.010218823494913733,-0.05605231159736546,-0.005547696153671113,-0.01300427261337739
soldier,1.079146724710001,-0.06924756037123313,0.012531058370841506,0.16995669934862753,-0.08710861018763756
solicitor,-0.043621865943065184,-0.04658674637924917,-0.14458840999741912,-0.0401561179493391,0.045134381414073256
teacher,-1.770715045282061,0.07580369204658953,0.1362775412147313,-0.10953084137471118,-0.028498123140247775
tradesperson,-0.4257305923857181,0.023397191086392682,0.015295949187461156,-0.02205442976094379,-0.01593965006739417
welder,0.8208035943074657,-0.018113695886391383,0.11947369814061067,0.15510030454610987,0.07556613829221621
