term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,11.602054311420945,5.288517815929723,2.193819651410459,0.02824837749137831,1.236749860600261,21.96735876224163
C(tense)[T.past perfect],0.2659154669721609,0.07154621945530372,3.716694872162789,0.00020184596783290573,0.1256874536097667,0.4061434803345551
C(tense)[T.present continuous],-0.04005502870346805,0.07154621945530341,-0.5598482911943566,0.575582921391949,-0.18028304206586168,0.10017298465892557
C(tense)[T.present perfect],-0.09522864977122539,0.0715462194553066,-1.3310088289250934,0.18318610586703044,-0.23545666313362526,0.044999363591174485
C(tense)[T.simple future],0.48808259851266494,0.0715462194553067,6.821920182904409,8.983157691591896e-12,0.3478545851502649,0.628310611875065
C(tense)[T.simple past],0.05097368502863195,0.07154621945531119,0.7124581203129937,0.47618113615181623,-0.08925432833377689,0.1912016983910408
C(semantic_role)[T.patient],-0.07430983825421049,0.39124768003193483,-0.18993042526960183,0.8493636504803461,-0.8411412001516536,0.6925215236432327
C(syntactic_role)[T.subject],-0.4122620767589248,0.3408644537989044,-1.2094604531634208,0.2264859955532954,-1.0803441298146947,0.25581997629684505
C(valence)[T.-val],0.32729289231387526,0.40616900029225256,0.8058047071006816,0.42035546352609865,-0.46878371989557843,1.123369504523329
C(dominance)[T.-dom],-0.34934088956580256,0.3309408852920973,-1.0555990664540131,0.29115142760669344,-0.9979731057501146,0.29929132661850943
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.050856781005859775,0.018023578216113632,-2.8216806006030617,0.004777273026005653,-0.08618234518198317,-0.015531216829736377
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.077196884155274,0.018023578216113632,-4.283105342881227,1.8430285854363822e-05,-0.11252244833139739,-0.0418713199791506
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.07389144897461018,0.018023578216113646,-4.099710284417824,4.13667655404555e-05,-0.1092170131507336,-0.038565884798486764
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.12195358276367163,0.018023578216113646,-6.766335813087397,1.3208477333895018e-11,-0.15727914693979506,-0.0866280185875482
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.05124549865722727,0.018023578216113657,-2.8432477748182188,0.004465633925842363,-0.08657106283335071,-0.015919934481103834
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.007620239257812643,0.018023578216113754,0.42279280875535935,0.6724464348653287,-0.02770532491831099,0.042945803433936273
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06516380310058655,0.018023578216113754,-3.6154753689435357,0.00029979698042738784,-0.10048936727671018,-0.029838238924462912
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.03934860229492119,0.01802357821611376,2.183173719619229,0.029023019329360543,0.004023038118797541,0.07467416647104483
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.09425354003906189,0.01802357821611376,-5.2294577086139125,1.7000798542269972e-07,-0.12957910421518554,-0.05892797586293824
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.03203239440917945,0.018023578216113764,1.7772494465356095,0.07552720722097396,-0.003293169766944201,0.06735795858530311
C(tense)[T.past perfect]:C(valence)[T.-val],0.05135040283203223,0.01802357821611377,2.8490681604013015,0.004384748563562332,0.016024838655908563,0.0866759670081559
C(tense)[T.present continuous]:C(valence)[T.-val],-0.08901939392089776,0.018023578216113768,-4.939052215575652,7.850319142591526e-07,-0.12434495809702142,-0.0536938297447741
C(tense)[T.present perfect]:C(valence)[T.-val],-0.0597984313964837,0.018023578216113775,-3.3177891026667274,0.0009073296421587347,-0.09512399557260737,-0.024472867220360024
C(tense)[T.simple future]:C(valence)[T.-val],0.015559387207033256,0.018023578216113778,0.8632795896833937,0.387983763266293,-0.019766176969090426,0.050884951383156934
C(tense)[T.simple past]:C(valence)[T.-val],0.024940109252930526,0.018023578216113785,1.3837490510421007,0.16643530845790766,-0.01038545492319317,0.06026567342905422
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.028373718261719923,0.018023578216113743,1.5742555624361412,0.11542837866578355,-0.00695184591440369,0.06369928243784354
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.008391189575194457,0.018023578216113743,-0.4655673515313637,0.6415252169331258,-0.04371675375131807,0.026934374600929158
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.037660217285156915,0.01802357821611375,2.08949725928935,0.036662984404795845,0.0023346531090332884,0.07298578146128054
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.02746658325195122,0.018023578216113754,-1.5239251009211403,0.12752742233630976,-0.06279214742807485,0.007858980924172414
C(tense)[T.simple past]:C(dominance)[T.-dom],0.07193031311035239,0.018023578216113764,3.9909008215718207,6.582280390730868e-05,0.036604748934228735,0.10725587728647604
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.1042332967122411,0.010405917734833544,-10.016732725391707,1.2868686658648746e-23,-0.12462852069860147,-0.08383807272588073
C(semantic_role)[T.patient]:C(valence)[T.-val],0.024600728352862474,0.010405917734833542,2.364109440391996,0.01807347266194441,0.004205504366502112,0.044995952339222836
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.025675964355470086,0.010405917734833545,-2.4674387218650065,0.013608351116249796,-0.04607118834183045,-0.0052807403691097175
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.03217468261719032,0.01040591773483354,-3.0919601170290254,0.0019883956235763407,-0.05256990660355068,-0.011779458630829964
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08005421956380099,0.010405917734833542,7.6931436134481,1.4356321400983335e-14,0.05965899557744063,0.10044944355016135
C(valence)[T.-val]:C(dominance)[T.-dom],-0.02084655761718738,0.010405917734833542,-2.003336769365768,0.045141153359501515,-0.041241781603547745,-0.0004513336308270173
log_frequency,-1.7009469656465097,0.9701661972217027,-1.7532531750926472,0.07955855913611044,-3.60243777121923,0.20054383992621072
C(tense)[T.past perfect]:log_frequency,0.03804606240900845,0.006188909458213166,6.147458234102675,7.873442273556179e-10,0.025916022767331348,0.05017610205068555
C(tense)[T.present continuous]:log_frequency,0.004578433058290348,0.006188909458213163,0.7397802616443858,0.45943333769410266,-0.007551606583386749,0.016708472699967447
C(tense)[T.present perfect]:log_frequency,0.021233257071538114,0.00618890945821331,3.430855987618211,0.0006016799322683697,0.009103217429860727,0.0333632967132155
C(tense)[T.simple future]:log_frequency,0.06851164280802621,0.006188909458213264,11.070067072496082,1.7526937832018092e-28,0.056381603166348916,0.0806416824497035
C(tense)[T.simple past]:log_frequency,0.025669761787457,0.00618890945821348,4.147703559209437,3.3582683985572605e-05,0.013539722145779282,0.03779980142913472
C(semantic_role)[T.patient]:log_frequency,-0.0010529516291880763,0.034852953672955884,-0.03021125954111353,0.9758985688160232,-0.0693634855830246,0.06725758232464846
C(syntactic_role)[T.subject]:log_frequency,-0.011286809951070278,0.03030428215549639,-0.37244934208161573,0.7095583223782159,-0.07068211155318303,0.04810849165104248
C(valence)[T.-val]:log_frequency,0.0075012541305241685,0.03617839078375175,0.20734073484255394,0.8357437634824614,-0.06340708882424508,0.07840959708529342
lex_emb_norm,-11.015987035673296,6.542237583750301,-1.6838255863765872,0.09221538084767011,-23.838537078128233,1.806563006781639
C(tense)[T.past perfect]:lex_emb_norm,-0.4915830392067933,0.10839411673915217,-4.535145024427627,5.7563917853323e-06,-0.7040316041515617,-0.27913447426202487
C(tense)[T.present continuous]:lex_emb_norm,0.1485663875186914,0.10839411673915174,1.3706130183819238,0.17049562254377126,-0.06388217742607621,0.361014952463459
C(tense)[T.present perfect]:lex_emb_norm,0.07382467598062284,0.10839411673915705,0.6810764108007524,0.4958231423672861,-0.1386238889641552,0.28627324092540085
C(tense)[T.simple future]:lex_emb_norm,-0.6470688238758742,0.1083941167391565,-5.969593584428607,2.3784530453535345e-09,-0.8595173888206511,-0.43462025893109724
C(tense)[T.simple past]:lex_emb_norm,-0.2003158986911162,0.10839411673916406,-1.848032944197051,0.06459757714899318,-0.412764463635908,0.012132666253675567
C(semantic_role)[T.patient]:lex_emb_norm,0.2125972397335801,0.6112627364686509,0.34780009814074986,0.7279903159536132,-0.9854557088363739,1.410650188303534
C(syntactic_role)[T.subject]:lex_emb_norm,0.4084392779068765,0.5319674345798543,0.7677900024640797,0.4426119550234976,-0.6341977348178053,1.4510762906315584
C(valence)[T.-val]:lex_emb_norm,-0.30747594638159337,0.6345591183750274,-0.4845505130695697,0.6279952245691325,-1.5511889644581358,0.9362370716949492
C(dominance)[T.-dom]:lex_emb_norm,0.3408793919299978,0.36950499306717993,0.9225298665125813,0.3562522590238574,-0.3833370865893973,1.065095870449393
