term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,7.489768405706837,4.113433722296923,1.8208068760433518,0.06863621871699134,-0.5724135427876664,15.55195035420134
C(tense)[T.past perfect],-0.09554976371929073,0.06878143877143603,-1.389179485424943,0.16477817823547214,-0.23035890651615226,0.03925937907757078
C(tense)[T.present continuous],-0.3194442489786253,0.06878143877143579,-4.644337988336573,3.411686476672772e-06,-0.4542533917754863,-0.18463510618176424
C(tense)[T.present perfect],-0.34103453800613875,0.06878143877143911,-4.958235013655317,7.113648028217887e-07,-0.4758436808030063,-0.2062253952092712
C(tense)[T.simple future],0.21847149932588053,0.06878143877143936,3.176314762066276,0.0014915901412144912,0.0836623565290125,0.35328064212274857
C(tense)[T.simple past],-0.2403469451720943,0.06878143877144119,-3.4943576270737884,0.00047520399142511393,-0.37515608796896593,-0.10553780237522264
C(semantic_role)[T.patient],-0.2470717042288134,0.4704809132359744,-0.5251471362131371,0.5994809107176912,-1.1691973495848371,0.6750539411272104
C(syntactic_role)[T.subject],-0.5478910033144962,0.45808243488159417,-1.1960532899632266,0.23167576398292744,-1.4457160776328353,0.3499340710038429
C(valence)[T.-val],0.19848986552307893,0.4677365786814959,0.4243625035326564,0.6713014622284319,-0.7182569829446382,1.1152367139907962
C(dominance)[T.-dom],-0.04361992880751635,0.4575544765261222,-0.09533275499496954,0.9240505264010458,-0.9404102237637934,0.8531703661487607
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.06482048034667752,0.01759946610326301,3.6830935646769163,0.00023042053702110018,0.030326160637148533,0.0993148000562065
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04911575317383076,0.017599466103263014,-2.7907524515601354,0.005258567381698146,-0.08361007288335975,-0.014621433464301767
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.005841445922854096,0.01759946610326301,-0.3319104050418364,0.7399569132831705,-0.040335765632383086,0.02865287378667489
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.02594032287597799,0.01759946610326301,-1.4739266932176172,0.14050132979981095,-0.06043464258550697,0.008553996833550997
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.002713394165041392,0.01759946610326301,-0.15417479991272678,0.8774719113593523,-0.03720771387457038,0.031780925544487595
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.019978713989255353,0.01759946610326305,1.1351886399298885,0.25629628824872774,-0.01451560572027371,0.054473033698784416
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.12136154174804345,0.017599466103263052,6.89575132768046,5.358085272102294e-12,0.08686722203851438,0.15585586145757252
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.16780738830566072,0.01759946610326304,9.534799937740626,1.5017484419276294e-21,0.13331306859613168,0.20230170801518976
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.16573905944824152,0.017599466103263045,9.41727768761761,4.629346201256255e-21,0.13124473973871248,0.20023337915777056
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11376457214355196,0.01759946610326304,6.464092233028555,1.0190870333628256e-10,0.07927025243402291,0.148258891853081
C(tense)[T.past perfect]:C(valence)[T.-val],0.0034114837646471957,0.017599466103263055,0.19384018495962696,0.8463010206747341,-0.03108283594488188,0.03790580347417627
C(tense)[T.present continuous]:C(valence)[T.-val],-0.020519256591798478,0.01759946610326305,-1.1659022194993791,0.2436539815234149,-0.05501357630132754,0.013975063117730585
