,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.3962010293085243,0.005683254474743638,0.05717656635767555,-0.07099342091363978,-0.00413960198475306
accountant,-0.17050238279093852,-0.069519792889726,-0.04201368460771977,-0.05301818138748497,-0.023800963157824043
administrator,-0.7604190945089393,-0.047743299158648604,0.1067342946749289,-0.09304890227345343,-0.05785309120308517
agronomist,0.11373586265036313,-0.03360880008310904,0.17935009285552508,-0.04821935846213777,0.05291119753461051
binman,0.831950262022043,0.11801490584628649,-0.2285287477056651,0.06949936226020628,0.09564494709216069
bodyguard,0.9717252485781607,0.004308112729552373,0.07155595394774981,0.0015733531222010522,0.03899372588572668
bookbinder,-0.03624417438535171,0.028920854628419625,-0.13762356487541325,0.10628608981471192,-0.08057390103625785
builder,1.241965015131623,0.19576497113782776,0.056573129700591945,0.14565421979995602,0.007639663618922936
cashier,-1.658623348404463,-0.13211307561360183,0.19166742906506298,-0.17443413120737464,-0.059460349987009685
chauffeur,1.49991722507983,0.03627720359847682,-0.08264879810892478,0.03350482631641539,0.027251915690948182
colonel,1.6832675904094363,0.13552725914857044,-0.2879798931888121,0.012515048989353846,-0.02206000926804957
doctor,-0.03334421564241675,-0.017909745950242865,-0.192659244153213,0.002521228602981162,0.04267578971391672
electrician,1.097813539290704,0.1849625467493395,-0.035315231428059334,0.0830113552536559,0.09909319516091133
farmer,1.4570605941216337,0.06814520236087146,-0.27258846271498494,0.06929717198441901,-0.024621920622072944
farmhand,0.6445425256327685,0.0001401975737589602,-0.1892556571300707,-0.009600767032348677,0.029971258253676678
fisherman,2.0251521172178486,0.07335189672262347,0.08813109914678051,0.016200459138984564,-0.033070177838202514
hawker,0.17218595682996304,-0.08508087253773122,0.0011190009659809326,-0.04560624728585156,0.04604702496413429
housekeeper,-2.39048333918981,-0.09068065941948975,0.28218678914982603,-0.053835208414630124,-0.08748010426506794
manager,-0.4727212958022695,-0.06975394195682813,0.14005705366814927,-0.08016076277562265,0.06626644667371483
midwife,-3.7277515981432963,-0.084930204125194,0.49365810546498046,-0.08046469649397105,-0.06729254686443156
molder,-0.7207710076625408,-0.05750723860234725,0.08598800275299834,-0.05124254272739895,-0.014110046953758431
paralegal,-1.6636334413096043,-0.08624585828362852,0.2293899629516542,-0.1433118250779947,-0.020173693569061027
programmer,0.014732239567593008,0.09228623781271089,0.12687917968647583,0.04547468860074236,0.13799378859137096
salesperson,-0.7566281824290848,-0.13352718340672376,0.05359610216933978,-0.06553756848005184,0.013845641563999795
scientist,-0.26357328120249407,-0.015891892946070248,-0.14289043009046934,-0.003644697301916786,-0.0038088583828791585
scrivener,0.684992142800914,0.09824799672338165,-0.2062116330920081,0.12786338855866552,-0.10637527907049872
sergeant,0.7486290106692965,0.0020293019620163124,-0.3759716581790836,0.06048383981190476,-0.01043041829857471
soldier,1.0834163101867345,0.10508458001826537,0.006196425666894195,0.1317193602579401,0.005424092876598817
solicitor,-0.2432870880865663,-0.12252276765073816,-0.1322934550856946,-0.027676912290164862,-0.06539544417443448
teacher,-1.5945157331945055,-0.12568810911974207,0.178740158270906,0.005085544866765082,-0.042553006782344985
tradesperson,-0.1074432866337735,0.024976225333516542,0.19499321464232208,0.010383546187817099,-0.019914995555946103
welder,0.7250568565325943,-0.0009973053018589115,-0.21801210041328944,0.07972173836246091,0.07935572129660733
