,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.39611733949225175,0.005682224149286543,0.05717836990743649,-0.07099277846517023,-0.004139896742236029
accountant,-0.1705549137461671,-0.06951957937479301,-0.042004090386758376,-0.05301850417458838,-0.023801432595633432
administrator,-0.7603736145182901,-0.04774417092052181,0.10673880553612555,-0.09304867007998958,-0.057852737897177334
agronomist,0.11369900233358596,-0.03360430029238864,0.17932410252921677,-0.04821420200951271,0.05291292666522112
binman,0.8324191547385733,0.11801332027283762,-0.2285217899239507,0.06949830317155481,0.09564285118213951
bodyguard,0.9716626943627313,0.00431449759140166,0.07152296157304713,0.0015798718208532045,0.0389969609480188
bookbinder,-0.03617217987870675,0.028917456501210997,-0.13760478837705276,0.1062808827377904,-0.08057430544273185
builder,1.2420395910408266,0.19576756564853717,0.05653557058308969,0.14565813495144614,0.007643802684226013
cashier,-1.6586969152167133,-0.13211538280877513,0.19168338403971488,-0.1744352318284095,-0.059461624290866315
chauffeur,1.4998262369303905,0.036283068969863726,-0.08267472132710899,0.033510454538115096,0.027254964781961075
colonel,1.6832724492426419,0.1355285701918372,-0.28798429073332654,0.012518104597734734,-0.022058108708564266
doctor,-0.033199054995413445,-0.017912449610371372,-0.1926343618088506,0.0025176509737263684,0.04267246099584853
electrician,1.0977608593024897,0.18496305302935762,-0.03533713321379328,0.08301401966606488,0.0990937865619265
farmer,1.4570910935881225,0.06814701708072807,-0.27258923436568655,0.06929825660262265,-0.024620430014870506
farmhand,0.644560779607059,0.00014074885266163013,-0.1892474138478671,-0.00960054082666185,0.029970302167169928
fisherman,2.025088231371597,0.07336273319742978,0.08807010869667439,0.016212492749437583,-0.03306197945689334
hawker,0.17203295728915408,-0.08507787735042874,0.0011149807471388046,-0.04560416355879015,0.04604673710251917
housekeeper,-2.390584178575475,-0.09068708509607608,0.2822098854491855,-0.053841591239354517,-0.08748227064963932
manager,-0.47257241626903673,-0.06975206611522446,0.14004958759270472,-0.08015841036798232,0.06626576622441958
midwife,-3.727848052761429,-0.08494071611436288,0.4936869749453652,-0.08047385414474852,-0.06729668347114504
molder,-0.7206866059394331,-0.05750810268719824,0.08599412865300389,-0.051243358794015016,-0.01411072732160584
paralegal,-1.6638341822529081,-0.08624906628911477,0.2294019331148413,-0.1433133357083588,-0.02017553707373535
programmer,0.014779311081737771,0.09228591534423178,0.1268624586031356,0.04547580515213005,0.13799249864261448
salesperson,-0.7567360253117211,-0.13352716077980273,0.0536079999413278,-0.06553888229196163,0.013843830967633908
scientist,-0.2634964244807872,-0.015895179024217623,-0.1428659133525668,-0.0036485643483494604,-0.003811399539581589
scrivener,0.6846575796759498,0.09824506718232895,-0.20619978966917155,0.12785947865128353,-0.10637424729713925
sergeant,0.7486109334794112,0.0020270402352827034,-0.37594149853792413,0.060479464703509005,-0.010432784927095517
soldier,1.0834846461189425,0.10508776507621644,0.006169126039083577,0.13172210595946182,0.00542728323098354
solicitor,-0.24334959304928744,-0.1225232000806756,-0.13227034007848051,-0.027679723107036713,-0.0653964289179945
teacher,-1.5943908387700296,-0.1256907698679382,0.17875593898084163,0.005080698603602577,-0.042554650609254625
tradesperson,-0.10732757765748352,0.024978362198433066,0.19497033801948022,0.0103864686627978,-0.019912342592278226
welder,0.7249543902062655,-0.0009972993885288735,-0.21800128885214673,0.07971961716252174,0.07935341526200762
