,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.3963343255723976,0.00568488604730457,0.057173717791668424,-0.0709944399724039,-0.004139135821539448
accountant,-0.17041876973688544,-0.06952013894416088,-0.04202882099015044,-0.05301767839160891,-0.02380022563642952
administrator,-0.7604915521891069,-0.047741920782768725,0.10672717446632164,-0.09304927344146095,-0.057853653514923976
agronomist,0.11379466174389205,-0.03361590641400186,0.1793910983670071,-0.04822750449454768,0.05290847522506452
binman,0.8312034592496927,0.11801741286236508,-0.22853973526968646,0.06950103501582715,0.09564826373720073
bodyguard,0.9718249886034731,0.004298025418330141,0.07160800905430194,0.0015630545961383255,0.03898862167253974
bookbinder,-0.03635890151288542,0.028926221616354785,-0.1376531899912329,0.10629432275753964,-0.08057327290789809
builder,1.2418464037871508,0.19576089147212403,0.05663238867855735,0.14564804952446517,0.0076331296585526506
cashier,-1.6585062497653054,-0.13210943253736793,0.1916422543440305,-0.17443240079638916,-0.059458340695973944
chauffeur,1.5000622184973618,0.03626793267007055,-0.08260789367887482,0.0334959316284872,0.027247101008096686
colonel,1.6832598493580007,0.1355251849789652,-0.28797295066938566,0.012510210211673936,-0.022063018793007063
doctor,-0.03357550341280736,-0.017905483404802146,-0.19269850487518933,0.002526874983058709,0.042681047666025464
electrician,1.0978975456928803,0.184961761609557,-0.03528067132075944,0.08300715177926733,0.09909227178666677
farmer,1.4570120042773842,0.06814232728515904,-0.27258724263411316,0.06929545341886914,-0.0246242827047791
farmhand,0.6445134077210704,0.00013931708170011872,-0.1892686616016633,-0.009601133123505471,0.02997276739501291
fisherman,2.0252540688769343,0.07333478056345055,0.08822732893461532,0.01618144767951337,-0.033083128188414995
hawker,0.1724296327918655,-0.08508561440289672,0.0011253474597118288,-0.04560954521988694,0.04604748364381434
housekeeper,-2.3903227989775098,-0.09067049867402044,0.2821503477120847,-0.05382511574923894,-0.08747668623026811
manager,-0.47295838454808414,-0.06975690584565006,0.14006882679275662,-0.08016448165674975,0.06626753063068834
midwife,-3.727598034906317,-0.08491357430523827,0.4936125533044254,-0.08045021236747331,-0.0672860103770505
molder,-0.7209054546850573,-0.057505873874968076,0.08597833353415005,-0.051241254306989996,-0.01410897241261028
paralegal,-1.6633137686078194,-0.0862407858344701,0.22937107952051866,-0.14330944248834382,-0.020170780133158858
programmer,0.014657365360198264,0.09228676240111251,0.12690556034685344,0.045472934314344765,0.13799584364921805
salesperson,-0.7564564784638987,-0.13352722885844398,0.05357733130053793,-0.06553549702126622,0.013848502914067704
scientist,-0.2636957815051398,-0.01588670758747764,-0.14292911254703852,-0.0036385922998523374,-0.003804848147373155
scrivener,0.6855249462864188,0.09825262474314594,-0.20623030593199898,0.12786956980176178,-0.10637692330550903
sergeant,0.748657673335607,0.0020328585997920036,-0.3760192384716437,0.06049074371314483,-0.010426689080192484
soldier,1.0833075864586938,0.10507955647252804,0.006239497204212145,0.1317150341842676,0.005419055544524536
solicitor,-0.2431876489062152,-0.12252210187324758,-0.13232992350289757,-0.027672479277152856,-0.06539389913215578
teacher,-1.5947146949779345,-0.12568390595829756,0.17871525320553294,0.005093210838328352,-0.04255041154914058
tradesperson,-0.10762747799456217,0.02497286008830993,0.19502930339404992,0.010378937208952468,-0.019919183549043203
welder,0.7252200092576928,-0.0009973251092503805,-0.21802915309127538,0.07972508853156503,0.07935936741967348
