,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,0.9561113191063519,-0.08994418222509114,0.3067028149394784,0.011215842266268948,0.05598155011196624
accountant,-0.7927622440936635,0.0256633865628172,0.02006984201228337,-0.014615683126970877,0.006297127931030522
administrator,-1.49131307384865,0.04298766086082529,0.23529362900009837,-0.011917559394535732,-0.030450458091805358
agronomist,0.31463373799250377,0.009651760006471189,0.15812724700518205,-0.003931943498384018,-0.036518072734288094
binman,1.286622734532811,-0.006014992494102806,0.1191454672341662,0.06927179029004063,0.02458283226176567
bodyguard,1.3267515107209824,0.06199199831478532,0.2775606898175272,0.028056955805350302,0.043930969065551516
bookbinder,-1.6950633597483435,0.059223667859455056,-0.2623593887993969,0.010341358918197874,-0.01949100974193951
builder,-0.11827027810996064,-0.028285974705300133,-0.1639621056408208,-0.001009666034217631,-0.0018133205152066243
cashier,-0.44323252318284384,0.014820869065731572,-0.00432988113746232,0.043530293152406516,0.017561574129634484
chauffeur,0.5356702182080607,-0.02570715897116365,-0.19087388067270766,0.06227957520127764,0.02111773612008262
colonel,1.0088181962661986,-0.026532418108219748,-0.12028985201399398,0.011252648184960714,-0.027950721274389138
doctor,0.21126175095866803,0.07458056440299304,0.1930584577120726,0.04174001365654786,0.020365464726037567
electrician,0.7312452310672427,-0.027422404799761248,-0.06293230358455545,-0.04254548478193811,0.048237225487452864
farmer,1.1075495824039567,-0.022948035072753135,-0.28681986947444416,0.06154551290819942,0.03863829938026695
farmhand,0.6192120179262922,0.002613547514001152,0.25305412319335785,0.017073387174405534,0.03143727730869316
fisherman,1.3853554716331715,-0.00929020291047609,-0.01889337413447818,0.054581315166029924,0.06395630821112404
hawker,-0.09950355352894313,-0.013720369755206132,0.20560777627091018,0.04229475217342044,0.038950089259543956
housekeeper,-1.659446546051411,-0.035099979260085214,-0.27920873348759706,0.010620958944072487,-0.0696360642371874
manager,-0.0027884443573358833,0.0012033043387273399,0.3975329341226397,-0.031982003197704764,0.007981364519909136
midwife,-2.646775919083714,0.05492703694802427,-0.6766866244003676,-0.07088757999764454,-0.09434562347098395
molder,-1.0102074103068905,-0.025273311370044876,-0.020696416343784125,-0.06415781222120936,-0.015600162333341282
paralegal,0.22730179585854315,-0.019086171097201576,-0.05981871021408227,-0.04051056159819073,0.02218368748878703
programmer,-0.032853670447421955,0.04049848694221197,0.07259147488842031,-0.0468894173870094,-0.012992815933991824
salesperson,-0.5369231855215388,0.021055737721679717,0.2380429291335571,-0.01113996310485803,0.002405545087798379
scientist,-0.26454388335013024,-0.020289734427687216,-0.1763970436227557,-0.03400319692835142,0.005873470526504432
scrivener,0.5778444579266953,-0.02096866535048812,0.017848783927273366,-0.03036538457326918,-0.05331945961837207
sergeant,0.0337354443689399,-0.018582881003438363,-0.035352281585836594,0.014535075269139622,-0.024544216126870567
soldier,1.31286659519268,-0.018640836677244078,-0.006457415889987161,0.023590495416314413,-0.02897658385125902
solicitor,-1.1187843531377983,0.030751438982598547,-0.07490160440658734,-0.09465707875607988,-0.04818823286987678
teacher,-1.3853200314667231,0.014392261689122884,-0.07812366637063263,0.023200577395270348,-0.028621877882175416
tradesperson,-0.01689874477664646,-0.000622912012671139,0.37070351840763593,-0.04892390060108065,-0.013113961496925324
welder,1.6797071559134265,-0.04593149095595313,-0.3472365359712095,0.022406683261419327,0.05606205853830073
