term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,4.784474089243883,5.718088461275765,0.8367261405005296,0.4027465220525511,-6.422773355270673,15.991721533758438
C(tense)[T.past perfect],0.03912593727593387,0.05251945601014084,0.7449798655260091,0.45628389187040985,-0.06381030499157786,0.1420621795434456
C(tense)[T.present continuous],-0.013329147632077295,0.052519456010140894,-0.2537944724618547,0.799654344002504,-0.11626538989958912,0.08960709463543454
C(tense)[T.present perfect],-0.255046906691646,0.05251945601014144,-4.8562366419484,1.1963771593119094e-06,-0.3579831489591589,-0.15211066442413307
C(tense)[T.simple future],-0.10070249198802544,0.05251945601014113,-1.9174321220802537,0.05518305663680327,-0.20363873425553775,0.002233750279486857
C(tense)[T.simple past],0.08897609661540185,0.05251945601014144,1.694154954655674,0.09023584193734976,-0.013960145652111067,0.19191233888291476
C(semantic_role)[T.patient],-0.323505738816334,0.056128367783471,-5.763676222767372,8.230123323469191e-09,-0.4335153181829554,-0.21349615944971256
C(syntactic_role)[T.subject],-0.2975985278972565,0.26945318165712706,-1.104453568026314,0.26939643458382867,-0.8257170594649542,0.23052000367044123
C(valence)[T.-val],0.128200181953474,0.062235890315691385,2.0599075758887504,0.03940737732637523,0.006220078388933736,0.25018028551801424
C(dominance)[T.-dom],-0.009622845907994693,0.058942675820087026,-0.16325770376232787,0.8703155345484375,-0.12514836766778514,0.10590267585179576
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.15311832563495695,0.015583882953473328,9.825428366736418,8.750122486084214e-23,0.12257447630686154,0.18366217496305237
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.02369214152322654,0.015583882953473334,1.5202977071863875,0.1284361700346855,-0.006851707804868882,0.054235990851321955
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.2026283418466862,0.015583882953473334,13.002429654512031,1.1851715742278923e-38,0.1720844925185908,0.23317219117478163
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.043233128800054796,0.01558388295347333,-2.7742205796289694,0.005533414565277789,-0.0737769781281502,-0.012689279471959383
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.07971251075704013,0.015583882953473332,-5.115060925125456,3.1363970574009756e-07,-0.11025636008513554,-0.04916866142894471
C(tense)[T.past perfect]:C(valence)[T.-val],-0.029882601304801377,0.015583882953473356,-1.9175324528564368,0.05517032217334454,-0.06042645063289684,0.0006612480232940886
C(tense)[T.present continuous]:C(valence)[T.-val],-0.039921712735211654,0.015583882953473356,-2.561730786505545,0.010415201710301794,-0.07046556206330712,-0.009377863407116188
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06917078940314138,0.015583882953473365,-4.438610685774206,9.054141908161529e-06,-0.09971463873123686,-0.0386269400750459
C(tense)[T.simple future]:C(valence)[T.-val],0.03649303316397105,0.015583882953473367,2.341716327883316,0.019195298236400843,0.005949183835875567,0.06703688249206655
C(tense)[T.simple past]:C(valence)[T.-val],0.012157824479790441,0.015583882953473358,0.7801537342194096,0.43530039108898044,-0.018386024848305028,0.042701673807885906
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.011562582459216637,0.015583882953473332,0.7419577324686959,0.4581129450450353,-0.018981266868878778,0.042106431787312056
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.027723039751888397,0.015583882953473334,-1.7789558503908995,0.07524700044342947,-0.058266889079983814,0.0028208095762070236
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.05212455584650997,0.015583882953473327,-3.3447733149774765,0.0008234984661969839,-0.08266840517460537,-0.021580706518414563
C(tense)[T.simple future]:C(dominance)[T.-dom],0.07914743987094192,0.015583882953473327,5.078800970672177,3.7982435455899975e-07,0.048603590542846506,0.10969128919903733
C(tense)[T.simple past]:C(dominance)[T.-dom],0.010007625186371955,0.015583882953473325,0.6421778972705556,0.520757682392355,-0.020536224141723448,0.04055147451446736
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],0.1555573964039662,0.008997359018207423,17.28922854908578,5.670608374658436e-67,0.137922896772303,0.17319189603562943
C(semantic_role)[T.patient]:C(valence)[T.-val],0.020904863460490995,0.008997359018207425,2.323444403873076,0.020155291046629883,0.0032703638288277825,0.03853936309215421
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.04866601960931172,0.00899735901820743,5.4089227195257115,6.340498025198772e-08,0.031031519977648494,0.06630051924097494
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.035708766910719426,0.008997359018207427,-3.968805383719566,7.223384424049396e-05,-0.05334326654238264,-0.01807426727905621
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0092347892473493,0.008997359018207427,1.0263888801882195,0.30470831737276227,-0.008399710384313917,0.026869288879012514
C(valence)[T.-val]:C(dominance)[T.-dom],-0.0414623853031297,0.008997359018207427,-4.608283966353316,4.060059212224187e-06,-0.05909688493479291,-0.023827885671466483
log_frequency,-0.9131179366409947,0.8154807738383152,-1.1197295705000128,0.26282901990353,-2.511430883448946,0.6851950101669562
C(tense)[T.past perfect]:log_frequency,-0.006098218732815499,0.004249367406848455,-1.4350886023616973,0.15126185100800188,-0.014426825807316832,0.002230388341685835
C(tense)[T.present continuous]:log_frequency,-0.00659421419043677,0.004249367406848458,-1.5518107894858089,0.12070750352960818,-0.01492282126493811,0.001734392884064571
C(tense)[T.present perfect]:log_frequency,-0.008035806941020764,0.004249367406848459,-1.8910595793787848,0.05861639145030367,-0.016364414015522105,0.00029280013348057833
C(tense)[T.simple future]:log_frequency,-0.0030431422646405235,0.004249367406848454,-0.7161400682219361,0.4739048648555234,-0.011371749339141856,0.005285464809860809
C(tense)[T.simple past]:log_frequency,0.0008951262211874148,0.004249367406848452,0.21064928858464751,0.8331609484248932,-0.007433480853313914,0.009223733295688744
C(semantic_role)[T.patient]:log_frequency,0.001702122661294075,0.004653667978270938,0.36575936857585956,0.71454464125701,-0.007418898972124289,0.01082314429471244
C(syntactic_role)[T.subject]:log_frequency,0.016152304370503405,0.0225339456029985,0.7167987646315291,0.4734982740974727,-0.028013417440958366,0.060318026181965176
C(valence)[T.-val]:log_frequency,-0.0008837581908614307,0.0051004399438090466,-0.17327097281757886,0.8624384389023242,-0.01088043678603666,0.009112920404313798
C(dominance)[T.-dom]:log_frequency,0.005354908002799272,0.004818432276659402,1.1113382310546465,0.26642278913937756,-0.004089045721398493,0.014798861726997039
lex_emb_norm,-0.8720904039359433,1.9089069710413897,-0.4568532763334093,0.647776509398271,-4.6134793170145105,2.869298509142624
C(tense)[T.past perfect]:lex_emb_norm,-0.004781361450720507,0.01906879078913445,-0.2507427714527638,0.8020129899380638,-0.04215550462615315,0.03259278172471213
C(tense)[T.present continuous]:lex_emb_norm,0.08136631283983925,0.01906879078913448,4.2669885961621805,1.9812928319416312e-05,0.043992169664406555,0.11874045601527194
C(tense)[T.present perfect]:lex_emb_norm,0.05717721273219622,0.019068790789134604,2.9984708188615605,0.002713381393792453,0.01980306955676328,0.09455135590762916
C(tense)[T.simple future]:lex_emb_norm,0.1180283785698002,0.01906879078913448,6.18961002168284,6.031324354917714e-10,0.0806542353943675,0.1554025217452329
C(tense)[T.simple past]:lex_emb_norm,-0.012980291652552023,0.01906879078913454,-0.6807086928631172,0.49605583478392967,-0.050354434827984844,0.024393851522880795
C(semantic_role)[T.patient]:lex_emb_norm,0.030653733724932575,0.0208830662504498,1.4678751365964913,0.14213814303755284,-0.010276324012712938,0.0715837914625781
C(syntactic_role)[T.subject]:lex_emb_norm,0.02310922075659296,0.10111977930282476,0.22853314075565245,0.8192317951000382,-0.17508190480158234,0.22130034631476828
C(valence)[T.-val]:lex_emb_norm,0.00682642292888835,0.022887929639658463,0.29825427796929455,0.7655090979187495,-0.03803309484552905,0.05168594070330576
C(dominance)[T.-dom]:lex_emb_norm,-0.027473944620528566,0.021622436522455463,-1.2706220500171737,0.2038631386726606,-0.06985314146254476,0.014905252221487635
log_frequency:lex_emb_norm,0.2559404677610407,0.2605528483451449,0.9822977157478839,0.3259531995568786,-0.25473373106477,0.7666146665868514
