term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,4.804546572764198,5.718691193447176,0.8401479307484795,0.4008254487347708,-6.403882205098646,16.01297535062704
C(tense)[T.past perfect],0.027406088186266116,0.05306132136655652,0.5164984112804175,0.6055063482651345,-0.07659219066429032,0.13140436703682254
C(tense)[T.present continuous],-0.007307782011973995,0.05306132136655587,-0.1377233326228478,0.890459078354936,-0.11130606086252914,0.09669049683858116
C(tense)[T.present perfect],-0.2651107539092465,0.053061321366555586,-4.99630893241089,5.843801840119309e-07,-0.3691090327598011,-0.1611124750586919
C(tense)[T.simple future],-0.09641240351912836,0.05306132136655597,-1.8169996720039496,0.0692171635683787,-0.20041068236968368,0.007585875331426975
C(tense)[T.simple past],0.05290261384860014,0.05306132136655551,0.9970089791609411,0.31876015153850745,-0.0510956650019543,0.15690089269915458
C(semantic_role)[T.patient],-0.339354313820169,0.057027522100129215,-5.950711188613964,2.6697983326074704e-09,-0.4511262032639842,-0.22758242437635376
C(syntactic_role)[T.subject],-0.2975985278393996,0.26950970058849416,-1.1042219526405597,0.26949686909443504,-0.8258278344770216,0.2306307787982224
C(valence)[T.-val],0.10746898931456057,0.06205584794136722,1.7318108265332457,0.08330724987384727,-0.014158237680613223,0.22909621630973437
C(dominance)[T.-dom],-0.030354038542773267,0.05876449761035003,-0.5165370211116566,0.6054793891810837,-0.1455303374286494,0.08482226034310286
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.023439698179412806,0.015574195222537484,1.5050343112107083,0.13231525567386368,-0.007085163544956436,0.053964559903782044
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.012042731240126737,0.015574195222537484,-0.7732490230185153,0.4393750184804407,-0.04256759296449598,0.018482130484242507
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.020127694435267678,0.015574195222537482,1.292374607333855,0.1962274460290765,-0.010397167289101561,0.050652556159636916
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.008580176937721702,0.015574195222537479,-0.550922652189777,0.5816866984106974,-0.03910503866209093,0.02194468478664753
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.07214696553368155,0.015574195222537475,4.632468291477264,3.6133169046794463e-06,0.041622103809312326,0.10267182725805077
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.15311832563495592,0.015574195222537519,9.831540150041102,8.234960307175473e-23,0.12259346391058662,0.18364318735932522
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.0236921415232257,0.015574195222537515,1.5212433891248938,0.12819877075179326,-0.006832720201143602,0.054217003247595
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.202628341846686,0.01557419522253751,13.010517651240258,1.0661739959797743e-38,0.1721034801223167,0.2331532035710553
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.043233128800055795,0.015574195222537513,-2.7759462484130717,0.005504130736151898,-0.0737579905244251,-0.012708267075686498
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.07971251075704149,0.015574195222537515,-5.118242684006491,3.0839561886035066e-07,-0.11023737248141079,-0.049187649032672184
C(tense)[T.past perfect]:C(valence)[T.-val],-0.02988260130480338,0.015574195222537437,-1.918725229638847,0.05501911680336585,-0.06040746302917253,0.0006422604195657697
C(tense)[T.present continuous]:C(valence)[T.-val],-0.039921712735213596,0.015574195222537437,-2.563324278704484,0.01036751661903816,-0.07044657445958274,-0.009396851010844448
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06917078940314292,0.015574195222537442,-4.44137166734919,8.93872503189635e-06,-0.09969565112751208,-0.038645927678773756
C(tense)[T.simple future]:C(valence)[T.-val],0.036493033163969575,0.015574195222537442,2.3431729628738984,0.019120516787916608,0.005968171439600416,0.06701789488833873
C(tense)[T.simple past]:C(valence)[T.-val],0.012157824479788333,0.01557419522253745,0.7806390189712481,0.4350148359256327,-0.018367037244580837,0.04268268620415751
