term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,5.733665496958922,5.1573507185784475,1.111746284057123,0.26624725340658784,-4.374556167096603,15.841887161014448
C(tense)[T.past perfect],0.02245312266119312,0.05419639284913207,0.41429182793948055,0.6786603979764851,-0.08376985541508987,0.1286761007374761
C(tense)[T.present continuous],0.0011973997204916766,0.05419639284913201,0.02209371615976198,0.9823731990321616,-0.10502557835579118,0.10742037779677455
C(tense)[T.present perfect],-0.2755559250135487,0.05419639284913164,-5.084396036847382,3.6879770449944965e-07,-0.38177890308983087,-0.16933294693726655
C(tense)[T.simple future],-0.09369158257542241,0.054196392849131504,-1.7287420370620443,0.08385527416795673,-0.1999145606517043,0.012531395500859466
C(tense)[T.simple past],0.042255067506602184,0.054196392849130984,0.7796656804121554,0.4355876847001433,-0.06396791056967867,0.14847804558288302
C(semantic_role)[T.patient],-0.3749613377075443,0.058115690157577705,-6.4519811550177915,1.103973098242488e-10,-0.4888659973530855,-0.2610566780620031
C(syntactic_role)[T.subject],-0.2992680721685232,0.26726917130242434,-1.1197253716549709,0.2628308097383567,-0.8231060220991411,0.22456987776209464
C(valence)[T.-val],0.16230829525141358,0.027626187092704226,5.8751609372209534,4.2243274888910095e-09,0.10816196351954799,0.21645462698327916
C(dominance)[T.-dom],0.08000083105898381,0.07382476346150485,1.0836584813536099,0.27851625073003317,-0.06469304649275423,0.22469470861072185
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.025851703538432882,0.015907353621271943,1.62514168942991,0.1041323716129563,-0.005326136648602934,0.0570295437254687
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.011223710704326014,0.015907353621271943,-0.7055674357623649,0.4804571812422225,-0.04240155089136183,0.019954129482709804
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.02498313576070309,0.015907353621271943,1.5705400379919041,0.11628952736074935,-0.006194704426332725,0.0561609759477389
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.006605487846082368,0.015907353621271943,-0.41524743859652735,0.6779607745283261,-0.03778332803311819,0.024572352340953448
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.0722573118341981,0.015907353621271936,4.542384205099508,5.562155006807844e-06,0.0410794716471623,0.1034351520212339
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.14958967763934652,0.015907353621272005,9.403806641936262,5.262395470527478e-21,0.11841183745231058,0.18076751782638245
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.030430037643054467,0.01590735362127201,1.9129541196822386,0.05575392626633369,-0.0007478025439814767,0.06160787783009041
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.20823711696129998,0.015907353621272005,13.090619717087087,3.725556821866457e-39,0.17705927677426406,0.2394149571483359
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.042836125106351035,0.01590735362127201,-2.6928504970851153,0.007084402834309938,-0.07401396529338698,-0.01165828491931509
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.07684087209717105,0.015907353621271998,-4.830525172610492,1.3617339630556934e-06,-0.10801871228420698,-0.04566303191013513
