term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.9756443971939954,0.5982421750398991,3.302415776791785,0.0009585586951859166,0.8031112800828863,3.1481775143051047
C(tense)[T.past perfect],0.04496522829771357,0.008347079952997974,5.386941128024497,7.166689563560203e-08,0.028605252213761256,0.06132520438166589
C(tense)[T.present continuous],0.17528493027248349,0.008347079952997969,20.999550891989177,6.620844437535112e-98,0.15892495418853117,0.1916449063564358
C(tense)[T.present perfect],-0.08772516923340747,0.00834707995299797,-10.509683593230678,7.795464554753255e-26,-0.10408514531735977,-0.07136519314945516
C(tense)[T.simple future],0.2751432494324498,0.008347079952997973,32.96281465875119,2.7720505862579372e-238,0.2587832733484975,0.29150322551640206
C(tense)[T.simple past],0.030232989493408503,0.008347079952997973,3.621983934938816,0.0002923522810754766,0.013873013409456191,0.04659296557736081
C(semantic_role)[T.patient],-0.1048804080650693,0.009503249439075361,-11.036268040468679,2.554227961485716e-28,-0.12350643470175748,-0.08625438142838113
C(syntactic_role)[T.subject],-0.0024159975335413053,0.04192527775878885,-0.0576262737587907,0.9540463210109421,-0.08458803198260562,0.079756036915523
C(valence)[T.-val],0.02804757862229969,0.0075303071890763275,3.7246260900201107,0.000195604926925987,0.013288447739187038,0.04280670950541234
C(dominance)[T.-dom],0.024641762032374177,0.01160871151031675,2.1226957023158737,0.03377935938518744,0.0018891055652377718,0.04739441849951058
log_frequency,-0.06906176859164526,0.07919838368819385,-0.8720098236290186,0.3832030184138535,-0.22428774825428968,0.08616421107099917
