,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,0.9534848471560926,-0.09240519984313118,0.292183176886694,-0.0007103341929974476,0.07122504226525998
accountant,-0.7625113897071827,0.02054550585375429,0.034389253096929494,-0.004178046289218236,-0.008345557206422887
administrator,-1.481439949064186,0.038576396441450174,0.23739308959009742,-0.0010909929550182926,-0.048410177294936886
agronomist,0.27913918597808085,0.010054396832988133,0.14789073340284986,-0.0038156237401937233,-0.029614231939338338
binman,1.313605253777233,-0.0037649526206597517,0.13165174659471537,0.03199208396177427,0.06443458269405913
bodyguard,1.3352901628390441,0.06137515871621838,0.2670806051666921,-0.003127640574383739,0.08001442268545489
bookbinder,-1.7278153572476833,0.05890688227367924,-0.25984263985429035,0.025822503198297268,-0.05264965472278445
builder,-0.10131675061090624,-0.03040846232762605,-0.16853092503201572,-0.006411495792899017,0.0010514930506284289
cashier,-0.4478564915183307,0.013562184037307898,-0.00942810896487694,0.040379924745023,0.009556066563922353
chauffeur,0.5428160615005433,-0.024842404088724276,-0.19313354241596292,0.04635214419533149,0.031250136488710334
colonel,1.0243017583821805,-0.01986694021839086,-0.10745189654644874,0.012990638497259113,-0.016363537598394838
doctor,0.20316071833964966,0.07726253436447159,0.18881477410553169,0.02367192127825783,0.03397966450549767
electrician,0.7137387557750782,-0.02349231133299329,-0.07060359904499475,-0.05212811912717507,0.060679939375438564
farmer,1.1233483304608933,-0.02352542679044368,-0.2719802916055195,0.03436457930114382,0.06275306567597796
farmhand,0.6235317732574736,-0.0012848694781766004,0.2535861287690873,0.00907146126208787,0.0425532716273322
fisherman,1.440728118701714,-0.010527824594952502,-0.0011088076220069792,0.0189851043950701,0.1003973575015511
hawker,-0.0747643698681455,-0.020977193888496164,0.20727032763522743,0.04631101798532759,0.029797202386943514
housekeeper,-1.6707109891121623,-0.035332866064574565,-0.2741392565810736,0.042255182715400616,-0.11079188221070842
manager,-0.008027846985806324,-0.003371198392093524,0.3803158737842988,-0.040699266036006085,0.01982900073792943
midwife,-2.6912304433141356,0.07097695859972628,-0.6691182480351883,-0.017806394392324818,-0.15910622835165153
molder,-1.0163031067210637,-0.02755497468067628,-0.03434620731188833,-0.04201605533411648,-0.039003084354016816
paralegal,0.221020213344695,-0.01701337284821186,-0.06769069295790811,-0.05172544674092783,0.03386986263694514
programmer,-0.040625086700243215,0.038258839319706486,0.07263076310646112,-0.029591761959132105,-0.022260503858940062
salesperson,-0.550607998967661,0.01633217066297138,0.22642102144441287,0.0025657266565180196,-0.013195951286112263
scientist,-0.27614080811869673,-0.02029975471582578,-0.1814442571855617,-0.01864351484637221,-0.009874998443378826
scrivener,0.5270265627937994,-0.021088299425785318,0.004515329502883203,-0.014749526419042593,-0.05531534498113389
sergeant,0.05907526437557691,-0.014803411514417308,-0.0050724736821979675,0.009594394492751455,-0.016722716139661916
soldier,1.3065715451599993,-0.013670799613076665,0.006194895796226365,0.003622541755429194,0.002714814125941708
solicitor,-1.0985190280909944,0.030918069820835673,-0.05855977596096933,-0.05452540547313727,-0.08018657079675112
teacher,-1.3990689061564252,0.01291600815971673,-0.07741202171038129,0.03668004362603168,-0.054870280918055174
tradesperson,-0.0011286779159852599,-0.0019522496755609699,0.36822698729109776,-0.05107454550762108,-0.002214585249530211
welder,1.6812286496746043,-0.04350259299501833,-0.36870196151349044,0.007634901316467189,0.07481938310866076
