,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,0.9738121288124086,-0.0880214626990462,0.29180818160074556,0.0018871681150284324,0.07088883117185364
accountant,-0.7713781328533851,0.020437485884054835,0.03566255407076697,-0.0018412591327348453,-0.007094628399453949
administrator,-1.5124908419067111,0.04159638495315032,0.24119029154631438,-0.0023951052769512994,-0.043724974954886295
agronomist,0.265361362724692,0.013521528214020294,0.1492420663350866,-0.01039904002817322,-0.032906361528684536
binman,1.2767822259895114,0.0003077203716195574,0.13145795508484867,0.02434474750650773,0.061682426837167834
bodyguard,1.3650639432188918,0.06571638168120969,0.26972864993638235,0.001570290350192604,0.07214639790794569
bookbinder,-1.7763509519097034,0.05317409226537632,-0.25985347411162535,0.028996587460706685,-0.03899494998661885
builder,-0.139816713297589,-0.03324477926299862,-0.1705232570009729,-0.0035615937114636567,0.0007547774301052168
cashier,-0.4180402172014166,0.01267242459720548,-0.009307453872920667,0.038900265284172,0.021499819180111433
chauffeur,0.5703935324828434,-0.027349761196316977,-0.19605491162288086,0.04128840848825144,0.0395615857357519
colonel,0.997995801112439,-0.018309269738992665,-0.10940861378992864,-0.002318858135453429,-0.023465163152060906
doctor,0.19273353307223687,0.08020705260779311,0.19166756375416405,0.02369299755011167,0.03589976479178414
electrician,0.749608128225403,-0.026839271099851545,-0.07184947101614467,-0.0322626401305987,0.052275330733101213
farmer,1.1171907400420436,-0.027014781215841176,-0.2758549537679675,0.03318550538717067,0.06493237502652081
farmhand,0.6196507237504955,0.0032728373644350926,0.2551130440827693,0.007147860034779867,0.040669776082992055
fisherman,1.4466899747324782,-0.009758215588554175,-0.0025454763278298055,0.02037234854153798,0.096361986464234
hawker,-0.05604039224299738,-0.01725928896160789,0.2081379931402069,0.03855237885945923,0.03915179012126025
housekeeper,-1.6442298565860933,-0.03928558573426375,-0.27627920437923187,0.027930717634872145,-0.0937837502308975
manager,-0.018918469505519408,0.0015069841123176002,0.3836491479411038,-0.03196901000193956,0.01312227611771753
midwife,-2.663569779815869,0.05821372871905059,-0.67095969304877,-0.013230163437384776,-0.1491414428009601
molder,-1.0317520670308267,-0.02976235842419828,-0.034230738500941806,-0.03295740352992611,-0.04032237872853547
paralegal,0.22908072733640417,-0.020149657084678436,-0.06843382059091056,-0.034126409183880074,0.02650567246949699
programmer,-0.05348535706476453,0.039649574135009656,0.07441834055194844,-0.02825865453166229,-0.030419332049739654
salesperson,-0.5287870085879481,0.019243059730954713,0.22899144646893893,0.00230186905877349,-0.009434921997054882
scientist,-0.29404928424033233,-0.02397175677930337,-0.18308424431380563,-0.012512132429723528,-0.010688787393830107
scrivener,0.5589714133724888,-0.019522923441040622,0.004037024234995379,-0.023524471490304844,-0.06046840929128257
sergeant,0.02990426761316288,-0.013299954282137146,-0.005488493214642653,0.0006778614529775914,-0.018507279386041783
soldier,1.3222922763864613,-0.011249744436432967,0.00517299206368383,-0.0063626363636672505,-0.004644552674435688
solicitor,-1.1100223543542123,0.02984937875447976,-0.05699709218557038,-0.05257244117969942,-0.08967461849431117
teacher,-1.4089996282891568,0.011181849736390628,-0.07715421465178435,0.0309763883006479,-0.04067404076594545
tradesperson,3.300812699294857e-05,0.0035521921316899537,0.3716898149232007,-0.046400944419495216,-0.013299096193404072
welder,1.7123672684354847,-0.04906386532013138,-0.37394195329515884,0.012867368959011385,0.07179187798154792
