term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,3.5846893988040134,4.594818558158585,0.7801590755828691,0.4352972474922837,-5.420989490683073,12.5903682882911
C(tense)[T.past perfect],0.02245312266119447,0.054755208526455164,0.41006368645909125,0.681759230103929,-0.08486511401663814,0.1297713593390271
C(tense)[T.present continuous],0.0011973997204945133,0.05475520852645488,0.021868234140976592,0.9825530641959389,-0.10612083695733754,0.10851563639832656
C(tense)[T.present perfect],-0.2755559250135393,0.05475520852645528,-5.032506174830892,4.841090085959537e-07,-0.3828741616913721,-0.1682376883357065
C(tense)[T.simple future],-0.0936915825754222,0.05475520852645582,-1.7110990003837474,0.08706283868283429,-0.20100981925325612,0.013626654102411692
C(tense)[T.simple past],0.04225506750659576,0.054755208526456794,0.7717086400315474,0.44028701228083034,-0.06506316917124004,0.14957330418443154
C(semantic_role)[T.patient],-0.29529510047681834,0.0729862065135929,-4.045902843598575,5.212184850756929e-05,-0.43834543661166314,-0.15224476434197354
C(syntactic_role)[T.subject],-0.17670694357189942,0.11205458957553177,-1.5769719405628444,0.11480198160207375,-0.3963299034423591,0.04291601629856023
C(valence)[T.-val],0.16230829525155197,0.03917420923927449,4.143243690260075,3.424277400197079e-05,0.08552825601973774,0.2390883344833662
C(dominance)[T.-dom],0.09416476022664426,0.0882894883585214,1.0665455421404737,0.2861771029815384,-0.07887945716952606,0.2672089776228146
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.025851703538433156,0.016071373367254203,1.6085559676627639,0.10771346895056919,-0.005647609443481298,0.05735101652034761
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.011223710704325622,0.016071373367254203,-0.6983666204404282,0.4849479457486924,-0.04272302368624008,0.02027560227758883
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.024983135760703178,0.016071373367254203,1.5545115647432408,0.1200624402636757,-0.0065161772212112765,0.05648244874261763
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.006605487846081707,0.016071373367254206,-0.41100954443262083,0.6810655361434284,-0.038104800827996166,0.024893825135832756
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.07225731183419871,0.016071373367254213,4.496025957646197,6.923528782029204e-06,0.04075799885228424,0.1037566248161132
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.14958967763934566,0.016071373367254217,9.307834135951193,1.3046553207962758e-20,0.11809036465743118,0.18108899062126016
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.030430037643053905,0.016071373367254217,1.8934310682530586,0.05830056706285249,-0.0010692753388605765,0.06192935062496839
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.20823711696129843,0.016071373367254213,12.957020672893224,2.144146909345513e-38,0.17673780397938396,0.2397364299432129
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.04283612510635146,0.016071373367254213,-2.6653680508494086,0.007690410450056403,-0.07433543808826593,-0.011336812124436983
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.07684087209717122,0.016071373367254223,-4.781226242539806,1.7422914565924214e-06,-0.10834018507908572,-0.045341559115256724
C(tense)[T.past perfect]:C(valence)[T.-val],-0.024209342780819605,0.016071373367254376,-1.5063642806125357,0.13197368494472983,-0.0557086557627344,0.007289970201095189
C(tense)[T.present continuous]:C(valence)[T.-val],-0.03309586853010943,0.016071373367254376,-2.0593055598809418,0.03946497620649079,-0.06459518151202423,-0.001596555548194635
C(tense)[T.present perfect]:C(valence)[T.-val],-0.0701270267744814,0.016071373367254376,-4.363474431959007,1.280129082464523e-05,-0.1016263397563962,-0.03862771379256661
C(tense)[T.simple future]:C(valence)[T.-val],0.07088276706572214,0.01607137336725438,4.410498433826859,1.0313295204122045e-05,0.039383454083807334,0.10238208004763694
C(tense)[T.simple past]:C(valence)[T.-val],0.0015855272326793565,0.016071373367254376,0.09865536668508293,0.9214119081375595,-0.029913785749235436,0.03308484021459415
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.005889323935229322,0.016071373367254286,0.36644808135868,0.7140307472743841,-0.02560998904668529,0.03738863691714393
