,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.522416197737944,-0.00944342371243826,0.07608685730659807,-0.07971796348325155,0.018869542325747616
accountant,-0.018838886090301356,0.0018231692868707695,0.1574256786935735,0.007775620071537374,0.02913494684544881
administrator,-0.10402079308973342,-0.023140362335165504,-0.41421573980333526,-0.07754227998792013,-0.0476976099056534
agronomist,0.43823407710144335,-0.0009260862697894032,-0.08124164188624754,0.010126144205716631,0.012736373034090235
binman,1.0487496338636395,-0.01903230814823562,-0.17361663985908027,0.03308388909555636,0.06994414588161638
bodyguard,-0.16646946724758094,0.03996065550211847,0.5510438039843714,0.04586512928323349,0.010148149320946868
bookbinder,0.3144131045131463,0.033787386355054946,-0.1922516066094887,0.07859040744103579,-0.07150513159574136
builder,1.1268973341757222,0.047411506401019085,0.05995360168906444,0.25355647180584956,-0.0566271147731888
cashier,-1.5142769710181156,-0.03659797398972201,-0.029477043341435256,-0.18112517080629129,-0.0006674390884146527
chauffeur,1.3364342776668052,0.06159541633691101,-0.028583816406703065,0.13966980685461305,-0.014794592538345896
colonel,1.1927934067919383,0.10059395355428613,0.11272890685958978,0.027068048327663,0.013007321105271093
doctor,0.14977606157148146,-0.04554257353063108,-0.2220519677440614,-0.05682919172152733,0.032431024300768704
electrician,1.0033861351401907,0.09069475842618362,0.30727829994049705,0.0900749953689524,-0.02756098650382757
farmer,0.5574733591101069,0.05220968914280075,-0.04779317238637992,0.025343121453865015,-0.03428944870938168
farmhand,-0.30839217070284203,-0.015775103886293593,0.12851589257256063,-0.0631807813203952,0.10207231631609659
fisherman,1.750304801940111,0.03787141110297908,0.014345400449644798,0.06219036734631471,0.08739771816845367
hawker,-0.10264883346778438,0.06524680833419605,0.3626134640160578,-0.06385020942274156,0.013613094472671184
housekeeper,-3.129348834366057,-0.1769087092806746,-0.0400408140241377,-0.20058134314306703,0.03970659586365234
manager,0.0365744745755871,0.006254385338643474,-0.02558986557526493,0.004703678174405179,-0.0006459532921788991
midwife,-4.060039808835287,-0.21075362006764065,0.127764276901031,-0.2473634830390752,0.05879913095907873
molder,-0.19674988223211703,0.031986268308250264,-0.12669005359888647,-0.020449132229980994,-0.09855600790096154
paralegal,-1.318345988086465,-0.07166214912992708,-0.04548195663350312,-0.05846865774428942,-0.05785709739596543
programmer,0.5671708173101885,0.014694492977039017,0.21721883965098093,0.08681187215086318,0.11731486481237093
salesperson,-0.754542770920075,-0.07220780605834792,-0.10284134164451109,-0.10023891888186881,0.04571934984197724
scientist,-0.3895526378478035,-0.08258769143468979,-0.14422526916859238,-0.08375727813946625,0.06227661373334788
scrivener,1.5440495432948504,0.08957013881340287,-0.25294958104828924,0.2077651064099149,-0.1494827686808677
sergeant,1.1512960169298736,0.03314136601600804,-0.20060858083513342,0.0588968909899509,-0.04558207820131992
soldier,0.5789175302295378,0.09491587931990685,0.25026323919045457,0.14118499839947637,-0.10133687247668748
solicitor,0.2824749686415392,-0.042369446571523944,-0.25372616957408456,-0.03225290050716144,0.022322027409700386
teacher,-1.231978230805989,-0.04807000620355397,-0.09642231057936038,-0.09133335285625847,-0.018736447377897408
tradesperson,-0.01660071046411494,0.01174424571129315,0.05622972406077096,0.029795818448358866,-0.03223289286885096
welder,0.755276640026927,0.04151572969015717,0.05633958540271249,0.05418829745373739,0.022079226918268944
