term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,-0.41586933529233244,2.373726455991254,-0.1751968236452367,0.8609249800979193,-5.068287698185092,4.236549027600427
C(tense)[T.past perfect],0.05296158516130909,0.04327932379218868,1.2237156341816027,0.22105951975459148,-0.03186433074662819,0.13778750106924637
C(tense)[T.present continuous],0.2654723927855354,0.043279323792188656,6.13393115983595,8.573362893311594e-10,0.18064647687759816,0.35029830869347267
C(tense)[T.present perfect],0.049566714485011376,0.04327932379218876,1.1452746979830908,0.25209538370564843,-0.03525920142292607,0.13439263039294883
C(tense)[T.simple future],0.1343038510698671,0.0432793237921887,3.103187372213681,0.0019144838719011709,0.04947793516192976,0.2191297669778044
C(tense)[T.simple past],-0.049079691143932624,0.04327932379218886,-1.1340216723254495,0.2567854572842766,-0.13390560705187027,0.035746224764005005
C(semantic_role)[T.patient],0.11116044407603862,0.05325136275372513,2.0874666548934946,0.03684597221542687,0.00678969095105969,0.21553119720101754
C(syntactic_role)[T.subject],0.00989878187157585,0.13780003212244096,0.07183439451436686,0.9427337006500275,-0.260184318156871,0.27998188190002266
C(valence)[T.-val],0.010901323181176616,0.0853285370374191,0.1277570618185574,0.8983412312296395,-0.15633953626565691,0.17814218262801015
C(dominance)[T.-dom],-0.015365356395181624,0.0541505894869418,-0.28375233844660025,0.7766001821666062,-0.12149856153120082,0.09076784874083758
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.027524185180661753,0.02001284692210612,1.3753258238466128,0.16903045394326366,-0.011700274014779518,0.06674864437610302
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.016258811950685993,0.02001284692210612,-0.8124187435185228,0.4165513946657856,-0.055483271146127264,0.022965647244755277
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.006635856628415675,0.020012846922106125,0.3315798424004198,0.7402065426802644,-0.0325886025670256,0.045860315823856954
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.02737598419189202,0.02001284692210613,1.367920531169036,0.1713369524160694,-0.011848475003549266,0.0666004433873333
C(tense)[T.simple past]:C(semantic_role)[T.patient],9.288787841604567e-05,0.02001284692210612,0.004641412527542098,0.9962967019004749,-0.03913157131702522,0.03931734707385732
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.005767059326170977,0.020012846922105986,0.28816786280420414,0.7732182475885208,-0.03345739986927003,0.044991518521611984
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.0391946792602547,0.020012846922105983,-1.9584759436180301,0.05017419113821431,-0.0784191384556957,2.977993518629707e-05
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.060610771179198275,0.020012846922105993,3.0285931539429414,0.0024569531612048208,0.021386311983757254,0.09983523037463929
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.12495708465576073,0.02001284692210599,6.243843524218156,4.2694712386171275e-10,0.08573262546031972,0.16418154385120176
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.02309436798095616,0.020012846922105997,1.153977146322263,0.24850953857795932,-0.016130091214484867,0.06231882717639719
C(tense)[T.past perfect]:C(valence)[T.-val],-0.053503036499024687,0.020012846922106003,-2.6734345546772627,0.007507892406997142,-0.09272749569446573,-0.014278577303583645
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06062221527099738,0.02001284692210601,-3.029164991215449,0.002452307150200723,-0.09984667446643844,-0.021397756075556322
C(tense)[T.present perfect]:C(valence)[T.-val],-0.04241123199463021,0.020012846922106017,-2.1192003396469863,0.034073539610746974,-0.08163569119007127,-0.003186772799189143
C(tense)[T.simple future]:C(valence)[T.-val],0.061389732360838396,0.020012846922106014,3.0675162109508687,0.00215845752784375,0.022165273165397334,0.10061419155627946
C(tense)[T.simple past]:C(valence)[T.-val],-0.03403072357177835,0.020012846922106014,-1.7004439050692142,0.08904745929280179,-0.07325518276721942,0.00519373562366271
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.005139160156250708,0.020012846922106014,-0.25679305779199446,0.7973385294951195,-0.04436361935169177,0.03408529903919035
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.03314418792724671,0.02001284692210601,-1.6561455777006888,0.09769234123813875,-0.07236864712268776,0.006080271268194347
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.003396034240721913,0.020012846922106017,0.16969271058435384,0.8652518070408525,-0.035828424954719156,0.04262049343616298
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.11523189544677793,0.020012846922106017,-5.757896210133591,8.51686916132568e-09,-0.15445635464221902,-0.07600743625133687
C(tense)[T.simple past]:C(dominance)[T.-dom],0.04383068084716748,0.020012846922106035,2.1901272226667787,0.028515011443269903,0.004606221651726382,0.08305514004260858
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.15174814860026112,0.01155442255772866,-13.133339017340854,2.120942455717871e-39,-0.17439440067556647,-0.12910189652495577
C(semantic_role)[T.patient]:C(valence)[T.-val],0.04973729451497355,0.011554422557728662,4.304611006432742,1.67279399727e-05,0.0270910424396682,0.0723835465902789
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.055271657307943006,0.011554422557728644,-4.783593211326023,1.721889862160694e-06,-0.07791790938324833,-0.03262540523263769
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.024640146891276124,0.011554422557728657,-2.1325294940675796,0.03296334250198582,-0.04728639896658146,-0.0019938948159707835
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.034812927246093715,0.011554422557728651,3.0129525791669836,0.0025871934175343858,0.012166675170788385,0.057459179321399045
C(valence)[T.-val]:C(dominance)[T.-dom],-0.04432169596354167,0.011554422557728655,-3.835907484091039,0.0001251014978141626,-0.06696794803884701,-0.021675443888236334
log_frequency,0.19096812227094181,0.28201693451681814,0.6771512590126157,0.498309989070572,-0.36177491241241255,0.7437111569542962
C(tense)[T.past perfect]:log_frequency,0.014535016204277586,0.0059854222037151565,2.4284028276661402,0.015165488458580456,0.002803804252729516,0.026266228155825654
C(tense)[T.present continuous]:log_frequency,0.01923119971850837,0.005985422203715166,3.213006378492651,0.0013135337239639244,0.00749998776696028,0.030962411670056457
C(tense)[T.present perfect]:log_frequency,0.035907739432733,0.005985422203715197,5.9991990891544456,1.9829311920241606e-09,0.024176527481184852,0.047638951384281154
C(tense)[T.simple future]:log_frequency,0.06067250919616916,0.005985422203715192,10.13671335641274,3.796586173730516e-24,0.04894129724462102,0.0724037211477173
C(tense)[T.simple past]:log_frequency,0.022094068635243137,0.005985422203715202,3.6913133081120266,0.00022309912074185265,0.01036285668369498,0.033825280586791295
C(syntactic_role)[T.subject]:log_frequency,0.007363162578820938,0.021255356613007974,0.3464144456797675,0.7290312703358339,-0.03429657086122996,0.04902289601887183
C(valence)[T.-val]:log_frequency,-0.012239728116378848,0.010381434057782479,-1.1790016724330386,0.23839750987875963,-0.03258696497751001,0.00810750874475232
C(dominance)[T.-dom]:log_frequency,-0.009649239777889312,0.007556216945852553,-1.2769934806048118,0.2016045489197733,-0.02445915285113156,0.005160673295352934
lex_emb_norm,27.987336543429436,23.039473921841157,1.2147558854153246,0.2244592107468949,-17.169202566129023,73.1438756529879
C(tense)[T.past perfect]:lex_emb_norm,-0.9080230926206914,0.4153530758419014,-2.1861475102361303,0.028804815034506066,-1.7221001621387517,-0.093946023102631
C(tense)[T.present continuous]:lex_emb_norm,-2.2316305427005854,0.4153530758419017,-5.372851851830331,7.750100226654263e-08,-3.045707612218646,-1.4175534731825246
C(tense)[T.present perfect]:lex_emb_norm,-2.2259964620221226,0.4153530758419036,-5.35928729433415,8.355089944587773e-08,-3.0400735315401874,-1.4119193925040578
C(tense)[T.simple future]:lex_emb_norm,-1.7726657746613157,0.41535307584190295,-4.267852768558889,1.9736351293891375e-05,-2.586742844179379,-0.9585887051432523
C(tense)[T.simple past]:lex_emb_norm,-1.3266132233340646,0.4153530758419042,-3.193941011860987,0.0014034479134593402,-2.1406902928521303,-0.5125361538159988
C(semantic_role)[T.patient]:lex_emb_norm,-0.07146855865745758,0.42503203479544477,-0.16814864011804018,0.8664663447801739,-0.9045160391323044,0.7615789218173892
C(syntactic_role)[T.subject]:lex_emb_norm,-0.8027542677692681,1.4785959127783672,-0.5429166013727486,0.5871872250725608,-3.7007490045029945,2.095240468964459
C(valence)[T.-val]:lex_emb_norm,1.4012632999926373,0.837086968521016,1.6739757667813424,0.09413536205520238,-0.23939701023636806,3.0419236102216427
C(dominance)[T.-dom]:lex_emb_norm,0.5034639252810076,0.545288141936649,0.9232988700119202,0.3558514765992091,-0.5652811941115896,1.5722090446736048
