,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
CEO,-0.5224103855810766,-0.00944383357773835,0.0760833535216942,-0.07967872218675907,0.018877429864253597
accountant,-0.01886902641184516,0.0018586831298396,0.1574138583793906,0.007775547174548498,0.029130461943157725
administrator,-0.10406422455498758,-0.02320305846776176,-0.4141900375697823,-0.07750083679213611,-0.04767597244760472
agronomist,0.43829066358684093,-0.0009015467435241358,-0.08124212369381573,0.010143969025838475,0.012738548039787932
binman,1.048725835927683,-0.0189836868412177,-0.1736158558764588,0.033097005829158095,0.06990475660714307
bodyguard,-0.16659056779220924,0.04008986599099112,0.5509992837518751,0.04588062070335634,0.010210687392706887
bookbinder,0.3145984468163662,0.03365816621200453,-0.19222208102545443,0.07851413070318926,-0.07154218781396648
builder,1.1269743041349423,0.04741889764482856,0.05995151089348014,0.25341667571943066,-0.05664912144421589
cashier,-1.5142912865786156,-0.03668364561967332,-0.029462951480815423,-0.18108061177503526,-0.0006701110950246563
chauffeur,1.3365138329256578,0.06155933538512739,-0.028575445658392703,0.1396187431559075,-0.014831419677222986
colonel,1.1927992834824144,0.10051338333303038,0.1127379527586373,0.027100302027723656,0.012971168277892568
doctor,0.14978080415650064,-0.04548556755890212,-0.22205242688650684,-0.05677375547316378,0.03244722796706021
electrician,1.0032782314813964,0.09077157657720149,0.3072519089105552,0.09011126086207694,-0.027496689666983296
farmer,0.5574714458812549,0.05214634208955735,-0.047781249499551245,0.0253481950981385,-0.0342923470894895
farmhand,-0.3083534641567833,-0.015844425634506616,0.12852456088912645,-0.06319687888358812,0.10196632833973304
fisherman,1.7502339440609238,0.03793870060102402,0.014335443097616644,0.06223373488604479,0.0873632489765031
hawker,-0.10265788981899561,0.065250588072757,0.36259690360929187,-0.06377490838467598,0.013643571227407583
housekeeper,-3.1293682436965877,-0.17690117274749975,-0.04004030364873672,-0.20061787083968446,0.03969008389340578
manager,0.03664593875411214,0.006216626031997163,-0.02558217876759972,0.00468905709309276,-0.0006678060525156911
midwife,-4.0600196372211155,-0.2107154826455539,0.1277529351401991,-0.24740504956674608,0.05878901247286154
molder,-0.1967886108703415,0.03192982340786264,-0.12667808166717093,-0.02042691540573806,-0.09849579828391243
paralegal,-1.3183975759665298,-0.07156198181899626,-0.045498978682994844,-0.05844915450299803,-0.05775532599225607
programmer,0.5673105202728249,0.014613539959319863,0.21722809666214948,0.08670564799141543,0.11714879893866482
salesperson,-0.7546181342362693,-0.07217554962188252,-0.10284237285770555,-0.10020980827523858,0.04571498705051292
scientist,-0.3896009698268825,-0.08249535245167591,-0.1442343465162829,-0.08370972707626627,0.06228747101252265
scrivener,1.5440790247777416,0.08951519811835391,-0.25293148677659966,0.20769790230599777,-0.1494385888084277
sergeant,1.1512011374400484,0.03319074008194328,-0.20060986818670476,0.05893914863143592,-0.0455233894372248
soldier,0.5789039036927665,0.0949244270133257,0.2502500827663533,0.14114924355704078,-0.101272709537083
solicitor,0.2824149284315663,-0.042320069160844756,-0.25372405165429945,-0.03221346013396307,0.02233476335911579
teacher,-1.2319062870074315,-0.04813249996505309,-0.09640854550356422,-0.09134589957568745,-0.018744424916786115
tradesperson,-0.016575692022952213,0.011770829487911137,0.056222366304021006,0.029791803923513535,-0.03219885197704085
welder,0.7552897503009339,0.04148114973710074,0.05634412927017504,0.054170610212825744,0.022036198873498725
