term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,6.7458250087257055,0.4085314920342944,16.512374542130583,1.0014035565696599e-60,5.945054662307479,7.546595355143932
C(tense)[T.past perfect],-0.007380909479882902,0.2673032375745958,-0.027612495631756523,0.9779715754500609,-0.5313270686497963,0.5165652496900305
C(tense)[T.present continuous],-0.18149553903150106,0.26730323757459457,-0.6789874326937484,0.4971560933370048,-0.7054416982014121,0.34245062013841
C(tense)[T.present perfect],-0.36066000869567216,0.26730323757459207,-1.3492541727820582,0.1772753016680966,-0.8846061678655782,0.1632861504742339
C(tense)[T.simple future],-0.34355500510393394,0.2673032375745984,-1.285263164865541,0.19871978834487583,-0.8675011642738524,0.18039115406598455
C(tense)[T.simple past],-0.13904059786169448,0.2673032375746002,-0.5201605454662344,0.6029592065393924,-0.6629867570316166,0.3849055613082277
C(semantic_role)[T.patient],0.18462277402301597,0.1612684867146054,1.1448161868706583,0.25230321312837123,-0.1314826535653108,0.5007282016113428
C(syntactic_role)[T.subject],-0.4492111629094429,0.1612684867146044,-2.785486315776054,0.005351322402505121,-0.7653165904977677,-0.13310573532111808
C(valence)[T.-val],0.2142481789719982,0.16126848671460473,1.328518567617932,0.1840266643319634,-0.1018572486163273,0.5303536065603237
C(dominance)[T.-dom],0.08930980915696854,0.16126848671460567,0.5537957909595737,0.5797267005986817,-0.2267956184313588,0.4054152367452959
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.02061729431152598,0.08106511952618767,-0.254330030375958,0.799244018692912,-0.17951457667812248,0.13827998805507052
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.014547348022485328,0.08106511952618761,-0.17945261917224328,0.8575846936305117,-0.17344463038908176,0.14434993434411109
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.024069213867186634,0.08106511952618778,-0.29691208756450627,0.766537657283502,-0.18296649623378336,0.1348280684994101
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.031425094604487766,0.08106511952618775,0.3876524797368123,0.6982786181940314,-0.1274721877621089,0.19032237697108445
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.08502120971679406,0.08106511952618754,1.0488013860181693,0.294286102742885,-0.07387607264980223,0.24391849208339034
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.21612129211428344,0.08106511952618749,-2.6660207667302216,0.007683559190981681,-0.3750185744808796,-0.057224009747687266
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243651449,0.08106511952618738,-0.7560726832298684,0.4496172571206765,-0.22018840480311044,0.09760615993008145
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.037581634521486613,0.0810651195261873,-0.4635980893033314,0.6429423170993667,-0.1964789168880824,0.12131564784510918
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1931583404541592,0.08106511952618752,-2.382755266175371,0.017195747536604616,-0.3520556228207554,-0.03426105808756297
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.014430236816398174,0.08106511952618793,-0.17800796323672247,0.8587190780331344,-0.17332751918299522,0.14446704555019885
C(tense)[T.past perfect]:C(valence)[T.-val],0.11186408996581874,0.08106511952618768,1.379928761218709,0.16762873995246969,-0.04703319240077779,0.27076137233241526
C(tense)[T.present continuous]:C(valence)[T.-val],0.024380874633786034,0.08106511952618743,0.30075666052536926,0.7636041448024512,-0.13451640773281004,0.18327815700038208
C(tense)[T.present perfect]:C(valence)[T.-val],0.13337707519530825,0.0810651195261875,1.6453078213524592,0.09992688530761135,-0.025520207171287945,0.29227435756190445
C(tense)[T.simple future]:C(valence)[T.-val],0.016453170776368275,0.08106511952618753,0.20296239458517287,0.8391671235683084,-0.142444111590228,0.17535045314296452
C(tense)[T.simple past]:C(valence)[T.-val],0.12168960571289673,0.08106511952618763,1.5011339824594423,0.13334154261430167,-0.03720767665369969,0.28058688807949317
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.02206077575683305,0.08106511952618753,-0.27213647356316384,0.7855207570246255,-0.1809580581234293,0.1368365066097632
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.03996925354003355,0.08106511952618752,-0.4930511886449728,0.6219834935261209,-0.19886653590662978,0.11892802882656267
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.058669281005857665,0.08106511952618746,-0.7237302720179795,0.4692424071845914,-0.21756656337245378,0.10022800136073845
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.0491771697997971,0.0810651195261877,-0.6066378497586826,0.5441002750638545,-0.20807445216639367,0.10972011256679945
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.018276214599602745,0.08106511952618776,-0.22545102883242757,0.8216314285515164,-0.17717349696619944,0.14062106776699396
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.029471460978192213,0.046802968580333636,-0.6296921300538182,0.528905433499414,-0.12121084972604668,0.06226792776966225
C(semantic_role)[T.patient]:C(valence)[T.-val],0.049478785196937616,0.04680296858033368,1.0571719422457382,0.2904498103962838,-0.04226060355091693,0.14121817394479216
