term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,30.86921472795651,0.593715325408726,51.99329275643256,0.0,29.705462136321447,32.03296731959158
C(tense)[T.past perfect],-0.1987567280832847,0.13284941934226227,-1.4961053579859789,0.13464679980714137,-0.45915737708175647,0.061643920915187056
C(tense)[T.present continuous],-0.3007475914017479,0.13284941934226133,-2.263823153241858,0.023598916288878648,-0.5611482404002178,-0.04034694240327796
C(tense)[T.present perfect],-0.46760537141335196,0.1328494193422615,-3.519814943328091,0.0004331011572468773,-0.7280060204118222,-0.2072047224148817
C(tense)[T.simple future],-0.2479414521664511,0.1328494193422613,-1.8663344815055385,0.06201367352730215,-0.508342101164921,0.012459196832018765
C(tense)[T.simple past],-0.17271067337180243,0.13284941934226163,-1.300048387316212,0.19360394297577507,-0.43311132237027294,0.08768997562666811
C(semantic_role)[T.patient],0.1962926864624113,0.03681243337217029,5.332238824798959,9.838571843067793e-08,0.1241359424676964,0.2684494304571262
C(syntactic_role)[T.subject],-0.4740595933274558,0.1394874138777308,-3.3985832853923137,0.0006790832350782499,-0.7474715004378736,-0.20064768621703805
C(valence)[T.-val],0.13917859395344778,0.0601144519680137,2.315226861379412,0.02061366422349864,0.02134712442832354,0.257010063478572
C(dominance)[T.-dom],0.10873894526793784,0.13454212492567874,0.8082148645118055,0.4189794508649643,-0.15497960782576672,0.37245749836164244
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.216121292114275,0.07362486674434021,-2.935438822113576,0.003335709906813069,-0.3604347801037041,-0.07180780412484591
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243650523,0.07362486674434031,-0.8324785517009686,0.4051518555579632,-0.2056046104259345,0.08302236555292405
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03758163452147383,0.0736248667443408,-0.5104475727198863,0.6097452893998468,-0.18189512251090406,0.10673185346795638
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.19315834045414762,0.07362486674434061,-2.623547572926443,0.008710551788573459,-0.3374718284435775,-0.04884485246471776
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.014430236816400512,0.07362486674434077,-0.19599678008938065,0.8446152856038647,-0.15874372480583068,0.12988325117302965
C(tense)[T.past perfect]:C(valence)[T.-val],0.1118640899658195,0.0736248667443408,1.5193791841316708,0.12868771322906358,-0.03244939802361073,0.2561775779552497
C(tense)[T.present continuous]:C(valence)[T.-val],0.024380874633788897,0.0736248667443408,0.331150000154845,0.7405357143849013,-0.11993261335564133,0.16869436262321913
C(tense)[T.present perfect]:C(valence)[T.-val],0.133377075195308,0.07362486674434053,1.8115764563412342,0.07007123792445795,-0.010936412794121692,0.2776905631847377
C(tense)[T.simple future]:C(valence)[T.-val],0.016453170776371966,0.07362486674434086,0.22347301263722327,0.82317036428504,-0.1278603172130584,0.16076665876580232
C(tense)[T.simple past]:C(valence)[T.-val],0.12168960571289647,0.0736248667443406,1.652832950251153,0.09838535546421455,-0.022623882276533364,0.26600309370232633
C(semantic_role)[T.patient]:C(valence)[T.-val],0.049478785196935354,0.04250733663389541,1.1640057720643195,0.24443979853468553,-0.03384064594145586,0.13279821633532657
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.14312807718913337,0.04250733663389538,-3.3671382053845957,0.0007613945788727936,-0.22644750832752453,-0.05980864605074221
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.058574549357103864,0.0425073366338954,1.3779868134668416,0.1682274840634961,-0.024744881781287337,0.14189398049549506
C(valence)[T.-val]:C(dominance)[T.-dom],-0.19455121358234834,0.04250733663389537,-4.5768855211505555,4.756571609164913e-06,-0.27787064472073947,-0.11123178244395719
log_frequency,-0.02704484355068943,0.05086874159565244,-0.5316593786743262,0.5949696392726531,-0.1267536220370816,0.07266393493570275
C(tense)[T.past perfect]:log_frequency,0.011232913484187854,0.01638000791218487,0.685769722725948,0.49286870826085416,-0.02087384853292048,0.043339675501296186
C(tense)[T.present continuous]:log_frequency,0.014060340291531899,0.016380007912184677,0.8583842185492941,0.3906937673536424,-0.01804642172557605,0.04616710230863985
C(tense)[T.present perfect]:log_frequency,0.02097125019999637,0.01638000791218467,1.2802954865727747,0.20046061751818875,-0.011135511817111567,0.05307801221710431
C(tense)[T.simple future]:log_frequency,0.04493421616111076,0.01638000791218464,2.7432353147818342,0.006090779754922945,0.012827454144002888,0.07704097817821864
C(tense)[T.simple past]:log_frequency,0.012720739366106452,0.01638000791218464,0.7766015397736068,0.4374058818775045,-0.019386022651001422,0.04482750138321433
lex_emb_norm,0.2339344228171203,0.3835351280171315,0.6099426251424642,0.5419088609961454,-0.517840005282328,0.9857088509165686
C(syntactic_role)[T.subject]:lex_emb_norm,0.13525272801924954,0.13610761514858807,0.9937190352765695,0.32037536648115966,-0.13153437194552642,0.4020398279840255
