term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,30.93039070653432,0.5940241447127229,52.0692483324775,0.0,29.766032792365053,32.09474862070359
C(tense)[T.past perfect],-0.1987567280832594,0.1328883313270632,-1.4956672726522666,0.13476097988112756,-0.45923364919602533,0.06172019302950654
C(tense)[T.present continuous],-0.3007475914017377,0.13288833132706374,-2.2631602669578266,0.023639743939110176,-0.5612245125145046,-0.040270670288970745
C(tense)[T.present perfect],-0.46760537141335273,0.1328883313270639,-3.5187842810854884,0.0004347857308807317,-0.72808229252612,-0.20712845030058546
C(tense)[T.simple future],-0.24794145216644456,0.1328883313270639,-1.8657879867285914,0.06209012904071379,-0.5084183732792118,0.012535468946322709
C(tense)[T.simple past],-0.17271067337179982,0.13288833132706454,-1.299667710829513,0.1937344357950988,-0.43318759448456834,0.08776624774096872
C(semantic_role)[T.patient],0.1247286478678414,0.030066029833707313,4.148490790360586,3.364795903289326e-05,0.06579565651366573,0.18366163922201706
C(syntactic_role)[T.subject],-0.47405959332744396,0.13952827015061303,-3.3975881218603434,0.0006815561670687601,-0.7475515835878435,-0.2005676030670444
C(valence)[T.-val],0.13917859395344545,0.060132059667414646,2.3145489232071963,0.02065078545698756,0.021312611245094093,0.2570445766617968
C(dominance)[T.-dom],-0.013613011887965848,0.13694259439604498,-0.09940670357534137,0.9208166610038574,-0.28203677040205666,0.254810746626125
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.21612129211428677,0.07364643168387879,-2.9345792752318203,0.003344957730295424,-0.36047704994786917,-0.07176553428070437
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243651489,0.07364643168387874,-0.8322347876894022,0.40528940306049993,-0.2056468802700972,0.08306463539706743
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.037581634521477066,0.07364643168387904,-0.5102981049074176,0.6098499817223612,-0.18193739235505996,0.10677412331210584
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.19315834045414929,0.07364643168387879,-2.6227793531567896,0.008730206614569894,-0.3375140982877317,-0.04880258262056689
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.01443023681639488,0.073646431683879,-0.19593938886727652,0.8446602054957065,-0.1587859946499777,0.12992552101718793
C(tense)[T.past perfect]:C(valence)[T.-val],0.11186408996582191,0.07364643168387867,1.5189342838223232,0.12879967254694477,-0.03249166786776027,0.2562198477994041
C(tense)[T.present continuous]:C(valence)[T.-val],0.024380874633789684,0.07364643168387891,0.33105303374972095,0.7406089542164832,-0.11997488319979296,0.16873663246737233
C(tense)[T.present perfect]:C(valence)[T.-val],0.13337707519533085,0.0736464316838789,1.8110459956544902,0.07015330874863655,-0.010978682638251774,0.2777328330289135
C(tense)[T.simple future]:C(valence)[T.-val],0.016453170776367668,0.07364643168387905,0.22340757590254315,0.8232212871355175,-0.12790258705721524,0.1608089286099506
C(tense)[T.simple past]:C(valence)[T.-val],0.12168960571289518,0.07364643168387888,1.6523489723879303,0.09848392237795428,-0.022666152120687413,0.2660453635464778
C(semantic_role)[T.patient]:C(valence)[T.-val],0.04947878519693834,0.042519787157542996,1.1636649311910023,0.24457794817163778,-0.03386505044735327,0.13282262084122995
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.05857454935709429,0.042519787157543,1.377583315270739,0.16835209736568374,-0.024769286287197337,0.14191838500138593
C(valence)[T.-val]:C(dominance)[T.-dom],-0.19455121358234703,0.04251978715754299,-4.575545330495234,4.787083275300251e-06,-0.27789504922663866,-0.11120737793805544
log_frequency,-0.01673316556860939,0.051324500147025894,-0.3260268589206909,0.7444084867196861,-0.11733528497551017,0.08386895383829139
C(tense)[T.past perfect]:log_frequency,0.01123291348419167,0.016384805664573072,0.6855689175782701,0.4929953604178974,-0.020883252697735805,0.043349079666119145
C(tense)[T.present continuous]:log_frequency,0.014060340291536595,0.01638480566457304,0.8581328689138884,0.3908325235235849,-0.018055825890390818,0.04617650647346401
C(tense)[T.present perfect]:log_frequency,0.020971250199997595,0.016384805664573045,1.2799205940746239,0.20059244362582893,-0.011144915981929824,0.05308741638192502
