term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,30.798761977691797,0.6152623795805635,50.05793137992269,0.0,29.592774499740177,32.00474945564341
C(tense)[T.past perfect],-0.018411297358306822,0.24001689693087597,-0.07670833842839495,0.9388565736475437,-0.4888729764760345,0.45205038175942086
C(tense)[T.present continuous],-0.2014801658015716,0.2400168969308713,-0.8394415908959989,0.4012346645644378,-0.6719418449192901,0.26898151331614695
C(tense)[T.present perfect],-0.3899946491986408,0.24001689693087416,-1.6248633083151676,0.10421227875804788,-0.8604563283163649,0.08046702991908333
C(tense)[T.simple future],-0.3681435900038694,0.2400168969308809,-1.5338236378828192,0.12509371592161006,-0.8386052691216068,0.10231808911386792
C(tense)[T.simple past],-0.14817870516153978,0.24001689693086453,-0.6173678064183198,0.5370013361762273,-0.6186403842792451,0.32228297395616545
C(semantic_role)[T.patient],0.20936216662147325,0.14494963094799165,1.4443787490331246,0.1486529357197606,-0.07475635851272391,0.49348069175567044
C(syntactic_role)[T.subject],-0.4508502747462074,0.1449496309479912,-3.1103927053665643,0.0018718202882022552,-0.7349687998804038,-0.1667317496120111
C(valence)[T.-val],0.23734845973372168,0.14338226018234027,1.6553544310982677,0.09787312608986963,-0.04369783218840814,0.5183947516558515
C(dominance)[T.-dom],0.057951026706631124,0.138573820053099,0.41819606823587113,0.6758096375636148,-0.21367015037539053,0.32957220378865276
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.020617294311516682,0.07364153531500175,-0.27996828451941125,0.7795056211020795,-0.16496346660238234,0.12372887797934898
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.014547348022477417,0.0736415353150016,-0.1975427041309113,0.8434054900500497,-0.15889352031334278,0.12979882426838793
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.024069213867179258,0.07364153531500178,-0.326842912280728,0.7437911705461582,-0.16841538615804497,0.12027695842368646
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.03142509460449017,0.07364153531500171,0.42673057358281985,0.6695815813540085,-0.11292107768637541,0.17577126689535574
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.08502120971681097,0.07364153531500175,1.1545279352627922,0.2483018186409447,-0.05932496257405469,0.22936738200767665
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.21612129211427789,0.07364153531500153,-2.934774393144025,0.0033428616003080853,-0.3604674644051431,-0.07177511982341267
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243650652,0.07364153531500149,-0.8322901223383501,0.40525819076705283,-0.20563729472737166,0.0830550498543586
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03758163452148072,0.07364153531500156,-0.5103320342348286,0.6098262234564426,-0.181927806812346,0.10676453776938455
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.19315834045415342,0.07364153531500173,-2.6229537397328624,0.008725750501753967,-0.337504512745019,-0.04881216816328782
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.014430236816392397,0.07364153531500184,-0.19595241672606398,0.8446500113124685,-0.1587764091072582,0.12991593547447344
C(tense)[T.past perfect]:C(valence)[T.-val],0.11186408996581826,0.07364153531500171,1.5190352765911186,0.12877427261391935,-0.03248208232504732,0.25621026225668386
C(tense)[T.present continuous]:C(valence)[T.-val],0.024380874633783522,0.07364153531500164,0.33107504521048264,0.7405923332361792,-0.11996529765708192,0.16872704692464896
C(tense)[T.present perfect]:C(valence)[T.-val],0.133377075195312,0.07364153531500163,1.8111664107054752,0.07013469214495675,-0.01096909709555341,0.2777232474861774
C(tense)[T.simple future]:C(valence)[T.-val],0.01645317077637081,0.07364153531500164,0.22342243009997523,0.8232097306514562,-0.12789300151449462,0.16079934306723626
C(tense)[T.simple past]:C(valence)[T.-val],0.12168960571289224,0.07364153531500164,1.6524588357964698,0.09846156210499808,-0.0226565665779732,0.26603577800375766
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.02947146097819818,0.04251696023765362,-0.6931695213736809,0.4882136912852983,-0.11280976240682161,0.05386684045042525
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.1431280771891277,0.04251696023765358,-3.3663760623783165,0.0007635019799760484,-0.22646637861775104,-0.05978977576050436
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.05857454935709863,0.04251696023765358,1.377674909722832,0.16832382499272394,-0.024763752071524717,0.14191285078572197
C(valence)[T.-val]:C(dominance)[T.-dom],-0.1945512135823524,0.042516960237653584,-4.575849554974893,4.780179730339827e-06,-0.27788951501097575,-0.11121291215372903
log_frequency,-0.02505631759807797,0.05368833097375243,-0.46669950701815816,0.6407215254854877,-0.13029183502172909,0.08017919982557316
C(tense)[T.past perfect]:log_frequency,0.025512998149805816,0.023251679244974555,1.0972540039369416,0.27254763451874786,-0.02006306003516417,0.0710890563347758
C(tense)[T.present continuous]:log_frequency,0.02178618956851554,0.023251679244974302,0.9369727381399553,0.34878736577438507,-0.023789868616453953,0.06736224775348504
C(tense)[T.present perfect]:log_frequency,0.026478484920629226,0.023251679244974552,1.1387773176146876,0.25481386866330147,-0.019097573264340754,0.07205454310559921
C(tense)[T.simple future]:log_frequency,0.03615893725852563,0.02325167924497477,1.555110789098831,0.1199403624847095,-0.009417120926444783,0.08173499544349604
C(tense)[T.simple past]:log_frequency,0.018351130623375254,0.023251679244974024,0.7892389375421971,0.42998459403056893,-0.02722492756159369,0.06392718880834419
C(semantic_role)[T.patient]:log_frequency,0.013154040417843908,0.013424363271196818,0.9798632644325923,0.32716910663379917,-0.013159309043850414,0.039467389879538226
C(syntactic_role)[T.subject]:log_frequency,0.003440854212341582,0.013424363271196822,0.25631414636433775,0.7977117197644821,-0.022872495249352746,0.02975420367403591
C(valence)[T.-val]:log_frequency,-0.00807135091057186,0.013424363271196825,-0.6012464611926636,0.5476847477699097,-0.034384700372266194,0.018241998551122476
C(dominance)[T.-dom]:log_frequency,-0.02062335596416695,0.01342436327119681,-1.5362632511901875,0.12449450000265307,-0.04693670542586126,0.0056899934975273535
lex_emb_norm,0.2780067867143716,0.47105096771469074,0.5901840899788929,0.5550759507831124,-0.6453091633493743,1.2013227367781174
C(tense)[T.past perfect]:lex_emb_norm,-0.2896399613435501,0.3346441734692473,-0.8655162238172571,0.3867690816082208,-0.9455823627764275,0.36630244008932733
C(tense)[T.present continuous]:lex_emb_norm,-0.1567017800194358,0.33464417346923886,-0.4682638827830664,0.6396025615736234,-0.8126441814522967,0.49924062141342507
C(tense)[T.present perfect]:lex_emb_norm,-0.1117020864333079,0.3346441734692459,-0.33379360912008654,0.7385398793322353,-0.7676444878661827,0.5442403149995668
