term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,30.847846910582007,0.6117812923494428,50.42299804905125,0.0,29.648682784036346,32.04701103712767
C(tense)[T.past perfect],-0.018411297358334355,0.24000545923035438,-0.07671199404119976,0.9388536654422194,-0.48885055479114636,0.45202796007447765
C(tense)[T.present continuous],-0.20148016580154063,0.24000545923035418,-0.8394815953255569,0.401212224277159,-0.6719194232343523,0.2689590916312711
C(tense)[T.present perfect],-0.38999464919861393,0.240005459230353,-1.6249407428032876,0.10419577512721537,-0.8604339066314233,0.08044460823419536
C(tense)[T.simple future],-0.36814359000383423,0.24000545923035704,-1.5338967337842524,0.12507572819436838,-0.8385828474366515,0.10229566742898305
C(tense)[T.simple past],-0.14817870516151563,0.24000545923035702,-0.6173972276992826,0.536981934667488,-0.6186179625943329,0.32226055227130157
C(semantic_role)[T.patient],0.1846227740230176,0.14649325246774336,1.26028175982829,0.20758695069475974,-0.10252143149148166,0.4717669795375169
C(syntactic_role)[T.subject],-0.45085027474620243,0.1449427235573435,-3.110540934245886,0.0018708814392737038,-0.7349552591047508,-0.16674529038765412
C(valence)[T.-val],0.13917859395344703,0.060125196472515595,2.314813125260527,0.020636324752318854,0.021326054797725924,0.25703113310916814
C(dominance)[T.-dom],0.05795102670664074,0.1385672164936255,0.418215997788385,0.6757950675005548,-0.2136572052095622,0.3295592586228437
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.020617294311530365,0.0736380260211252,-0.2799816266885766,0.7794953846953987,-0.16495658722297635,0.12372199859991562
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.014547348022477546,0.07363802602112511,-0.19755211822631197,0.8433981237914963,-0.15888664093392335,0.12979194488896828
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.024069213867189937,0.0736380260211252,-0.32685848830718234,0.7437793890394659,-0.16840850677863592,0.12027007904425605
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.03142509460447614,0.07363802602112528,0.4267509098554721,0.6695667674578545,-0.11291419830697,0.1757643875159223
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.08502120971681391,0.073638026021125,1.154582955447819,0.2482792754962434,-0.05931808319463168,0.22936050262825952
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.21612129211428055,0.07363802602112504,-2.9349142527568617,0.00334135580507589,-0.3604605850257262,-0.07178199920283487
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243652228,0.07363802602112514,-0.8323297859578582,0.40523580825635913,-0.20563041534796817,0.08304817047492359
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03758163452147249,0.07363802602112492,-0.510356354618893,0.6098091879055351,-0.18192092743291793,0.10675765838997293
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.19315834045415436,0.07363802602112507,-2.6230787392201638,0.008722550601759896,-0.3374976333656001,-0.04881904754270863
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.014430236816407956,0.07363802602112508,-0.19596175503493599,0.8446427020679446,-0.15876952972785371,0.1299090560950378
C(tense)[T.past perfect]:C(valence)[T.-val],0.11186408996581676,0.07363802602112511,1.5191076677384785,0.1287560516477271,-0.032475202945629056,0.2562033828772626
C(tense)[T.present continuous]:C(valence)[T.-val],0.024380874633782197,0.07363802602112508,0.331090822923307,0.7405804157805328,-0.11995841827766357,0.16872016754522795
C(tense)[T.present perfect]:C(valence)[T.-val],0.13337707519530922,0.07363802602112501,1.8112527236545761,0.07012133440018642,-0.010962217716136397,0.2777163681067548
C(tense)[T.simple future]:C(valence)[T.-val],0.016453170776370585,0.073638026021125,0.22343307751963043,0.8232014446142693,-0.127886122135075,0.1607924636878162
C(tense)[T.simple past]:C(valence)[T.-val],0.12168960571288281,0.07363802602112504,1.6525375853770563,0.09844552017005839,-0.022649687198562862,0.2660288986243285
