term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,27.737931738081365,0.5872941785083363,47.230047143550294,0.0,26.58676523854403,28.8890982376187
C(tense)[T.past perfect],0.1046662931895952,0.21825781833796556,0.47955346565190454,0.6315517961222129,-0.3231450114804465,0.5324775978596369
C(tense)[T.present continuous],-0.4109121435131811,0.21825781833796787,-1.882691518875589,0.059761141631454746,-0.8387234481832273,0.016899161156865072
C(tense)[T.present perfect],-0.18628387963586526,0.21825781833796637,-0.853503810559536,0.39339333631781004,-0.6140951843059085,0.24152742503417798
C(tense)[T.simple future],-0.23581152614426756,0.21825781833796806,-1.0804264788311864,0.27996933896858656,-0.6636228308143142,0.191999778525779
C(tense)[T.simple past],0.05022958611748383,0.21825781833796928,0.23013877120179033,0.8179870147935416,-0.3775817185525651,0.4780408907875328
C(semantic_role)[T.patient],0.1568408395611535,0.1311973559835081,1.1954573198934655,0.23192692906267906,-0.10032159548917971,0.41400327461148667
C(syntactic_role)[T.subject],-0.46401516829225553,0.12938057083707652,-3.586436242243592,0.00033627280489153345,-0.7176164881911649,-0.21041384839334615
C(valence)[T.-val],0.23852822277169913,0.09197092071714974,2.5935178305464217,0.009509008280961576,0.05825427023551824,0.41880217530788
C(dominance)[T.-dom],-0.09914989233274198,0.13119735598350774,-0.7557308726953742,0.4498222036748588,-0.3563123273830745,0.15801254271759058
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.007498931884778848,0.07304576999425423,0.10266072745031933,0.9182335891753182,-0.13567947244381348,0.15067733621337118
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.05230445861818272,0.07304576999425415,-0.7160504793405154,0.47397110735464687,-0.1954828629467749,0.09087394571040944
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.08350105285642269,0.07304576999425424,-1.1431333102928596,0.25300113115856154,-0.22667945718501503,0.05967735147216967
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.040416717529309976,0.07304576999425438,0.5533067490764909,0.5800614645344551,-0.10276168679928266,0.1835951218579026
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0017555236816257525,0.07304576999425405,-0.024033201125319727,0.9808264390775786,-0.14493392801021773,0.1414228806469662
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.17466278076175357,0.07304576999425406,-2.3911416195009365,0.016808080930040485,-0.31784118509034553,-0.03148437643316157
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.0176044464111454,0.07304576999425405,0.2410056929036439,0.8095539334320487,-0.12557395791744658,0.16078285073973736
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.07490043640136822,0.07304576999425402,-1.0253904696638845,0.3051951932479417,-0.21807884072996014,0.0682779679272237
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.07149581909186076,0.07304576999425412,-0.9787810998157007,0.32770362505340583,-0.21467422342045286,0.07168258523673135
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.08289566040039621,0.07304576999425424,1.1348454593184076,0.2564578525340314,-0.060282743928196145,0.22607406472898856
C(tense)[T.past perfect]:C(valence)[T.-val],0.14342498779296528,0.07304576999425433,1.9634947760047827,0.04960679295709058,0.00024658346437275713,0.28660339212155783
C(tense)[T.present continuous]:C(valence)[T.-val],-0.09293251037598477,0.07304576999425433,-1.2722504038672562,0.20330349797838046,-0.2361109147045773,0.050245893952607756
C(tense)[T.present perfect]:C(valence)[T.-val],0.05541725158690615,0.07304576999425434,0.7586647603449889,0.4480648081266546,-0.0877611527416864,0.19859565591549871
C(tense)[T.simple future]:C(valence)[T.-val],0.009326934814454521,0.0730457699942542,0.12768617286378361,0.8983990109406735,-0.13385146951413776,0.1525053391430468
C(tense)[T.simple past]:C(valence)[T.-val],0.0302940368652456,0.07304576999425422,0.4147267783970041,0.6783477411416292,-0.11288436746334671,0.1734724411938379
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.05894622802733836,0.0730457699942543,0.8069766124989168,0.4196925008234257,-0.08423217630125411,0.2021246323559308
C(tense)[T.present continuous]:C(dominance)[T.-dom],0.04662971496581622,0.07304576999425426,0.6383629739201064,0.5232469814122644,-0.09654868936277616,0.1898081192944086
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.0022983551025294808,0.07304576999425431,0.03146458860944674,0.974899442736509,-0.140880049226063,0.14547675943112198
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.10118713378906646,0.07304576999425438,-1.3852565836053972,0.1659942180300566,-0.2443655381176591,0.04199127053952617
C(tense)[T.simple past]:C(dominance)[T.-dom],0.0010482788085918787,0.07304576999425419,0.014350985808956997,0.9885501501201506,-0.14213012552000037,0.14422668313718412
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.09668935139974288,0.04217299496934621,-2.2926840142613143,0.02187970734639151,-0.17935344168099682,-0.014025261118488938
C(semantic_role)[T.patient]:C(valence)[T.-val],0.11107762654621638,0.04217299496934621,2.6338567281492353,0.00845060436095363,0.02841353626496243,0.19374171682747032
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.14017333984374758,0.042172994969346234,-3.323770103252891,0.0008901785765065972,-0.22283743012500157,-0.05750924956249359
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08506495157877776,0.04217299496934625,2.01704791515537,0.04370794374527665,0.002400861297523746,0.1677290418600318
C(valence)[T.-val]:C(dominance)[T.-dom],0.049289449055995985,0.0421729949693462,1.1687443372665953,0.24252486088426017,-0.033374641225257934,0.1319535393372499
log_frequency,1.2654411591071046,0.04563730087057983,27.72822088439664,3.747252446851683e-165,1.1759866168793003,1.354895701334909
C(tense)[T.past perfect]:log_frequency,0.03240542829827514,0.025213291947287695,1.2852517777537231,0.1987237686586258,-0.01701562522977392,0.08182648182632421
C(tense)[T.present continuous]:log_frequency,-0.011722460395875966,0.02521329194728773,-0.46493176775105666,0.641986936059187,-0.0611435139239251,0.037698593132173164
C(tense)[T.present perfect]:log_frequency,-0.007882235540417613,0.025213291947287716,-0.31262222945328383,0.754571947814265,-0.05730328906846672,0.04153881798763149
C(tense)[T.simple future]:log_frequency,0.025987632668665838,0.02521329194728773,1.0307116073139908,0.30269237162179913,-0.023433420859383294,0.07540868619671497
C(tense)[T.simple past]:log_frequency,0.019119003301754756,0.0252132919472878,0.7582906405766421,0.44828868823680035,-0.030302050226294515,0.06854005682980402
C(semantic_role)[T.patient]:log_frequency,-0.01875695206363337,0.014556900892923214,-1.2885264660111821,0.19758224471128855,-0.04729021062168748,0.009776306494420739
C(valence)[T.-val]:log_frequency,-0.008340205031175787,0.009382617882042078,-0.8888995732351604,0.3740710287074892,-0.026731252957446834,0.01005084289509526
C(dominance)[T.-dom]:log_frequency,-0.010929759042418491,0.014556900892923174,-0.7508300786558205,0.4527664712874697,-0.03946301760047252,0.017603499515635536
lex_emb_norm,6.3421120062608995,0.315198137889924,20.12103259466508,6.79964554173215e-89,5.724286135796767,6.959937876725032
C(tense)[T.past perfect]:lex_emb_norm,-0.15716714260548748,0.22545358330703963,-0.6971153010748357,0.48574123036729866,-0.5990830031762562,0.28474871796528123
C(tense)[T.present continuous]:lex_emb_norm,0.16639704174867914,0.22545358330703974,0.7380545445670166,0.4604926233876235,-0.2755188188220898,0.608312902319448
C(tense)[T.present perfect]:lex_emb_norm,0.16783493091837776,0.22545358330704005,0.7444323060051222,0.45662641307633145,-0.2740809296523918,0.6097507914891473
C(tense)[T.simple future]:lex_emb_norm,0.14361315253610707,0.22545358330704002,0.6369965401726334,0.5241366272610842,-0.2983027080346624,0.5855290131068766
C(tense)[T.simple past]:lex_emb_norm,-0.11979261044558435,0.22545358330704102,-0.5313404590356013,0.5951905863166892,-0.5617084710163558,0.32212325012518706
C(semantic_role)[T.patient]:lex_emb_norm,0.06362179198901537,0.13016568701208564,0.4887754480419114,0.6250076871786275,-0.19151844907068427,0.318762033048715
C(syntactic_role)[T.subject]:lex_emb_norm,0.18184671509228229,0.08389800216209585,2.1674737229254135,0.030214122628554177,0.017396643898966585,0.346296786285598
C(dominance)[T.-dom]:lex_emb_norm,0.03766257726513639,0.13016568701208509,0.28934336021780954,0.7723225541608004,-0.21747766379456213,0.2928028183248349
log_frequency:lex_emb_norm,-0.7194375904242629,0.02951363858064407,-24.37644509532253,8.582831882668173e-129,-0.7772878352534952,-0.6615873455950306
profession_embedding_1,-37.252924901661714,0.6155383932382571,-60.5208794624159,0.0,-38.45945342417262,-36.046396379150806
profession_embedding_2,4.130887563287775,0.10420128601024665,39.643345312279195,0.0,3.9266406389127164,4.335134487662834
profession_embedding_3,-5.082084615329108,0.16475372772893057,-30.84655312740884,9.495307543634803e-203,-5.405021533445943,-4.759147697212272
profession_embedding_4,-1.4064656472856831,0.15034029057570686,-9.355214373338125,9.477684229527734e-21,-1.7011505128517495,-1.1117807817196168
profession_embedding_5,-1.9984838903216828,0.1625328324767243,-12.295878068868813,1.3881217871882276e-34,-2.3170675893757733,-1.6799001912675924
