term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,27.700171900399436,0.5843975570351906,47.399534044820484,0.0,26.554683153356745,28.845660647442127
C(tense)[T.past perfect],0.03721612010228892,0.2117998266038933,0.17571364764094105,0.8605212373218055,-0.37793674130117455,0.4523689815057524
C(tense)[T.present continuous],-0.3865124665382807,0.21179982660389626,-1.8248951037204033,0.06803634160143385,-0.8016653279417499,0.028640394865188545
C(tense)[T.present perfect],-0.16987742616696458,0.21179982660389518,-0.8020659359871279,0.4225272704904768,-0.5850302875704317,0.24527543523650255
C(tense)[T.simple future],-0.2899033994408159,0.21179982660389657,-1.3687612690211826,0.17109399877837758,-0.7050562608442857,0.12524946196265396
C(tense)[T.simple past],0.010434399024441389,0.21179982660389618,0.04926538039124836,0.9607084512563007,-0.4047184623790277,0.42558726042791045
C(semantic_role)[T.patient],0.1568408395611588,0.1311635231740813,1.1957656806229453,0.23180653669569368,-0.10025527251128796,0.41393695163360555
C(syntactic_role)[T.subject],-0.37606939268547673,0.1328468324497401,-2.830849526109363,0.0046485065324812745,-0.6364649912288152,-0.11567379414213835
C(valence)[T.-val],0.23852822277168864,0.09194720351179803,2.5941868122295024,0.009490530045786268,0.058300763438783515,0.4187556821045938
C(dominance)[T.-dom],-0.07139895823149113,0.08949791703245498,-0.7977722901148576,0.4250150206569703,-0.24682552463355478,0.10402760817057251
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.007498931884763749,0.0730269331541586,0.10268720814187325,0.9182125716263011,-0.13564254629580008,0.15064041006532758
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.05230445861819859,0.07302693315415841,-0.7162351800778065,0.4738570709471034,-0.19544593679876204,0.09083701956236488
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.08350105285644825,0.07302693315415854,-1.1434281743720367,0.2528787434023647,-0.22664253103701193,0.05964042532411544
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.04041671752928794,0.07302693315415859,0.5534494710871802,0.5799637553110514,-0.10272476065127586,0.18355819570985174
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0017555236816414407,0.0730269331541584,-0.024039400339263398,0.9808214942275948,-0.1448970018622049,0.141385954498922
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.17466278076174913,0.07302693315415829,-2.3917583995077507,0.01677987098418941,-0.31780425894231235,-0.031521302581185906
