term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,35.75485166637037,0.5852991919618239,61.08816167424759,0.0,34.607595589802756,36.902107742937986
C(tense)[T.past perfect],-0.09245349661577329,0.15670762179639044,-0.5899744732001467,0.5552164743539381,-0.39961908614574265,0.21471209291419607
C(tense)[T.present continuous],-0.20278634879258786,0.15670762179638972,-1.2940426666423936,0.1956702121489269,-0.5099519383225558,0.10437924073738011
C(tense)[T.present perfect],-0.2199317254235564,0.1567076217963903,-1.4034526393956317,0.16050219594136533,-0.5270973149535255,0.08723386410641268
C(tense)[T.simple future],-0.13895531886231033,0.15670762179639025,-0.8867170420265491,0.3752451953110038,-0.4461209083922793,0.16821027066765865
C(tense)[T.simple past],-0.14217870804115612,0.15670762179639056,-0.9072864893954439,0.36426960319408835,-0.4493442975711257,0.16498688148881346
C(semantic_role)[T.patient],0.22797404932697635,0.10266351823835601,2.2205945523675146,0.02639302239135371,0.026741334916452697,0.4292067637375
C(syntactic_role)[T.subject],0.24009276071467933,0.1026635182383562,2.3386375689682732,0.01936700248513504,0.03886004630415532,0.44132547512520337
C(valence)[T.-val],0.1939309973258203,0.10266351823835689,1.8889962145614867,0.0589112266657969,-0.007301717084705034,0.3951637117363457
C(dominance)[T.-dom],-0.005507551924766103,0.09047518762821183,-0.06087361705618334,0.9514606559413048,-0.1828496877256835,0.1718345838761513
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.09987392425536604,0.07516443415420074,-1.3287391221554796,0.18395386525774318,-0.24720516101333104,0.047457312502598964
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04446353912355152,0.07516443415420122,-0.5915502408005061,0.5541605407926021,-0.19179477588151747,0.10286769763441442
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.062094306945771324,0.07516443415420083,-0.8261128769809406,0.4087529428259022,-0.2094255437037365,0.08523692981219384
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.10435581207274616,0.0751644341542011,1.3883668951549408,0.16504556052857863,-0.04297542468521953,0.25168704883071186
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.09307270050047987,0.07516443415420102,-1.238254522205805,0.215640695940677,-0.2404039372584454,0.054258536257485654
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.048864936828598715,0.07516443415420071,0.6501071601011688,0.5156327634731223,-0.09846629992936623,0.19619617358656366
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.06934299468996026,0.07516443415420115,0.9225506114727331,0.3562559882524342,-0.07798824206800554,0.21667423144792608
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.036215400695795125,0.0751644341542009,-0.4818156499588451,0.6299438011266119,-0.18354663745376043,0.11111583606217018
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1274785995483907,0.07516443415420089,-1.6959962644948083,0.08990692759603923,-0.27480983630635597,0.019852637209574586
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11689586639405698,0.07516443415420108,1.5552018412623605,0.11991868528124672,-0.030435370363908684,0.26422710315202264
C(tense)[T.past perfect]:C(valence)[T.-val],0.005529975891108041,0.07516443415420122,0.07357170919112081,0.9413521444760382,-0.1418012608668579,0.15286121264907399
C(tense)[T.present continuous]:C(valence)[T.-val],0.03340740203857533,0.07516443415420164,0.4444575737780351,0.6567180813651391,-0.11392383471939141,0.1807386387965421
C(tense)[T.present perfect]:C(valence)[T.-val],0.04993419647217013,0.07516443415420142,0.6643327663417126,0.5064873635384218,-0.09739704028579621,0.19726543323013646
C(tense)[T.simple future]:C(valence)[T.-val],0.12520351409912941,0.07516443415420129,1.6657281533214496,0.09578803983413196,-0.022127722658836668,0.2725347508570955
C(tense)[T.simple past]:C(valence)[T.-val],0.04469242095948538,0.07516443415420139,0.5945953224073762,0.5521227981894795,-0.1026388157984809,0.19202365771745167
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.21315339406332182,0.04339620629241386,-4.911797879912452,9.117703422587588e-07,-0.2982151232655737,-0.12809166486106993
C(semantic_role)[T.patient]:C(valence)[T.-val],0.012425804138175664,0.04339620629241391,0.28633388030390616,0.774626287249937,-0.07263592506407633,0.09748753334042766
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.0016604741414344495,0.04339620629241395,0.03826311752335631,0.9694783963029411,-0.08340125506081761,0.08672220334368652
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.12288773854573962,0.043396206292413905,-2.8317622447845547,0.004635267470316754,-0.2079494677479916,-0.037826009343487635
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],-0.05387833913166923,0.04339620629241398,-1.241544912212467,0.21442354676869646,-0.13894006833392136,0.031183390070582906
C(valence)[T.-val]:C(dominance)[T.-dom],-0.021518898010246732,0.043396206292413954,-0.49587048843042364,0.6199929099712879,-0.10658062721249881,0.06354283119200535
log_frequency,-0.3925884457426444,0.03561922256066038,-11.021813995913499,3.8275005832041887e-28,-0.4624063612404625,-0.32277053024482627
C(tense)[T.past perfect]:log_frequency,0.018358246169472556,0.018938647757878766,0.969353588713072,0.3323841203092661,-0.018763757449519622,0.05548024978846473
C(tense)[T.present continuous]:log_frequency,0.002334386175072863,0.018938647757878648,0.12326044630624365,0.9019024799301446,-0.03478761744391909,0.03945638979406481
C(tense)[T.present perfect]:log_frequency,0.02211353770847091,0.0189386477578787,1.167640794167652,0.24296987996719424,-0.015008465910521143,0.05923554132746296
C(tense)[T.simple future]:log_frequency,0.027477652675184448,0.018938647757878707,1.450877223467732,0.14683454826764272,-0.009644350943807618,0.06459965629417652
C(tense)[T.simple past]:log_frequency,0.014698755543635578,0.018938647757878676,0.7761248707696536,0.43768725484973064,-0.022423248075356426,0.051820759162627586
