term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,31.760114678182873,0.5655851924603701,56.15443102394918,0.0,30.651500495671918,32.86872886069383
C(tense)[T.past perfect],0.05021915435790869,0.07664515571440363,0.6552162871850126,0.5123383460632004,-0.1000144581525573,0.20045276686837468
C(tense)[T.present continuous],-0.09120311737058662,0.07664515571440297,-1.1899397492312478,0.23408851133189762,-0.24143672988105133,0.0590304951398781
C(tense)[T.present perfect],-0.005502891540532279,0.07664515571440315,-0.07179699081096884,0.9427644047160575,-0.15573650405099732,0.14473072096993278
C(tense)[T.simple future],0.2698568344116826,0.07664515571440306,3.520859627674701,0.0004313998039134033,0.11962322190121777,0.4200904469221475
C(tense)[T.simple past],0.0017841339110969746,0.07664515571440293,0.023277843126120825,0.9814289486735456,-0.14844947859936766,0.1520177464215616
C(semantic_role)[T.patient],0.2641786818149421,0.09128921919535124,2.8938650603377596,0.0038106826081194343,0.08524096481060389,0.4431163988192803
C(syntactic_role)[T.subject],0.24009276071470098,0.10468596524553885,2.2934570087935686,0.02183518133789817,0.0348958295924538,0.44528969183694816
C(valence)[T.-val],0.23622481028239756,0.03129025379274171,7.549469296321074,4.616130694380837e-14,0.17489219480478968,0.29755742576000543
C(dominance)[T.-dom],0.038388792673755036,0.05853870461882168,0.6557847995394839,0.5119724446707317,-0.07635402420222359,0.15313160954973365
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.09987392425537078,0.07664515571440339,-1.3030689718672224,0.19257079725303972,-0.2501075367658363,0.05035968825509474
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04446353912356261,0.0766451557144031,-0.5801219752131974,0.5618408961747993,-0.19469715163402754,0.10577007338690234
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.062094306945798254,0.07664515571440335,-0.8101530536016556,0.41786479760541023,-0.2123279194562637,0.08813930556466718
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.10435581207274826,0.0766451557144033,1.3615447851864368,0.17336161066363218,-0.045877800437717095,0.2545894245832136
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.09307270050048631,0.07664515571440314,-1.2143324601922116,0.2246395102033305,-0.24330631301095135,0.05716091200997871
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.0488649368285905,0.0766451557144032,0.637547622848756,0.5237777267766046,-0.10136867568187463,0.19909854933905563
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.0693429946899557,0.07664515571440311,0.9047276901405629,0.36562389287056085,-0.08089061782050927,0.21957660720042066
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03621540069580147,0.07664515571440295,-0.47250736668535426,0.6365714146974668,-0.1864490132062661,0.11401821181466319
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1274785995484003,0.07664515571440302,-1.6632310073635188,0.09628665486509579,-0.2777122120588651,0.022755012962064475
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11689586639404599,0.07664515571440335,1.5251566169377437,0.12724067807762468,-0.033337746116419445,0.26712947890451144
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.002290916442870522,0.0766451557144034,0.029889905259074392,0.9761552459857425,-0.14794269606759503,0.15252452895333607
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.05306110382080045,0.07664515571440317,-0.692295596847867,0.48876220591648273,-0.20329471633126553,0.09717250868966462
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.001410102844234749,0.07664515571440336,0.018397807807829382,0.9853217408160456,-0.1488235096662307,0.15164371535470023
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.14638080596924535,0.07664515571440325,-1.9098507218733107,0.05617108917477253,-0.2966144184797106,0.0038528065412198886
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.021348381042472053,0.07664515571440304,-0.27853529480742245,0.7806052339675259,-0.17158199355293688,0.12888523146799277
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.2131533940633173,0.04425110128379154,-4.816905972493659,1.471959725575539e-06,-0.2998908106875644,-0.12641597743907018
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.12288773854573014,0.04425110128379155,-2.777054920229565,0.0054920551141692045,-0.20962515516997726,-0.036150321921483014
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],-0.05387833913166476,0.04425110128379154,-1.2175592825618449,0.22341024616939759,-0.14061575575591187,0.03285907749258235
log_frequency,0.38406211295322135,0.011505512218378717,33.380705323116935,6.697116769286925e-236,0.3615099418702744,0.4066142840361683
C(semantic_role)[T.patient]:log_frequency,-0.008731625983278417,0.009844953494698265,-0.8869138882149722,0.37513918444624306,-0.028028904653013133,0.0105656526864563
C(syntactic_role)[T.subject]:log_frequency,-0.027814037352532323,0.011149635190396748,-2.494614117642946,0.012619865270618128,-0.04966864717378075,-0.005959427531283892
lex_emb_norm,0.07090751439142912,0.011451527654774281,6.191969886381657,6.09320908071677e-10,0.04846115946782713,0.0933538693150311
C(syntactic_role)[T.subject]:lex_emb_norm,-0.019474929909011684,0.016047075762190985,-1.2136123863076145,0.22491448212476223,-0.05092910518613278,0.011979245368109407
profession_embedding_1,-34.47171294018908,0.6318737376744175,-54.55474865447115,0.0,-35.71026054801237,-33.233165332365786
profession_embedding_2,4.291920314603644,0.10942339284160868,39.22306010759725,0.0,4.07743746247138,4.5064031667359075
profession_embedding_3,-3.2259421609068037,0.1507808632618832,-21.394904440252724,4.320048215030588e-100,-3.521490569337036,-2.9303937524765713
profession_embedding_4,-0.2907716482856868,0.15241895515886855,-1.9077131711250164,0.05644697364622395,-0.5895309114792031,0.007987614907829454
profession_embedding_5,-2.1815842104680523,0.16066437192242294,-13.57851889852365,9.3659265806692e-42,-2.4965054702743608,-1.8666629506617438
