term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,35.60574111387587,0.5737745928716153,62.05527668221939,0.0,34.48107473925723,36.730407488494514
C(tense)[T.past perfect],0.050219154357882934,0.0751322632890449,0.6684099767457082,0.5038819971416472,-0.09704900847115741,0.19748731718692328
C(tense)[T.present continuous],-0.09120311737059437,0.07513226328904477,-1.2139008380424092,0.22480430206105434,-0.23847128019963443,0.05606504545844569
C(tense)[T.present perfect],-0.005502891540533328,0.07513226328904488,-0.07324272289472893,0.9416139257036422,-0.1527710543695736,0.14176527128850697
C(tense)[T.simple future],0.26985683441165664,0.07513226328904475,3.5917570241891705,0.00032948395597391894,0.1225886715826166,0.4171249972406967
C(tense)[T.simple past],0.0017841339110861783,0.07513226328904461,0.023746574813304357,0.9810550643497412,-0.1454840289179536,0.14905229674012593
C(semantic_role)[T.patient],0.20205074946086898,0.05738321394256668,3.5210776040375875,0.00043104553491948844,0.08957283219067577,0.31452866673106217
C(syntactic_role)[T.subject],0.2131535911488615,0.10030141053448016,2.12513054415707,0.03359167693582835,0.01655090926575037,0.40975627303197265
C(valence)[T.-val],0.2362248102823846,0.030672618046433463,7.701488341320516,1.4268801759410746e-14,0.176102834567675,0.2963467859970942
C(dominance)[T.-dom],0.011449623107908185,0.05312653285757669,0.21551609886914136,0.8293678302991063,-0.09268469348139076,0.11558393969720714
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.09987392425537633,0.075132263289045,-1.3293080746302888,0.18376614208138908,-0.24714208708441684,0.04739423857366418
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.0444635391235624,0.07513226328904479,-0.5918035365513304,0.5539908857617685,-0.19173170195260253,0.10280462370547772
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.062094306945799926,0.07513226328904497,-0.8264666100489201,0.4085523199988016,-0.20936246977484038,0.08517385588324053
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.1043558120727447,0.07513226328904499,1.3889613796309102,0.16486468004776994,-0.04291235075629578,0.2516239749017852
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.09307270050048556,0.07513226328904461,-1.2387847301021868,0.215444206122546,-0.2403408633295253,0.0541954623285542
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.04886493682858739,0.07513226328904467,0.6503855293244252,0.5154529732905758,-0.09840322600045248,0.19613309965762726
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.06934299468995472,0.07513226328904472,0.9229456381898434,0.3560500678043235,-0.07792516813908526,0.2166111575189947
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03621540069579817,0.07513226328904454,-0.482021958482368,0.629797232045489,-0.1834835635248378,0.11105276213324144
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.12747859954839574,0.07513226328904465,-1.6967224727141146,0.0897694520677204,-0.27474676237743556,0.0197895632806441
