term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,35.65124599458837,0.5726227030969305,62.25957476323379,0.0,34.528837518615845,36.7736544705609
C(tense)[T.past perfect],0.001427650451639062,0.05313734194582036,0.026867178510636008,0.9785660214621046,-0.10272784786876767,0.10558314877204579
C(tense)[T.present continuous],-0.1399654388427773,0.05313734194582029,-2.6340316191481383,0.008446237035225176,-0.2441209371631839,-0.0358099405223707
C(tense)[T.present perfect],-0.03584499359130546,0.05313734194582051,-0.6745725751177667,0.4999575323075029,-0.1400004919117125,0.06831050472910158
C(tense)[T.simple future],0.2488443374634092,0.053137341945820406,4.683040745943492,2.8507368690930744e-06,0.14468883914300237,0.352999835783816
C(tense)[T.simple past],-0.055426406860395135,0.05313734194582026,-1.0430782728445251,0.296928487698902,-0.15958190518080168,0.0487290914600114
C(semantic_role)[T.patient],0.16952597300211522,0.030678858676440632,5.52582398159095,3.332866361693482e-08,0.10939176800924867,0.22966017799498178
C(syntactic_role)[T.subject],0.19085015144026468,0.0946172424676969,2.017075814753558,0.043704995854602906,0.005389123883148023,0.3763111789973813
C(valence)[T.-val],0.2362248102823874,0.030678858676440626,7.699921720484104,1.4443592430397313e-14,0.17609060528952086,0.29635901527525393
C(dominance)[T.-dom],0.002207247416176627,0.030678858676440626,0.07194685563291994,0.9426451396186678,-0.057926957576689905,0.062341452409043166
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.04886493682858384,0.07514754964823583,0.6502532292445944,0.5155384054033874,-0.09843318149186336,0.19616305514903104
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.06934299468995597,0.07514754964823578,0.9227578944962169,0.3561479074179085,-0.07795512363049112,0.21664111301040306
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.036215400695804666,0.07514754964823583,-0.48192390657218004,0.629866881109628,-0.18351351901625187,0.11108271762464253
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.12747859954839627,0.07514754964823576,-1.6963773289364876,0.08983474285862844,-0.27477671786884333,0.019819518772050793
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11689586639404126,0.07514754964823599,1.555551271348543,0.11983547252891712,-0.03040225192640622,0.26419398471448874
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.2131533940633108,0.04338645801834978,-4.912901485831365,9.066410304770907e-07,-0.2981960023267464,-0.12811078579987517
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.12288773854573078,0.04338645801834981,-2.8323984984844075,0.004626046129315662,-0.20793034680916647,-0.03784513028229508
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],-0.05387833913167012,0.04338645801834983,-1.2418238683803793,0.2143205490367357,-0.13892094739510585,0.03116426913176562
log_frequency,-0.3771738687467854,0.031977628936313306,-11.794929183085006,5.698455838602426e-32,-0.4398538176302419,-0.31449391986332886
C(syntactic_role)[T.subject]:log_frequency,-0.034165678745099556,0.00965258827686592,-3.539535486765084,0.00040201864837712177,-0.0530858976578893,-0.015245459832309814
lex_emb_norm,-1.139900937704331,0.048729717385335956,-23.39231579552228,6.134104053477018e-119,-1.2354169686427485,-1.0443849067659134
log_frequency:lex_emb_norm,0.16725823031727471,0.0066936531533918955,24.987585476029547,4.1469604975461155e-135,0.15413787551130134,0.1803785851232481
profession_embedding_1,-33.02159554167679,0.6222394320545575,-53.068953590169585,0.0,-34.241258696569446,-31.80193238678413
profession_embedding_2,3.517480679136638,0.11167230567320025,31.498236361576108,4.570380656752446e-211,3.29858970303474,3.736371655238536
profession_embedding_3,-4.0771133337868,0.151708384158807,-26.874673778865862,1.69641138796662e-155,-4.374479776533511,-3.7797468910400878
profession_embedding_4,-0.5680025532712786,0.14985204963995147,-3.7904223174525447,0.00015096718050812899,-0.8617303599895284,-0.27427474655302875
profession_embedding_5,-1.5405513474437997,0.15960037462893575,-9.652554707503148,5.537133872981532e-22,-1.8533870283958076,-1.2277156664917919
