term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,35.726596850500464,0.5838909957566076,61.187100178186235,0.0,34.582101012009176,36.87109268899175
C(tense)[T.past perfect],-0.0881608194680612,0.14564015876385528,-0.6053331733248618,0.5449666198095893,-0.37363286276691743,0.19731122383079502
C(tense)[T.present continuous],-0.14927705897606083,0.1456401587638565,-1.0249718226282716,0.30539268363428695,-0.4347491022749195,0.13619498432279778
C(tense)[T.present perfect],-0.20352171532585409,0.14564015876385633,-1.397428546173504,0.16230499740768098,-0.4889937586247124,0.0819503279730042
C(tense)[T.simple future],-0.02534888182894136,0.1456401587638563,-0.17405145698888255,0.8618273246526047,-0.3108209251277996,0.2601231614699169
C(tense)[T.simple past],-0.12818987990122868,0.14564015876385702,-0.8801822312558553,0.3787744188121138,-0.4136619232000883,0.157282163397631
C(semantic_role)[T.patient],0.22797404932699533,0.1026427365827764,2.221044147075573,0.02636255103723428,0.02678207047463868,0.429166028179352
C(syntactic_role)[T.subject],0.24009276071468633,0.10264273658277644,2.3391110633635828,0.01934248197175375,0.03890078186232959,0.44128473956704306
C(valence)[T.-val],0.18317154832071164,0.10032404637069953,1.8257990476569177,0.0679000130812329,-0.01347552177682898,0.37981861841825226
C(dominance)[T.-dom],0.019914544327679917,0.10032404637069932,0.19850220408869163,0.8426547971732231,-0.17673252576986032,0.21656161442522015
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.09987392425537076,0.07514921899881509,-1.3290081465376973,0.18386509518348967,-0.24717533673659045,0.04742748822584894
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04446353912356657,0.07514921899881573,-0.5916700095614735,0.5540803224967326,-0.19176495160478751,0.10283787335765437
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.062094306945813506,0.0751492189988148,-0.8262801366810321,0.40865807981562313,-0.20939571942703264,0.08520710553540564
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.10435581207272462,0.0751492189988155,1.3886479921284274,0.16496002526476575,-0.042945600408495904,0.2516572245539451
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.09307270050048315,0.07514921899881445,-1.238505226540697,0.2155477817927466,-0.24037411298170158,0.0542287119807353
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.04886493682858184,0.07514921899881508,0.6502387846419578,0.5155477525330161,-0.09843647565263783,0.1961663493098015
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.06934299468995545,0.07514921899881499,0.922737396526355,0.35615861917998204,-0.07795841779126406,0.21664440717117495
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03621540069580248,0.07514921899881581,-0.48191320120536657,0.6298744991598897,-0.1835168131770236,0.11108601178541863
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.12747859954839494,0.07514921899881548,-1.6963396459303761,0.08984191357259022,-0.27478001202961544,0.019822812932825534
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11689586639404691,0.07514921899881616,1.5555167166260024,0.11984373443224478,-0.030405546087174898,0.2641972788752687
C(tense)[T.past perfect]:C(valence)[T.-val],0.005529975891110733,0.07514921899881573,0.0735866049545755,0.9413402916380605,-0.1417714365901102,0.15283138837233168
C(tense)[T.present continuous]:C(valence)[T.-val],0.03340740203856777,0.07514921899881508,0.4445475612872906,0.6566530368153572,-0.1138940104426519,0.18070881451978743
C(tense)[T.present perfect]:C(valence)[T.-val],0.049934196472164454,0.0751492189988152,0.6644672710830396,0.5064013009822,-0.09736721600905546,0.19723560895338438
C(tense)[T.simple future]:C(valence)[T.-val],0.1252035140991204,0.07514921899881523,1.6660654064960316,0.09572085313952751,-0.02209789838209958,0.27250492658034037
C(tense)[T.simple past]:C(valence)[T.-val],0.044692420959477064,0.07514921899881505,0.5947157076932732,0.5520423124787492,-0.10260899152174255,0.19199383344069668
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.0022909164428701403,0.07514921899881576,0.030484900221068725,0.975680733182178,-0.14501049603835087,0.14959232892409113
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.05306110382079631,0.07514921899881485,-0.7060765837318032,0.480151261052324,-0.20036251630201557,0.09424030866042293
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.0014101028442363697,0.07514921899881556,0.018764038575817994,0.985029586438294,-0.14589130963698424,0.14871151532545698
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.14638080596923478,0.07514921899881509,-1.9478686261735179,0.051448943057315115,-0.2936822184504545,0.0009206065119849172
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.021348381042471797,0.0751492189988152,-0.2840798790311896,0.7763530094327342,-0.16864979352369172,0.12595303143874811
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.2131533940633272,0.04338742181835624,-4.912792351564591,9.071628419193059e-07,-0.29819790421137193,-0.1281088839152825
C(semantic_role)[T.patient]:C(valence)[T.-val],0.012425804138180068,0.043387421818356205,0.2863918531550773,0.7745818904044645,-0.07261870600986457,0.0974703142862247
C(semantic_role)[T.patient]:C(dominance)[T.-dom],0.0016604741414352666,0.04338742181835621,0.03827086450047508,0.9694722197021842,-0.08338403600660939,0.08670498428947991
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.1228877385457361,0.043387421818356205,-2.8323355801184107,0.004626967526508355,-0.20793224869378074,-0.03784322839769147
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],-0.05387833913166958,0.04338742181835617,-1.2417962827391362,0.21433076508101515,-0.13892284927971416,0.031166171016374984
log_frequency,-0.3945933849619909,0.03514683265847846,-11.226997004146924,3.9061128828342153e-29,-0.4634853596732194,-0.32570141025076244
C(tense)[T.past perfect]:log_frequency,0.019059693274286,0.016719144716003317,1.1399921226856984,0.2543074238884043,-0.013711820055533716,0.051831206604105715
C(tense)[T.present continuous]:log_frequency,0.005814284395906265,0.01671914471600345,0.34776207124643593,0.7280236592120751,-0.026957228933913707,0.038585797725726234
C(tense)[T.present perfect]:log_frequency,0.02432115291789328,0.016719144716003373,1.454688821169982,0.14577593771333505,-0.008450360411926539,0.0570926662477131
C(tense)[T.simple future]:log_frequency,0.03269078330675862,0.016719144716003397,1.9552904088130376,0.05056697617199581,-8.073002306124843e-05,0.06546229663657849
C(tense)[T.simple past]:log_frequency,0.015126299693116877,0.01671914471600346,0.9047292759322837,0.3656230693098993,-0.017645213636703114,0.04789781302293687
C(semantic_role)[T.patient]:log_frequency,-0.012493070613199167,0.01093202001966273,-1.1427961703993108,0.2531411064930047,-0.03392113083288929,0.008934989606490962
C(syntactic_role)[T.subject]:log_frequency,-0.027814037352531684,0.01093202001966273,-2.5442724494196263,0.010960303590584837,-0.04924209757222181,-0.006385977132841555
C(valence)[T.-val]:log_frequency,0.004991849814487491,0.010932020019662734,0.45662647941633533,0.6479460237081656,-0.016436210405202645,0.026419910034177627
C(dominance)[T.-dom]:log_frequency,0.0036512073072312618,0.01093202001966272,0.333992007027436,0.7383901664534064,-0.017776852912458847,0.02507926752692137
lex_emb_norm,-1.1317909763506,0.05120786700579409,-22.101896496148523,1.3998943387031398e-106,-1.2321644897496262,-1.0314174629515738
