term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,35.69429280411619,0.5820332108143009,61.326900494522704,0.0,34.55343846877876,36.83514713945362
C(tense)[T.past perfect],-0.08816081946808074,0.14562345717093095,-0.6054025991471875,0.5449204993281659,-0.3736001197579171,0.19727848082175564
C(tense)[T.present continuous],-0.1492770589760512,0.14562345717093106,-1.0250893769183875,0.30533721549708936,-0.4347163592658878,0.1361622413137854
C(tense)[T.present perfect],-0.20352171532586275,0.14562345717093136,-1.3975888176241482,0.1622568313581895,-0.48896101561569993,0.08191758496397447
C(tense)[T.simple future],-0.025348881828961174,0.1456234571709311,-0.17407141899678263,0.8618116364052499,-0.31078818211879783,0.2600904184608755
C(tense)[T.simple past],-0.12818987990124223,0.14562345717093172,-0.8802831795894936,0.37871974160710953,-0.4136291801910801,0.15724942038859566
C(semantic_role)[T.patient],0.26417868181494086,0.08949719966848155,2.9518094732965965,0.003163970197908709,0.08875352334417635,0.43960384028570537
C(syntactic_role)[T.subject],0.24009276071469987,0.1026309658100881,2.3393793366319464,0.019328598271956134,0.038923858135250206,0.4412616632941495
C(valence)[T.-val],0.20014389939490507,0.10031254149871018,1.9952031561026546,0.04603842140183628,0.0035193842793369012,0.39676841451047323
C(dominance)[T.-dom],0.04914824167886448,0.061352043889736176,0.8010856454463888,0.42309449904291735,-0.07110906314999926,0.1694055465077282
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.09987392425537944,0.07514060110334633,-1.3291605708346088,0.1838148093206908,-0.2471584415919058,0.04741059308114692
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.0444635391235755,0.07514060110334596,-0.5917378683519151,0.5540348728390867,-0.19174805646010115,0.10282097821295014
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.06209430694581102,0.07514060110334589,-0.8263749029690164,0.408604335096931,-0.20937882428233653,0.08519021039071448
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.10435581207273399,0.07514060110334632,1.3888072565350638,0.16491157282925906,-0.04292870526379235,0.25164032940926034
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.09307270050049199,0.07514060110334618,-1.2386472710337055,0.21549514687526852,-0.24035721783701805,0.05421181683603407
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.048864936828582284,0.0751406011033458,0.6503133607006301,0.5154995879278123,-0.09841958050794306,0.19614945416510762
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.06934299468994942,0.07514060110334639,0.922843225523002,0.35610345582765046,-0.07794152264657705,0.2166275120264759
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.0362154006957977,0.0751406011033459,-0.4819684719581659,0.629835233832583,-0.18349991803232324,0.11106911664072783
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.12747859954840088,0.0751406011033458,-1.6965341995743577,0.08980509005490886,-0.2747631168849262,0.01980591778812446
