term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,35.74412144386243,0.5806836814649167,61.55523667151992,0.0,34.605912393608655,36.88233049411621
C(tense)[T.past perfect],-0.08539583152252161,0.14078399772095782,-0.6065734238615754,0.5441430321258774,-0.3613492041619124,0.19055754111686918
C(tense)[T.present continuous],-0.13257335795677733,0.14078399772095812,-0.9416791688182151,0.3463717754576907,-0.4085267305961687,0.14338001468261402
C(tense)[T.present perfect],-0.17855461708978965,0.1407839977209581,-1.2682877314202647,0.20471449425635765,-0.45450798972918094,0.09739875554960165
C(tense)[T.simple future],0.037252875220599474,0.1407839977209582,0.26461015331044063,0.7913133582712784,-0.23870049741879204,0.31320624785999096
C(tense)[T.simple past],-0.10584366942147959,0.14078399772095895,-0.7518160524981478,0.45217323973865076,-0.3817970420608726,0.1701097032179134
C(semantic_role)[T.patient],0.12844049143512815,0.09556842890041435,1.3439636176186138,0.17898005979098913,-0.058884990862859116,0.31576597373311543
C(syntactic_role)[T.subject],0.13351606368303465,0.10037705790348549,1.330145219153693,0.18349023528357516,-0.0632349031348565,0.33026703050092576
C(valence)[T.-val],0.23622481028238207,0.030695751348780394,7.695684252790501,1.4929527302294385e-14,0.1760574883742111,0.29639213219055305
C(dominance)[T.-dom],0.03838879267373919,0.0574264923883702,0.6684857646209564,0.5038336400498317,-0.07417395955631764,0.150951544903796
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.09987392425536012,0.07518892807586056,-1.3283062654463444,0.1840967428612047,-0.2472531621201587,0.04750531360943844
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.044463539123541604,0.07518892807586033,-0.5913575344322108,0.5542896145771521,-0.19184277698833974,0.10291569874125651
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.06209430694578785,0.07518892807586051,-0.8258437583142417,0.4089055913989892,-0.20947354481058633,0.08528493091901063
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.10435581207276054,0.07518892807586056,1.3879146138042102,0.16518323644887736,-0.04302342579203802,0.25173504993755913
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.09307270050048841,0.07518892807586046,-1.2378511422131786,0.21579023602063346,-0.24045193836528678,0.05430653736430996
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.04886493682859028,0.07518892807586029,0.6498953779376802,0.5157695509259954,-0.09851430103620776,0.1962441746933883
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.0693429946899566,0.07518892807586036,0.9222500767665469,0.3564126751646064,-0.07803624317484158,0.21672223255475476
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03621540069579995,0.07518892807586026,-0.48165869128046607,0.6300553073500937,-0.18359463856059793,0.11116383716899803
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.12747859954839466,0.07518892807586033,-1.6954437682603711,0.09001159439170651,-0.2748578374131928,0.019900638316403457
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11689586639404671,0.0751889280758604,1.5546952109239662,0.12003933754123373,-0.030483371470751544,0.264275104258845
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.0022909164428712644,0.07518892807586061,0.030468800413804047,0.9756935724839603,-0.1450883214219274,0.14967015430766994
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.05306110382079974,0.07518892807586038,-0.705703687745951,0.48038316027119254,-0.20044034168559793,0.09431813404399847
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.0014101028442365065,0.07518892807586094,0.018754128836812257,0.9850374915541737,-0.1459691350205628,0.14878934070903582
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.14638080596924097,0.07518892807586065,-1.9468399100137779,0.05157218628004207,-0.2937600438340397,0.000998431895557761
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.021348381042469153,0.07518892807586038,-0.28392984963065476,0.7764679787749708,-0.16872761890726734,0.12603085682232906
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.1228877385457437,0.0434103478646775,-2.830839755737964,0.004648644498264979,-0.20797718119994701,-0.03779829589154038
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],-0.053878339131675064,0.043410347864677484,-1.2411404603259415,0.2145728739248588,-0.13896778178587835,0.031211103522528226
log_frequency,-0.3902718564011405,0.03430434326390443,-11.376747643841085,7.195952025540239e-30,-0.45751244747042347,-0.3230312653318575
C(tense)[T.past perfect]:log_frequency,0.019059693274286013,0.016727979163180647,1.1393900654920481,0.2545583168260984,-0.013729134591439318,0.051848521140011344
C(tense)[T.present continuous]:log_frequency,0.005814284395909902,0.01672797916318065,0.34757840975241727,0.7281615991709108,-0.026974543469815437,0.03860311226163524
C(tense)[T.present perfect]:log_frequency,0.02432115291788815,0.016727979163180615,1.4539205650985392,0.14598882074690686,-0.00846767494783712,0.057109980783613415
C(tense)[T.simple future]:log_frequency,0.03269078330675963,0.01672797916318063,1.9542577730317943,0.050688911181446646,-9.804455896566394e-05,0.06547961117248494
C(tense)[T.simple past]:log_frequency,0.015126299693109446,0.016727979163180643,0.9042514666926058,0.3658762979089359,-0.017662528172615877,0.04791512755883477
C(semantic_role)[T.patient]:log_frequency,-0.012493070613199972,0.01093779653245959,-1.142192632320858,0.25339181327760646,-0.033932452156819365,0.008946310930419421
C(syntactic_role)[T.subject]:log_frequency,-0.027814037352534057,0.010937796532459583,-2.542928758090503,0.011002515721957321,-0.049253418896153436,-0.006374655808914678
lex_emb_norm,-1.135930003477641,0.050011092212996384,-22.713561196378887,2.343776739702112e-112,-1.233957689784076,-1.0379023171712058
C(semantic_role)[T.patient]:lex_emb_norm,0.011533061455612541,0.01574218767076658,0.7326212656598909,0.46380066849802964,-0.01932349788915443,0.042389620800379516
C(syntactic_role)[T.subject]:lex_emb_norm,-0.019474929909007024,0.01574218767076657,-1.2371171222391284,0.21606257114273733,-0.050331489253773974,0.011381629435759925
log_frequency:lex_emb_norm,0.16725823031727702,0.006697338873602982,24.973834156206692,5.810593530515165e-135,0.15413064991184777,0.18038581072270626
profession_embedding_1,-33.02159554167674,0.6225820551929682,-53.039748361269034,0.0,-34.241930385525876,-31.801260697827598
profession_embedding_2,3.517480679136634,0.11173379569435998,31.480902060809402,7.761581015624996e-211,3.2984691561027963,3.7364922021704716
profession_embedding_3,-4.07711333378679,0.15179191920982757,-26.859883945144972,2.502822031078445e-155,-4.37464354122117,-3.77958312635241
profession_embedding_4,-0.5680025532712901,0.14993456253916715,-3.788336349218425,0.00015223955312498392,-0.861892120819318,-0.27411298572326226
profession_embedding_5,-1.5405513474437829,0.15968825523956565,-9.647242654963165,5.830618574467833e-22,-1.8535593122524001,-1.2275433826351656
