term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,38.75281363005055,0.6148908149859307,63.023894137916585,0.0,37.54755449405011,39.95807276605098
C(tense)[T.past perfect],-0.00027206892615661005,0.14743953348877104,-0.0018452915559267608,0.9985276952347224,-0.28927109186496763,0.2887269540126544
C(tense)[T.present continuous],0.10764100512786422,0.14743953348877184,0.7300688124875377,0.46535929401915094,-0.1813580178109484,0.39664002806667686
C(tense)[T.present perfect],0.011351725733323997,0.14743953348877184,0.07699241488842937,0.9386305851711225,-0.27764729720548864,0.3003507486721366
C(tense)[T.simple future],0.4373271705719518,0.147439533488772,2.966145919101512,0.0030202290338085308,0.14832814763313884,0.7263261935107648
C(tense)[T.simple past],-0.0353598214269375,0.14743953348877217,-0.23982591771853526,0.8104684244565813,-0.32435884436575074,0.25363920151187574
C(semantic_role)[T.patient],0.10563790119221916,0.11397894314437092,0.926819448206441,0.35403489534216065,-0.11777438467770446,0.3290501870621428
C(syntactic_role)[T.subject],-0.6955330025241735,0.11397894314437076,-6.102293838987265,1.0707606235233926e-09,-0.9189452883940968,-0.47212071665425015
C(valence)[T.-val],0.16282325797156652,0.0979248086250671,1.6627375662788533,0.09638544860782843,-0.02912101467000272,0.35476753061313576
C(dominance)[T.-dom],-0.06989574648853049,0.11033052159543735,-0.6335123361858644,0.5264085909916562,-0.2861566921584323,0.14636519918137136
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.04104251861571723,0.0787434698437701,0.5212180603311877,0.6022224130916496,-0.11330404847644224,0.1953890857078767
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.03205070495609008,0.07874346984376977,-0.40702683053820177,0.6839939724329274,-0.1863972720482489,0.12229586213606874
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.02887992858886576,0.07874346984376991,0.3667596645939613,0.7138033656258861,-0.12546663850329334,0.18322649568102486
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.05311450958252648,0.07874346984377013,-0.6745258964064903,0.4999872123727837,-0.207461076674686,0.10123205750963304
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.012531471252440097,0.07874346984376979,0.1591429902352924,0.873558317673839,-0.14181509583971877,0.16687803834459894
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.0929273605346439,0.07874346984377029,1.180127834333627,0.2379677112091253,-0.061419206557515926,0.24727392762680372
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.061725997924814396,0.07874346984377029,0.7838871978499407,0.4331184293275716,-0.09262056916734543,0.21607256501697422
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.09628181457519723,0.07874346984377016,1.2227276086032755,0.22145141731741572,-0.058064752516962345,0.2506283816673568
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.18472805023187572,0.0787434698437703,2.3459475509319363,0.0189914647324237,0.030381483139715865,0.33907461732403554
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.07780704498291856,0.07874346984377023,0.9881079045321527,0.32311542038099783,-0.07653952210924116,0.23215361207507829
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.011121177673342263,0.07874346984377013,-0.14123301519995346,0.8876877232750608,-0.16546774476550177,0.14322538941881727
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.14521141052246278,0.07874346984377013,-1.8441073375426231,0.06518680785122138,-0.29955797761462233,0.00913515656969674
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.039417648315434956,0.07874346984377043,-0.5005830755698325,0.6166717716803518,-0.19376421540759506,0.11492891877672515
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.30004825592041684,0.07874346984377019,-3.810452555821113,0.00013925520935967195,-0.4543948230125765,-0.1457016888282572
C(tense)[T.simple past]:C(dominance)[T.-dom],0.001505088806156422,0.07874346984377012,0.01911382377665821,0.9847505527398324,-0.15284147828600306,0.15585165589831593
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.18241443634033486,0.0454625635112259,-4.01240982144115,6.038785211409932e-05,-0.27152646839948785,-0.09330240428118185
C(semantic_role)[T.patient]:C(valence)[T.-val],-0.05758482615153398,0.04546256351122595,-1.2666427430409795,0.20530233111027751,-0.14669685821068706,0.031527205907619114
