term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,38.75820257765635,0.6063008042751133,63.925698769268884,0.0,37.56978092733479,39.94662422797791
C(tense)[T.past perfect],-0.09282264709473731,0.0787162023360867,-1.1792063684477783,0.23833432691866505,-0.24711576105348118,0.06147046686400656
C(tense)[T.present continuous],0.050092697143543974,0.07871620233608669,0.6363708570399293,0.5245442403213015,-0.10420041681519987,0.20438581110228782
C(tense)[T.present perfect],-0.04109554290770766,0.07871620233608669,-0.5220722251341107,0.6016275937411334,-0.19538865686645152,0.11319757105103619
C(tense)[T.simple future],0.5391788482666315,0.07871620233608657,6.8496552458737066,7.684700507859113e-12,0.3848857343078879,0.6934719622253751
C(tense)[T.simple past],-0.001984214782736427,0.07871620233608653,-0.025207196534515572,0.9798900251482304,-0.15627732874147995,0.15230889917600712
C(semantic_role)[T.patient],0.10518601851195089,0.10198253233516408,1.031412106597418,0.30236389129567226,-0.09471186802743947,0.30508390505134125
C(syntactic_role)[T.subject],-0.6955330025241652,0.11393947419902076,-6.104407690255454,1.0567087382990988e-09,-0.9188679164968816,-0.4721980885514487
C(valence)[T.-val],0.09985907872516989,0.06817023091248714,1.464848767394715,0.14298270764713436,-0.03376267759210985,0.23348083504244962
C(dominance)[T.-dom],-0.08723897933960185,0.06817023091248713,-1.279722514826069,0.20066212624130259,-0.22086073565688158,0.046382776977677856
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.09292736053464568,0.07871620233608653,1.180536633841699,0.23780518117157357,-0.06136575342409786,0.24722047449338921
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.061725997924816506,0.07871620233608642,0.7841587385182964,0.43295909907276026,-0.09256711603392684,0.21601911188355985
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.09628181457519587,0.0787162023360868,1.2231511647895679,0.2212914243941749,-0.058011299383548195,0.2505749285339399
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.18472805023187744,0.07871620233608659,2.3467601935769564,0.018950107356689408,0.03043493627313379,0.3390211641906211
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.07780704498291584,0.0787162023360869,0.9884501878115345,0.32294783221849976,-0.07648606897582842,0.23210015894166008
C(tense)[T.past perfect]:C(valence)[T.-val],0.12977962493896544,0.07871620233608671,1.6487028221313107,0.09922903990132517,-0.024513489019778456,0.28407273889770934
C(tense)[T.present continuous]:C(valence)[T.-val],0.009906005859372033,0.0787162023360869,0.12584456014630033,0.8998566199075034,-0.14438710809937222,0.1641991198181163
C(tense)[T.present perfect]:C(valence)[T.-val],0.1939834594726554,0.07871620233608648,2.4643396621755733,0.013737494177754998,0.03969034551391196,0.34827657343139884
C(tense)[T.simple future]:C(valence)[T.-val],0.176528739929204,0.0787162023360868,2.2425972632101416,0.024937042104497178,0.022235625970459943,0.33082185388794805
C(tense)[T.simple past]:C(valence)[T.-val],0.041617012023933836,0.07871620233608667,0.5286968983367091,0.5970233896968181,-0.11267610193480998,0.19591012598267765
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.01112117767333506,0.07871620233608688,-0.14128193870242944,0.8876490752869294,-0.1654142916320793,0.14317193628540917
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.14521141052245612,0.07871620233608688,-1.8447461413656765,0.06509376990374789,-0.29950452448120035,0.009081703436288113
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.03941764831543091,0.07871620233608673,-0.5007564789156532,0.6165497135564723,-0.19371076227417483,0.11487546564331302
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.30004825592041,0.07871620233608688,-3.811772507003365,0.00013851397897333856,-0.45434136987915424,-0.14575514196166578
C(tense)[T.simple past]:C(dominance)[T.-dom],0.0015050888061614955,0.07871620233608664,0.019120444857532243,0.9847452708193324,-0.15278802515258227,0.15579820276490525
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.182414436340335,0.04544682060832479,-4.013799731172415,6.003342166751961e-05,-0.27149560721852156,-0.09333326546214844
C(semantic_role)[T.patient]:C(valence)[T.-val],-0.057584826151532806,0.04544682060832473,-1.2670815115498903,0.20514541046457382,-0.14666599702971922,0.03149634472665362
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.027199490865069748,0.045446820608324716,-0.5984905104690093,0.5495215388396513,-0.11628066174325614,0.061881680013116655
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.10535742441812831,0.0454468206083247,-2.3182573171868817,0.020448442311616032,-0.1944385952963147,-0.016276253539941943
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.11285521189372458,0.0454468206083247,2.4832366793344476,0.01303007370209338,0.023774041015538205,0.20193638277191095
