term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.81710993490975,0.6910083261217863,76.43483868181501,0.0,51.46265150011689,54.17156836970261
C(tense)[T.past perfect],0.28739755727136185,0.25398874592124204,1.1315365813904186,0.2578470260089557,-0.2104505673471188,0.7852456818898426
C(tense)[T.present continuous],-0.14793110948801,0.253988745921239,-0.5824317489007285,0.5602844722794933,-0.6457792341064846,0.3499170151304647
C(tense)[T.present perfect],-0.16241518243556263,0.2539887459212429,-0.6394581848359712,0.522534468468825,-0.6602633070540449,0.33543294218291964
C(tense)[T.simple future],0.3947851163061318,0.2539887459212405,1.5543409802438684,0.12012375835445782,-0.10306300831234583,0.8926332409246094
C(tense)[T.simple past],0.05235891662068751,0.25398874592123727,0.20614660082980282,0.8366791373583252,-0.4454892079977838,0.5502070412391588
C(semantic_role)[T.patient],-0.14462931751356334,0.1333213945160366,-1.084817017092981,0.2780197765584619,-0.4059550939395429,0.1166964589124162
C(syntactic_role)[T.subject],-0.4475306196335451,0.15379426146466926,-2.9099305485878295,0.0036202924532950753,-0.7489856481607218,-0.14607559110636842
C(valence)[T.-val],0.0951154073079407,0.02676594337699472,3.5535981664555196,0.0003811421408429818,0.0426509775728797,0.1475798370430017
C(dominance)[T.-dom],-0.014433797200533283,0.03278145187893189,-0.44030378074284293,0.6597233143645194,-0.0786893384490335,0.04982174404796694
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.007490921020487429,0.06556290375786375,0.11425547971689634,0.909036770500914,-0.12102016147651296,0.1360020035174878
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06953735351561839,0.06556290375786368,-1.060620404679346,0.2888791648629001,-0.19804843601261862,0.058973728981381854
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.043705368042004165,0.06556290375786399,0.6666173329268061,0.5050266328029377,-0.08480571445499668,0.17221645053900503
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.09280128479009066,0.06556290375786365,-1.4154541588460383,0.15695570603301162,-0.22131236728709086,0.03570979770690953
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.03219795227051713,0.06556290375786387,0.4911001561100805,0.6233626454211889,-0.0963131302264835,0.16070903476751777
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.11002095540364892,0.03785276013345628,-2.9065504078368796,0.0036596161800096037,-0.18421686347714253,-0.03582504733015532
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08038380940754947,0.037852760133456266,2.1235917572230623,0.03372027456932736,0.00618790133405589,0.15457971748104304
C(valence)[T.-val]:C(dominance)[T.-dom],-0.049890645345044435,0.03785276013345625,-1.3180186905564244,0.187517096694674,-0.12408655341853798,0.024305262728449115
log_frequency,-2.971216946137919,0.09344710302030551,-31.79570955230459,6.660803780923336e-215,-3.1543843727927796,-2.788049519483059
C(tense)[T.past perfect]:log_frequency,0.03888529818829567,0.022512892296393718,1.7272457788342284,0.08414368663974187,-0.005242646019802746,0.08301324239639409
C(tense)[T.present continuous]:log_frequency,0.0033746899251744103,0.022512892296393746,0.14990032736553308,0.8808452265997948,-0.04075325428292406,0.04750263413327288
C(tense)[T.present perfect]:log_frequency,0.02108763066991095,0.022512892296393784,0.9366913141270995,0.34893212979340393,-0.0230403135381876,0.0652155748780095
C(tense)[T.simple future]:log_frequency,0.06463244818708434,0.022512892296393732,2.8709082483123507,0.004098550684446321,0.0205045039789859,0.10876039239518279
C(tense)[T.simple past]:log_frequency,0.025899159336833816,0.0225128922963936,1.1504145711647487,0.24999111666536655,-0.01822878487126437,0.070027103544932
C(syntactic_role)[T.subject]:log_frequency,-0.014924657189554186,0.012997824427559975,-1.1482427134427702,0.2508863082585977,-0.040401937656884615,0.01055262327777624
lex_emb_norm,-14.629058493449019,0.5703793139502733,-25.647947139128554,4.361673863901542e-142,-15.747069729503437,-13.511047257394601
C(tense)[T.past perfect]:lex_emb_norm,-0.5079251708314565,0.39429645758881615,-1.2881809132587634,0.19770244858739391,-1.280793083708084,0.2649427420451712
